"","row","aov_coefs"
"(Intercept)",8620,-0.341440756110113
"exp_env_factorE_10",8620,-0.37390117524446
"exp_env_factorE_2",8620,-0.315343695955081
"exp_env_factorE_3",8620,-1.58973640993236
"exp_env_factorE_4",8620,0.962353707905007
"exp_env_factorE_5",8620,-0.215768462466745
"exp_env_factorE_6",8620,-0.0249326631930946
"exp_env_factorE_7",8620,0.613839049138058
"exp_env_factorE_8",8620,-0.180501267338452
"exp_env_factorE_9",8620,1.28764486310124
"gen_factorG_10",8620,-0.969555828678254
"gen_factorG_2",8620,-1.04886396758129
"gen_factorG_3",8620,-0.35322796079211
"gen_factorG_4",8620,0.466404030563143
"gen_factorG_5",8620,0.686373585013582
"gen_factorG_6",8620,-0.0899758783653007
"gen_factorG_7",8620,1.54093046229177
"gen_factorG_8",8620,1.08060325637379
"gen_factorG_9",8620,-0.261486607373884
"exp_env_factorE_10:gen_factorG_10",8620,0.559593104906023
"exp_env_factorE_2:gen_factorG_10",8620,1.20347386965579
"exp_env_factorE_3:gen_factorG_10",8620,4.91502266791223
"exp_env_factorE_4:gen_factorG_10",8620,1.33312172063288
"exp_env_factorE_5:gen_factorG_10",8620,2.24492205043443
"exp_env_factorE_6:gen_factorG_10",8620,2.24639038095744
"exp_env_factorE_7:gen_factorG_10",8620,2.281231178123
"exp_env_factorE_8:gen_factorG_10",8620,2.81240809640401
"exp_env_factorE_9:gen_factorG_10",8620,1.80604973263426
"exp_env_factorE_10:gen_factorG_2",8620,1.43741545346163
"exp_env_factorE_2:gen_factorG_2",8620,1.44003041104311
"exp_env_factorE_3:gen_factorG_2",8620,1.64590601248181
"exp_env_factorE_4:gen_factorG_2",8620,-0.0763962464720745
"exp_env_factorE_5:gen_factorG_2",8620,1.55447899415211
"exp_env_factorE_6:gen_factorG_2",8620,0.342224886108327
"exp_env_factorE_7:gen_factorG_2",8620,-0.85497196620513
"exp_env_factorE_8:gen_factorG_2",8620,1.19602502865754
"exp_env_factorE_9:gen_factorG_2",8620,0.027236006766987
"exp_env_factorE_10:gen_factorG_3",8620,0.728390060141556
"exp_env_factorE_2:gen_factorG_3",8620,0.736021236328438
"exp_env_factorE_3:gen_factorG_3",8620,0.41573055057336
"exp_env_factorE_4:gen_factorG_3",8620,-0.158802617769444
"exp_env_factorE_5:gen_factorG_3",8620,-0.651664772901868
"exp_env_factorE_6:gen_factorG_3",8620,-0.259224825508791
"exp_env_factorE_7:gen_factorG_3",8620,0.761194634904333
"exp_env_factorE_8:gen_factorG_3",8620,0.133771951624212
"exp_env_factorE_9:gen_factorG_3",8620,-1.3981650439364
"exp_env_factorE_10:gen_factorG_4",8620,0.524697278469144
"exp_env_factorE_2:gen_factorG_4",8620,0.512598423294486
"exp_env_factorE_3:gen_factorG_4",8620,1.90344689401459
"exp_env_factorE_4:gen_factorG_4",8620,-2.77366121611335
"exp_env_factorE_5:gen_factorG_4",8620,-0.962620365210235
"exp_env_factorE_6:gen_factorG_4",8620,-0.276548124957812
"exp_env_factorE_7:gen_factorG_4",8620,-0.917050740786177
"exp_env_factorE_8:gen_factorG_4",8620,-1.29345091355189
"exp_env_factorE_9:gen_factorG_4",8620,-2.00337527424287
"exp_env_factorE_10:gen_factorG_5",8620,0.532302416704683
"exp_env_factorE_2:gen_factorG_5",8620,-0.241590943475683
"exp_env_factorE_3:gen_factorG_5",8620,3.04622709158536
"exp_env_factorE_4:gen_factorG_5",8620,-1.59796384193112
"exp_env_factorE_5:gen_factorG_5",8620,0.0437623824653717
"exp_env_factorE_6:gen_factorG_5",8620,0.34343624037709
"exp_env_factorE_7:gen_factorG_5",8620,-1.79424645605812
"exp_env_factorE_8:gen_factorG_5",8620,0.532742114071913
"exp_env_factorE_9:gen_factorG_5",8620,-2.14558649440321
"exp_env_factorE_10:gen_factorG_6",8620,0.447930431514451
"exp_env_factorE_2:gen_factorG_6",8620,0.328460580151081
"exp_env_factorE_3:gen_factorG_6",8620,2.97265949589729
"exp_env_factorE_4:gen_factorG_6",8620,0.113043730287815
"exp_env_factorE_5:gen_factorG_6",8620,0.661945971964074
"exp_env_factorE_6:gen_factorG_6",8620,0.754647723300882
"exp_env_factorE_7:gen_factorG_6",8620,-0.664822479362797
"exp_env_factorE_8:gen_factorG_6",8620,0.635769594846813
"exp_env_factorE_9:gen_factorG_6",8620,-0.358733785095646
"exp_env_factorE_10:gen_factorG_7",8620,-0.912675088946194
"exp_env_factorE_2:gen_factorG_7",8620,-1.07320841835547
"exp_env_factorE_3:gen_factorG_7",8620,1.83308641121521
"exp_env_factorE_4:gen_factorG_7",8620,-1.95648961535368
"exp_env_factorE_5:gen_factorG_7",8620,-0.848407044702262
"exp_env_factorE_6:gen_factorG_7",8620,-0.568012047642123
"exp_env_factorE_7:gen_factorG_7",8620,-1.50309887997881
"exp_env_factorE_8:gen_factorG_7",8620,-1.24829963979464
"exp_env_factorE_9:gen_factorG_7",8620,-2.57867965559821
"exp_env_factorE_10:gen_factorG_8",8620,0.578316814050539
"exp_env_factorE_2:gen_factorG_8",8620,1.12532087274259
"exp_env_factorE_3:gen_factorG_8",8620,1.401366848507
"exp_env_factorE_4:gen_factorG_8",8620,-2.16982914359127
"exp_env_factorE_5:gen_factorG_8",8620,0.188286999969218
"exp_env_factorE_6:gen_factorG_8",8620,-1.26373698916562
"exp_env_factorE_7:gen_factorG_8",8620,-1.55562167549864
"exp_env_factorE_8:gen_factorG_8",8620,0.226744709223028
"exp_env_factorE_9:gen_factorG_8",8620,-1.60775257615472
"exp_env_factorE_10:gen_factorG_9",8620,0.677331185462522
"exp_env_factorE_2:gen_factorG_9",8620,-0.199801013559984
"exp_env_factorE_3:gen_factorG_9",8620,4.10377199734198
"exp_env_factorE_4:gen_factorG_9",8620,0.672693087215503
"exp_env_factorE_5:gen_factorG_9",8620,1.11520036569725
"exp_env_factorE_6:gen_factorG_9",8620,1.81203389074386
"exp_env_factorE_7:gen_factorG_9",8620,-0.0358190490217836
"exp_env_factorE_8:gen_factorG_9",8620,1.71376060823458
"exp_env_factorE_9:gen_factorG_9",8620,-0.67639000555009
