"","row","aov_coefs"
"(Intercept)",16862,-0.418055654960805
"exp_env_factorE_2",16862,-0.11546715091063
"exp_env_factorE_3",16862,1.51054112035818
"exp_env_factorE_4",16862,1.46696255443788
"exp_env_factorE_5",16862,0.576774601548037
"exp_env_factorE_6",16862,0.981356692687653
"exp_env_factorE_7",16862,1.07447694503101
"gen_factorG_2",16862,0.51498932336474
"gen_factorG_3",16862,0.38627467314955
"gen_factorG_4",16862,0.0110046124723289
"gen_factorG_5",16862,0.592885089539434
"gen_factorG_6",16862,-0.25824973521976
"gen_factorG_7",16862,0.104296133443535
"exp_env_factorE_2:gen_factorG_2",16862,1.03880062564254
"exp_env_factorE_3:gen_factorG_2",16862,-1.62674575391532
"exp_env_factorE_4:gen_factorG_2",16862,-1.95639236490454
"exp_env_factorE_5:gen_factorG_2",16862,-2.74081386810799
"exp_env_factorE_6:gen_factorG_2",16862,-0.648839139934013
"exp_env_factorE_7:gen_factorG_2",16862,-0.204313872950029
"exp_env_factorE_2:gen_factorG_3",16862,1.81456169672948
"exp_env_factorE_3:gen_factorG_3",16862,-2.09121566390126
"exp_env_factorE_4:gen_factorG_3",16862,-1.57545781484212
"exp_env_factorE_5:gen_factorG_3",16862,-1.99173077030259
"exp_env_factorE_6:gen_factorG_3",16862,-0.147097527955004
"exp_env_factorE_7:gen_factorG_3",16862,-0.241289793127018
"exp_env_factorE_2:gen_factorG_4",16862,-0.222251818940938
"exp_env_factorE_3:gen_factorG_4",16862,-1.80245398407099
"exp_env_factorE_4:gen_factorG_4",16862,-0.174364264427626
"exp_env_factorE_5:gen_factorG_4",16862,0.0533901442757396
"exp_env_factorE_6:gen_factorG_4",16862,0.562402110313123
"exp_env_factorE_7:gen_factorG_4",16862,-0.594938942558811
"exp_env_factorE_2:gen_factorG_5",16862,-2.78452639535997
"exp_env_factorE_3:gen_factorG_5",16862,-3.56659297519988
"exp_env_factorE_4:gen_factorG_5",16862,-0.70998436285353
"exp_env_factorE_5:gen_factorG_5",16862,-0.122200081844867
"exp_env_factorE_6:gen_factorG_5",16862,-1.9150091832192
"exp_env_factorE_7:gen_factorG_5",16862,-0.767036325692799
"exp_env_factorE_2:gen_factorG_6",16862,-0.239282856788077
"exp_env_factorE_3:gen_factorG_6",16862,-0.0836066281261471
"exp_env_factorE_4:gen_factorG_6",16862,-0.6634880151275
"exp_env_factorE_5:gen_factorG_6",16862,1.81962431089573
"exp_env_factorE_6:gen_factorG_6",16862,-1.64634245016375
"exp_env_factorE_7:gen_factorG_6",16862,-0.286821356782147
"exp_env_factorE_2:gen_factorG_7",16862,1.19239203427051
"exp_env_factorE_3:gen_factorG_7",16862,-0.30748455236033
"exp_env_factorE_4:gen_factorG_7",16862,-0.90292009386078
"exp_env_factorE_5:gen_factorG_7",16862,-1.62069560549171
"exp_env_factorE_6:gen_factorG_7",16862,-2.35867170921214
"exp_env_factorE_7:gen_factorG_7",16862,0.0752103236597464
