"","X1","row","PL","delta_E","delta_H","G1Emean","G2Emean","E1Gmean","E2Gmean","GxE_emm","covariance"
"1",1,1021,-10.2340700726777,-1.36134107050358,0.133020495348963,-0.644869928167503,0.716471142336079,0.78298139001056,-0.711380175841984,0.111849860525275,-0.91
"2",1,1022,0.668313034175093,0.830717388636119,1.24300641489281,0.322204062238092,-0.508513326398027,0.112989881048379,-0.299299145208314,0.723846956730017,0.5
"3",1,10441,0.635410871973675,1.81572279786516,2.85755702011404,0.902175298514666,-0.913547499350493,0.515231010706529,-0.526603211542356,0.710505502697211,0.57
"4",1,10442,-0.590182513791829,0.580102851561207,-0.982921110003985,0.227059657134304,-0.353043194426902,-0.844503749428895,0.718520212136297,0.597661999173009,-0.37
"5",1,10471,-5.67888970374716,-0.941563108523857,0.165800562723128,-0.309491967150287,0.632071141373569,0.714971422735133,-0.392392248511851,0.295581524633229,-0.85
"6",1,10472,-0.168868506992058,0.130623148040681,-0.773519884597692,-0.320009974995874,-0.450633123036555,-0.8373930653354,0.0667499673029719,0.754717996999469,-0.14
"7",1,10501,7.08994570824588,-1.20730062709797,-0.170283479842989,-0.82327057632301,0.38403005077496,0.298888310853466,-0.738128836401516,0.169809154928829,-0.86
"8",1,10502,0.705342167659489,1.70856183283655,2.42231630430661,1.2601248737709,-0.448436959065647,0.762721193087658,0.0489667216175942,0.223332192189933,0.42
"9",1,10531,1.7085541731616,-1.76613099708026,-1.03369915032435,-1.0556957420374,0.710435255042855,0.193585679880682,-0.53884616687523,0.00461670075316359,-0.41
"10",1,10532,0.166799074611669,0.446868128154173,2.67908037975956,-0.222869176605512,-0.669737304759684,0.669802885120097,-1.56240936648529,0.126122647274385,0.2
"11",1,10561,-1.4924886087906,-1.47789274051462,0.990220449127711,-0.777679354807171,0.700213385707451,1.19532361027131,-1.27278957937103,0.29043983393896,-0.6
"12",1,10562,-1.78950452341083,-1.41617033183605,0.791375664777197,-0.491884432965192,0.924285898870854,1.31997373125945,-0.887572265353791,0.162261093478779,-0.64
"13",1,10621,1.01917265809918,-2.56079948104886,-2.5126257663004,-0.916688536239001,1.64411094480986,0.387798061659659,0.339624346911199,0.398367969901793,-0.02
"14",1,10622,0.318510871037811,-1.12825381174811,-3.54227724809484,-0.328294223455492,0.799959588292616,-0.971179035754806,1.44284440059193,0.205690329558033,0.47
"15",1,10651,1.1719527754236,-1.94338056909928,-1.65824136420245,-0.859074603899259,1.08430596520002,0.255185283098794,-0.0299539217980324,0.442573643660097,-0.15
"16",1,10652,0.535481306016145,-0.834256902159307,-1.55795709913009,-0.326008368563514,0.508248533595793,-0.270730015969253,0.452970181001532,1.04037715602494,0.87
"17",1,10681,1.20347505524847,-2.69638060695843,-2.24049563403848,-1.72836195373476,0.968018653223667,-0.152229163795574,-0.608114136715518,0.066254142025292,-0.17
"18",1,10682,1.71037004928069,-1.74047327238326,-1.01760041525238,-1.29288436894119,0.447588903442067,-0.0612113041841217,-0.784084161315005,1.21635554129058,-0.42
"19",1,10711,1.23211589094381,-2.25195770699494,-1.82771582084696,-0.996000082425485,1.25595762456946,0.34209971414598,-0.082142172002006,0.147704240557178,-0.19
"20",1,10712,0.570620180429074,-2.55491627141793,-4.47743763548072,-1.33846831341089,1.21644795800704,-1.02227085973332,0.900250504329465,0.939651174371624,0.75
"21",1,10741,-0.0305310276079534,0.0561499318748593,-1.83911044842238,0.380533136248553,0.324383204373694,-0.595172019837497,1.30008836045974,0.248154536516932,-0.03
"22",1,10742,-0.172792804536708,0.447652407707455,-2.59068894047816,0.361860640372871,-0.0857917673345829,-1.38113623757366,1.65720511061195,0.899567070053411,-0.15
"23",1,10771,0.512897569708445,-1.10479006846707,-2.15401696891465,-0.556705666597831,0.548084401869243,-0.52892408258808,0.520302817859492,0.536041061348423,0.95
"24",1,10772,0.472518319235965,-0.572421790053761,-1.21142771983811,-0.468344294689639,0.104077495364122,-0.501636364554932,0.137369565229416,0.518736957108411,0.9
"25",1,10801,0.529123008807135,-1.18369599827744,-2.23709039027802,-0.628244495105595,0.555451503171842,-0.56309369196717,0.490300700033418,0.0106809170431417,0.89
"26",1,10802,2.55153113513177,1.83271409684063,0.718280122709918,1.12932923741883,-0.703384859421794,-0.344244798066835,0.770189176063874,0.0974386846925018,-0.61
"27",1,1081,0.916907322179526,-1.71530225258441,-1.8707476874621,-1.01243211077431,0.702870141810098,-0.23250370192095,-0.0770582670432642,0.0183101346483214,0.09
"28",1,1082,0.288521892805376,0.507567255829176,1.75919841261945,0.293278837446072,-0.214288418383104,0.665310787926619,-0.586320368863652,0.480816059619771,0.41
"29",1,10831,0.467051561924947,-1.80436817419881,-3.86331686112371,-1.19910159884648,0.605266575352331,-1.32639185520952,0.732556831715372,0.660413800483247,0.88
"30",1,10832,0.868017449409529,-1.16122929446757,-1.3377948741209,-0.282413260835279,0.878816033632289,0.209918596571838,0.386484176225173,0.361878814467245,0.15
"31",1,10861,0.877148405249046,-1.8887072922095,-2.15323573628712,-1.15621596656809,0.732491325641415,-0.344126542502146,-0.0795980984245288,0.366684282341865,0.14
"32",1,10862,1.05085059462808,-1.20634796759217,-1.14797286480019,-0.1198652828671,1.08648268472508,0.512496252324981,0.454121149532995,0.529933924540536,-0.05
"33",1,10891,0.231115657352916,0.745614842118762,3.22615460440312,0.556015515649532,-0.189599326469231,1.42347797573233,-1.05706178655203,0.187536353487876,0.3
"34",1,10892,-1.83937432629141,-0.645240699461159,0.350793577054057,0.0466173794394606,0.69185807890062,0.867254867427649,-0.128779409087568,0.506131123371093,-0.65
