"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",-0.167049988035783,"G_1","E_1",-0.182665755065655,"raw"
"2",-0.698092544997034,"G_10","E_10",-0.143116267735983,"raw"
"3",0.13501637564023,"G_2","E_2",0.0953136456955267,"raw"
"4",-0.337780488146024,"G_3","E_3",0.15001338600805,"raw"
"5",0.340434305798198,"G_4","E_4",-0.10709006600662,"raw"
"6",0.313572737721419,"G_5","E_5",-0.162734619668245,"raw"
"7",0.2486315170838,"G_6","E_6",0.178380843161458,"raw"
"8",0.0603050279619506,"G_7","E_7",-0.074423868741584,"raw"
"9",0.556038313305489,"G_8","E_8",0.140193398800864,"raw"
"10",-0.451075256332246,"G_9","E_9",0.106129303552189,"raw"
"G_1",-0.183089258824091,"G_1","E_1",-0.200204370564507,"means"
"G_10",-0.765119759402546,"G_10","E_10",-0.156857547214189,"means"
"G_2",0.147979945618374,"G_2","E_2",0.104465166094322,"means"
"G_3",-0.370212413344505,"G_3","E_3",0.164416890901093,"means"
"G_4",0.37312103676139,"G_4","E_4",-0.117372297017915,"means"
"G_5",0.34368036066282,"G_5","E_5",-0.178359551236266,"means"
"G_6",0.272503821870573,"G_6","E_6",0.195508043711163,"means"
"G_7",0.0660952030152508,"G_7","E_7",-0.0815696614345121,"means"
"G_8",0.609426219408631,"G_8","E_8",0.153654039609899,"means"
"G_9",-0.494385155765895,"G_9","E_9",0.116319287150912,"means"
"11",-0.14233841206853,"G_1","E_1",-0.0956072521193465,"raw.ne"
"21",-0.770274435751407,"G_10","E_10",-0.14729274872009,"raw.ne"
"31",0.0584572502944899,"G_2","E_2",0.191738649496445,"raw.ne"
"41",-0.344647842948347,"G_3","E_3",0.102551203261135,"raw.ne"
"51",0.452247637173968,"G_4","E_4",-0.0346181268750108,"raw.ne"
"61",0.349011744075686,"G_5","E_5",-0.284468522499382,"raw.ne"
"71",0.255502950541465,"G_6","E_6",0.137778146909761,"raw.ne"
"81",0.0989123228536914,"G_7","E_7",-0.0202896835057507,"raw.ne"
"91",0.547347105734827,"G_8","E_8",0.0916837422870638,"raw.ne"
"101",-0.504218319905843,"G_9","E_9",0.0585245917651768,"raw.ne"
"G_11",-0.141766769549793,"G_1","E_1",-0.0952232857000314,"mean.ne"
"G_101",-0.76718095162321,"G_10","E_10",-0.146701209186624,"mean.ne"
"G_21",0.0582224812724705,"G_2","E_2",0.190968611648284,"mean.ne"
"G_31",-0.343263709472675,"G_3","E_3",0.102139349375182,"mean.ne"
"G_41",0.450431374264702,"G_4","E_4",-0.0344790976912959,"mean.ne"
"G_51",0.347610084821862,"G_5","E_5",-0.283326074018091,"mean.ne"
"G_61",0.254476830128373,"G_6","E_6",0.137224818782936,"mean.ne"
"G_71",0.098515083004322,"G_7","E_7",-0.0202081985038075,"mean.ne"
"G_81",0.545148915705899,"G_8","E_8",0.0913155329990407,"mean.ne"
"G_91",-0.502193338551951,"G_9","E_9",0.0582895522944079,"mean.ne"
