"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",1.26207935229249,"G_1","E_1",0.238746533002791,"raw"
"2",-1.31102935924654,"G_10","E_10",-0.0071188912968,"raw"
"3",0.548503045739654,"G_2","E_2",-0.113868931857719,"raw"
"4",0.751614078231816,"G_3","E_3",0.0611932015403917,"raw"
"5",0.483259836446794,"G_4","E_4",0.101150641960673,"raw"
"6",0.235685295523041,"G_5","E_5",-0.141475517755898,"raw"
"7",-0.284733915710937,"G_6","E_6",-0.1448593062461,"raw"
"8",-0.191476546800071,"G_7","E_7",-0.209827211330428,"raw"
"9",-0.475256245897692,"G_8","E_8",0.269966075959376,"raw"
"10",-1.01864554057853,"G_9","E_9",-0.05390659397626,"raw"
"G_1",1.35523333187796,"G_1","E_1",0.256368396177266,"means"
"G_10",-1.40779633506734,"G_10","E_10",-0.00764433611397457,"means"
"G_2",0.588988013212254,"G_2","E_2",-0.122273588929735,"means"
"G_3",0.807090655336557,"G_3","E_3",0.065709867023212,"means"
"G_4",0.518929207676955,"G_4","E_4",0.108616563036985,"means"
"G_5",0.25308120899541,"G_5","E_5",-0.151917814802389,"means"
"G_6",-0.305750104053817,"G_6","E_6",-0.1555513604599,"means"
"G_7",-0.205609415941237,"G_7","E_7",-0.225314541604278,"means"
"G_8",-0.510334872727138,"G_8","E_8",0.289892251189961,"means"
"G_9",-1.0938316893096,"G_9","E_9",-0.0578854355171467,"means"
"11",1.4262246120359,"G_1","E_1",0.237599346317337,"raw.ne"
"21",-1.39977329453139,"G_10","E_10",-0.0754116149072138,"raw.ne"
"31",0.550572975882353,"G_2","E_2",-0.0804931017167698,"raw.ne"
"41",0.770692158022427,"G_3","E_3",0.0769517498055161,"raw.ne"
"51",0.518748074242082,"G_4","E_4",0.130112909188039,"raw.ne"
"61",0.323621081021501,"G_5","E_5",-0.179107710145484,"raw.ne"
"71",-0.276263382007446,"G_6","E_6",-0.122647260222083,"raw.ne"
"81",-0.217433334562697,"G_7","E_7",-0.21579409799177,"raw.ne"
"91",-0.564911407284495,"G_8","E_8",0.282323401526907,"raw.ne"
"101",-1.13147748281821,"G_9","E_9",-0.0535336218544632,"raw.ne"
"G_11",1.4197856418509,"G_1","E_1",0.236526657559892,"mean.ne"
"G_101",-1.39345374399695,"G_10","E_10",-0.0750711544103845,"mean.ne"
"G_21",0.548087306411743,"G_2","E_2",-0.0801296998530843,"mean.ne"
"G_31",0.767212717417183,"G_3","E_3",0.076604336068236,"mean.ne"
"G_41",0.516406084519442,"G_4","E_4",0.129525488990782,"mean.ne"
"G_51",0.322160030304558,"G_5","E_5",-0.178299093328895,"mean.ne"
"G_61",-0.275016136892665,"G_6","E_6",-0.122093545158442,"mean.ne"
"G_71",-0.216451689212689,"G_7","E_7",-0.214819853296136,"mean.ne"
"G_81",-0.56236100415867,"G_8","E_8",0.281048797267788,"mean.ne"
"G_91",-1.12636920624286,"G_9","E_9",-0.0532919338397565,"mean.ne"
