"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",0.326437653069798,"G_1","E_1",-0.252799472479772,"raw"
"2",0.749516541110347,"G_2","E_2",-0.349259485423167,"raw"
"3",-0.55348886215142,"G_3","E_3",-0.0332835901036538,"raw"
"4",-0.429938833370422,"G_4","E_4",0.617576235878238,"raw"
"5",-0.0925264986583038,"G_5","E_5",0.0177663121283547,"raw"
"G_1",0.349349003785641,"G_1","E_1",-0.270542454394683,"means"
"G_2",0.802122103548424,"G_2","E_2",-0.373772609096597,"means"
"G_3",-0.592336027356811,"G_3","E_3",-0.0356196319137074,"means"
"G_4",-0.460114517165094,"G_4","E_4",0.66092143702435,"means"
"G_5",-0.0990205628121589,"G_5","E_5",0.0190132583806381,"means"
"11",0.362488035700398,"G_1","E_1",-0.334134376080618,"raw.ne"
"21",0.797099157966305,"G_2","E_2",-0.417052329115513,"raw.ne"
"31",-0.563636490837793,"G_3","E_3",-0.134773290305798,"raw.ne"
"41",-0.457834382190901,"G_4","E_4",0.852937000511071,"raw.ne"
"51",-0.138116320638008,"G_5","E_5",0.0330229949908586,"raw.ne"
"G_11",0.356593528462347,"G_1","E_1",-0.328700934685831,"mean.ne"
"G_21",0.784137332213901,"G_2","E_2",-0.410270538461737,"mean.ne"
"G_31",-0.554471059023044,"G_3","E_3",-0.132581708634228,"mean.ne"
"G_41",-0.450389424526465,"G_4","E_4",0.839067181846843,"mean.ne"
"G_51",-0.135870377126738,"G_5","E_5",0.0324859999349538,"mean.ne"
