"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",-0.55090430479526,"G_1","E_1",-0.525186478567516,"raw"
"2",-0.466584804603582,"G_2","E_2",0.143752962553913,"raw"
"3",-0.222856980030297,"G_3","E_3",-0.712599011054621,"raw"
"4",0.536228851619358,"G_4","E_4",0.191770360442095,"raw"
"5",-0.251353866215911,"G_5","E_5",0.273908245061194,"raw"
"6",0.842205101321209,"G_6","E_6",0.401425985255381,"raw"
"7",0.113266002704482,"G_7","E_7",0.226927936309552,"raw"
"G_1",-0.559244512357564,"G_1","E_1",-0.533137340817171,"means"
"G_2",-0.473648488953005,"G_2","E_2",0.145929256213187,"means"
"G_3",-0.226230839072572,"G_3","E_3",-0.723387134525711,"means"
"G_4",0.544346885703452,"G_4","E_4",0.19467359535325,"means"
"G_5",-0.255159143098995,"G_5","E_5",0.278054975440593,"means"
"G_6",0.854955347224011,"G_6","E_6",0.407503222279653,"means"
"G_7",0.114980750554672,"G_7","E_7",0.230363426056199,"means"
"11",-0.513103773970127,"G_1","E_1",-0.527003845627288,"raw.ne"
"21",-0.478186136913113,"G_2","E_2",0.157342467517584,"raw.ne"
"31",-0.270209536928783,"G_3","E_3",-0.739000631312209,"raw.ne"
"41",0.498605788700721,"G_4","E_4",0.221597886844629,"raw.ne"
"51",-0.255089239892368,"G_5","E_5",0.286975223456057,"raw.ne"
"61",0.859415125889497,"G_6","E_6",0.44513600028058,"raw.ne"
"71",0.158567773114173,"G_7","E_7",0.154952898840648,"raw.ne"
"G_11",-0.508880625825008,"G_1","E_1",-0.522666291654706,"mean.ne"
"G_21",-0.474250381614532,"G_2","E_2",0.156047445762616,"mean.ne"
"G_31",-0.26798555230313,"G_3","E_3",-0.732918218155857,"mean.ne"
"G_41",0.494501967566442,"G_4","E_4",0.219774004908333,"mean.ne"
"G_51",-0.252989704272203,"G_5","E_5",0.284613247294282,"mean.ne"
"G_61",0.852341630080444,"G_6","E_6",0.441472267193283,"mean.ne"
"G_71",0.157262666367987,"G_7","E_7",0.153677544652048,"mean.ne"
