"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",0.0114601199613871,"G_1","E_1",-0.212737651886738,"raw"
"2",0.372296825176185,"G_2","E_2",-0.0253824441392134,"raw"
"3",0.0508751778271694,"G_3","E_3",0.0320825749263504,"raw"
"4",-0.163947904813402,"G_4","E_4",-0.36912011361249,"raw"
"5",-0.0889422468588415,"G_5","E_5",0.548338163356087,"raw"
"6",-0.0745931326058766,"G_6","E_6",-0.365951550015292,"raw"
"7",-0.10714883868662,"G_7","E_7",0.392771021371299,"raw"
"G_1",0.0123551264323199,"G_1","E_1",-0.229351926055819,"means"
"G_2",0.401372268431764,"G_2","E_2",-0.0273647490216509,"means"
"G_3",0.0548484009276642,"G_3","E_3",0.0345881431280744,"means"
"G_4",-0.176751822765209,"G_4","E_4",-0.397947463705399,"means"
"G_5",-0.0958884120600726,"G_5","E_5",0.591161991214362,"means"
"G_6",-0.0804186681669493,"G_6","E_6",-0.394531443281169,"means"
"G_7",-0.115516892799518,"G_7","E_7",0.423445447721602,"means"
"11",-0.1618036421343,"G_1","E_1",-0.141656422018601,"raw.ne"
"21",0.454948050430896,"G_2","E_2",-0.00954875613259024,"raw.ne"
"31",0.100353679245436,"G_3","E_3",0.154024900777736,"raw.ne"
"41",-0.0447486394244705,"G_4","E_4",-0.303442945068387,"raw.ne"
"51",-0.179479539370013,"G_5","E_5",0.455283666087448,"raw.ne"
"61",0.0288583002817381,"G_6","E_6",-0.491784647293279,"raw.ne"
"71",-0.198128209029285,"G_7","E_7",0.337124203647675,"raw.ne"
"G_11",-0.160471902268372,"G_1","E_1",-0.140490505714251,"mean.ne"
"G_21",0.45120355835586,"G_2","E_2",-0.00947016421066728,"mean.ne"
"G_31",0.0995277089917325,"G_3","E_3",0.152757184563161,"mean.ne"
"G_41",-0.0443803316022162,"G_4","E_4",-0.300945429798326,"mean.ne"
"G_51",-0.178002316394409,"G_5","E_5",0.451536411696658,"mean.ne"
"G_61",0.0286207793678618,"G_6","E_6",-0.487736968195259,"mean.ne"
"G_71",-0.196497496450457,"G_7","E_7",0.334349471658684,"mean.ne"
