"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",-0.625722171277457,"G_1","E_1",-0.372895553191479,"raw"
"2",1.11866410003549,"G_10","E_10",-0.571197829634788,"raw"
"3",-0.504891795071135,"G_2","E_2",0.263350397733448,"raw"
"4",-0.277937972847988,"G_3","E_3",0.443393634754534,"raw"
"5",-0.580522262607146,"G_4","E_4",-0.310876983440361,"raw"
"6",0.184309045694876,"G_5","E_5",0.0397155596536868,"raw"
"7",-0.172962009760057,"G_6","E_6",0.000584119091431462,"raw"
"8",0.163172273326514,"G_7","E_7",-0.137769742679842,"raw"
"9",0.51557500598058,"G_8","E_8",0.39960065969945,"raw"
"10",0.180315786526318,"G_9","E_9",0.246095738013914,"raw"
"G_1",-0.721178487418005,"G_1","E_1",-0.429782199448845,"means"
"G_10",1.28932059726342,"G_10","E_10",-0.658336248420703,"means"
"G_2",-0.581914974078333,"G_2","E_2",0.303525510548226,"means"
"G_3",-0.320338476172771,"G_3","E_3",0.511035033631974,"means"
"G_4",-0.669083159391292,"G_4","E_4",-0.358302459113566,"means"
"G_5",0.212426097225101,"G_5","E_5",0.0457743205415572,"means"
"G_6",-0.199348027455818,"G_6","E_6",0.00067322869825587,"means"
"G_7",0.188064829197163,"G_7","E_7",-0.158787045111368,"means"
"G_8",0.594227949769627,"G_8","E_8",0.460561272337418,"means"
"G_9",0.207823651060905,"G_9","E_9",0.283638586337052,"means"
"11",-0.770350849779899,"G_1","E_1",-0.307248907004396,"raw.ne"
"21",1.15535798913064,"G_10","E_10",-0.771967868845163,"raw.ne"
"31",-0.562891189422857,"G_2","E_2",0.261716136324532,"raw.ne"
"41",-0.400107219339141,"G_3","E_3",0.46088173627028,"raw.ne"
"51",-0.63031176357929,"G_4","E_4",-0.392016984470892,"raw.ne"
"61",0.158418807721839,"G_5","E_5",0.176910960115305,"raw.ne"
"71",-0.165713889489848,"G_6","E_6",0.196388548603779,"raw.ne"
"81",0.267175706195753,"G_7","E_7",-0.117679940059528,"raw.ne"
"91",0.584588667301022,"G_8","E_8",0.29914359256844,"raw.ne"
"101",0.36383374126177,"G_9","E_9",0.193872726497633,"raw.ne"
"G_11",-0.767257058766816,"G_1","E_1",-0.306014970665464,"mean.ne"
"G_101",1.15071797845928,"G_10","E_10",-0.76886758375336,"mean.ne"
"G_21",-0.560630573102797,"G_2","E_2",0.260665063257273,"mean.ne"
"G_31",-0.39850035654433,"G_3","E_3",0.45903079812414,"mean.ne"
"G_41",-0.627780380807195,"G_4","E_4",-0.390442612710443,"mean.ne"
"G_51",0.157782585039961,"G_5","E_5",0.176200471461121,"mean.ne"
"G_61",-0.165048369172454,"G_6","E_6",0.195599836386599,"mean.ne"
"G_71",0.266102707056494,"G_7","E_7",-0.117207327948979,"mean.ne"
"G_81",0.582240912163525,"G_8","E_8",0.297942207824615,"mean.ne"
"G_91",0.362372555674329,"G_9","E_9",0.193094118024499,"mean.ne"
