"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",-0.471776624490684,"G_1","E_1",-0.0463974502156027,"raw"
"2",0.568910179518478,"G_10","E_10",0.469883526462755,"raw"
"3",-0.439877588454098,"G_2","E_2",-0.857988389457471,"raw"
"4",-0.679263140350528,"G_3","E_3",-0.325490939904947,"raw"
"5",-0.199599566917089,"G_4","E_4",0.0702762954349765,"raw"
"6",0.303740357798763,"G_5","E_5",-0.0136549091147686,"raw"
"7",-0.241061858136996,"G_6","E_6",-0.641690324023527,"raw"
"8",0.0909333737055952,"G_7","E_7",0.809374110954119,"raw"
"9",0.0562079835084685,"G_8","E_8",0.238391409105601,"raw"
"10",1.01178688381806,"G_9","E_9",0.297296670758834,"raw"
"G_1",-0.480279257262481,"G_1","E_1",-0.0472336520540521,"means"
"G_10",0.579163409724205,"G_10","E_10",0.478352040720661,"means"
"G_2",-0.447805318241905,"G_2","E_2",-0.873451555327341,"means"
"G_3",-0.691505215811657,"G_3","E_3",-0.331357126970795,"means"
"G_4",-0.203196866424535,"G_4","E_4",0.0715428557129289,"means"
"G_5",0.309214543220999,"G_5","E_5",-0.0139010058302682,"means"
"G_6",-0.245406415176541,"G_6","E_6",-0.65325524033169,"means"
"G_7",0.0925722278649226,"G_7","E_7",0.823961122016549,"means"
"G_8",0.0572209964849655,"G_8","E_8",0.242687837759237,"means"
"G_9",1.03002189562203,"G_9","E_9",0.30265472430477,"means"
"11",-0.466869928956161,"G_1","E_1",-0.0459447932900596,"raw.ne"
"21",0.559769776204419,"G_10","E_10",0.496145652018728,"raw.ne"
"31",-0.45543782090103,"G_2","E_2",-0.878393286990329,"raw.ne"
"41",-0.699782712765249,"G_3","E_3",-0.309207300122933,"raw.ne"
"51",-0.207914121770242,"G_4","E_4",0.0502096559172851,"raw.ne"
"61",0.297760915737235,"G_5","E_5",-0.0145673740854205,"raw.ne"
"71",-0.215445234185617,"G_6","E_6",-0.691635038604713,"raw.ne"
"81",0.0769811377916915,"G_7","E_7",0.846523901201138,"raw.ne"
"91",0.0722276700996463,"G_8","E_8",0.265895772214976,"raw.ne"
"101",1.03871031874526,"G_9","E_9",0.280972811741281,"raw.ne"
"G_11",-0.464684634776924,"G_1","E_1",-0.0457297379114386,"mean.ne"
"G_101",0.557149642505967,"G_10","E_10",0.493823325952836,"mean.ne"
"G_21",-0.453306037384264,"G_2","E_2",-0.874281761235327,"mean.ne"
"G_31",-0.69650721568544,"G_3","E_3",-0.307759982848396,"mean.ne"
"G_41",-0.206940930969319,"G_4","E_4",0.0499746378490586,"mean.ne"
"G_51",0.296367175948897,"G_5","E_5",-0.0144991880750976,"mean.ne"
"G_61",-0.214436792247052,"G_6","E_6",-0.688397678624371,"mean.ne"
"G_71",0.0766208095248822,"G_7","E_7",0.842561547579398,"mean.ne"
"G_81",0.0718895915530175,"G_8","E_8",0.264651184702983,"mean.ne"
"G_91",1.03384839153023,"G_9","E_9",0.279657652610352,"mean.ne"
