"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",0.553427525073246,"G_1","E_1",0.118738511509744,"raw"
"2",0.614580840813337,"G_2","E_2",-0.00308515081146984,"raw"
"3",0.0137163072382601,"G_3","E_3",0.34606643916501,"raw"
"4",-0.440766638428472,"G_4","E_4",-0.363006394412089,"raw"
"5",0.236316408386925,"G_5","E_5",-0.159203885886651,"raw"
"6",-0.32041978722837,"G_6","E_6",-0.0783664754646875,"raw"
"7",-0.656854655854914,"G_7","E_7",0.138856955900155,"raw"
"G_1",0.561202517939325,"G_1","E_1",0.120406645164264,"means"
"G_2",0.62321496440943,"G_2","E_2",-0.00312849347959278,"means"
"G_3",0.0139090049016044,"G_3","E_3",0.35092825751302,"means"
"G_4",-0.446958880979002,"G_4","E_4",-0.368106198811082,"means"
"G_5",0.239636370452608,"G_5","E_5",-0.161440509511139,"means"
"G_6",-0.324921300880984,"G_6","E_6",-0.0794674304408586,"means"
"G_7",-0.666082675842982,"G_7","E_7",0.140807729565387,"means"
"11",0.56613454979366,"G_1","E_1",0.166207889398459,"raw.ne"
"21",0.604331647343236,"G_2","E_2",-0.023043201688883,"raw.ne"
"31",0.0693368009973709,"G_3","E_3",0.35931688455353,"raw.ne"
"41",-0.414322075206263,"G_4","E_4",-0.396430963758415,"raw.ne"
"51",0.210901715639122,"G_5","E_5",-0.160300240989018,"raw.ne"
"61",-0.369393452358907,"G_6","E_6",-0.0801635779710072,"raw.ne"
"71",-0.666989186208214,"G_7","E_7",0.134413210455338,"raw.ne"
"G_11",0.560900527882806,"G_1","E_1",0.164671265754505,"mean.ne"
"G_21",0.598744485978929,"G_2","E_2",-0.022830162893457,"mean.ne"
"G_31",0.0686957690451702,"G_3","E_3",0.355994931411154,"mean.ne"
"G_41",-0.410491588583312,"G_4","E_4",-0.392765883873762,"mean.ne"
"G_51",0.208951889045617,"G_5","E_5",-0.158818234681581,"mean.ne"
"G_61",-0.365978339424924,"G_6","E_6",-0.0794224504003537,"mean.ne"
"G_71",-0.660822743944286,"G_7","E_7",0.133170534683494,"mean.ne"
