"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",0.456436089280498,"G_1","E_1",-0.0753798485503437,"raw"
"2",0.282213218076986,"G_2","E_2",-0.157114398600366,"raw"
"3",-0.138634081916272,"G_3","E_3",-0.535287933347432,"raw"
"4",-0.227837699381979,"G_4","E_4",0.191088770686959,"raw"
"5",-0.372177526059233,"G_5","E_5",0.576693409811183,"raw"
"G_1",0.689479343433949,"G_1","E_1",-0.113866650134019,"means"
"G_2",0.426303241303355,"G_2","E_2",-0.237332531180348,"means"
"G_3",-0.209416691672815,"G_3","E_3",-0.808590691008432,"means"
"G_4",-0.34416513301351,"G_4","E_4",0.288653249042011,"means"
"G_5",-0.562200760050979,"G_5","E_5",0.871136623280788,"means"
"11",0.778993442992597,"G_1","E_1",0.0576758635536975,"raw.ne"
"21",0.43156872435522,"G_2","E_2",-0.442366993127095,"raw.ne"
"31",-0.205182882874041,"G_3","E_3",-0.680353500512453,"raw.ne"
"41",-0.298942512549066,"G_4","E_4",0.275996907515509,"raw.ne"
"51",-0.706436771924709,"G_5","E_5",0.789047722570343,"raw.ne"
"G_11",0.766326038731257,"G_1","E_1",0.0567379821294953,"mean.ne"
"G_21",0.424550879022719,"G_2","E_2",-0.435173554486215,"mean.ne"
"G_31",-0.201846353474144,"G_3","E_3",-0.669290104653178,"mean.ne"
"G_41",-0.294081334715769,"G_4","E_4",0.271508853817717,"mean.ne"
"G_51",-0.694949229564062,"G_5","E_5",0.776216823192181,"mean.ne"
