"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",-0.948463717942997,"G_1","E_1",0.0780133973042449,"raw"
"2",-0.587542211526979,"G_2","E_2",-0.369137720979187,"raw"
"3",0.389687082839375,"G_3","E_3",-0.400478173371039,"raw"
"4",0.272177970084072,"G_4","E_4",0.0920361676421486,"raw"
"5",0.874140876546531,"G_5","E_5",0.599566329403834,"raw"
"G_1",-1.13279625087978,"G_1","E_1",0.0931751866864325,"means"
"G_2",-0.70173017887794,"G_2","E_2",-0.440879095818687,"means"
"G_3",0.465422196026743,"G_3","E_3",-0.478310519181248,"means"
"G_4",0.325075359500295,"G_4","E_4",0.109923261879203,"means"
"G_5",1.04402887423068,"G_5","E_5",0.716091166434299,"means"
"11",-1.15316881743729,"G_1","E_1",0.127917207673961,"raw.ne"
"21",-0.696684213238177,"G_2","E_2",-0.333955077888207,"raw.ne"
"31",0.433706828045884,"G_3","E_3",-0.507621926386315,"raw.ne"
"41",0.238949068380198,"G_4","E_4",-0.0468629262490056,"raw.ne"
"51",1.17719713424939,"G_5","E_5",0.760522722849571,"raw.ne"
"G_11",-1.13137958913675,"G_1","E_1",0.125500200554597,"mean.ne"
"G_21",-0.683520302502743,"G_2","E_2",-0.32764496671958,"mean.ne"
"G_31",0.425511898605456,"G_3","E_3",-0.498030364528984,"mean.ne"
"G_41",0.234434104287857,"G_4","E_4",-0.0459774470516574,"mean.ne"
"G_51",1.15495388874618,"G_5","E_5",0.746152577745624,"mean.ne"
