"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",-0.3629313014504,"G_1","E_1",-0.531652956016753,"raw"
"2",-0.673420532935184,"G_2","E_2",-0.127370129926185,"raw"
"3",-0.206160398635407,"G_3","E_3",0.169908935375567,"raw"
"4",0.551493150918422,"G_4","E_4",0.234949604325249,"raw"
"5",0.691019082102572,"G_5","E_5",0.254164546242125,"raw"
"G_1",-0.500545340692776,"G_1","E_1",-0.73324182548111,"means"
"G_2",-0.928763952683255,"G_2","E_2",-0.175665545581762,"means"
"G_3",-0.284331019561898,"G_3","E_3",0.234333951368841,"means"
"G_4",0.760604902396161,"G_4","E_4",0.324036337655724,"means"
"G_5",0.953035410541768,"G_5","E_5",0.350537082038306,"means"
"11",-0.803419348331975,"G_1","E_1",-0.641622480871916,"raw.ne"
"21",-0.886132414921297,"G_2","E_2",-0.148457325204702,"raw.ne"
"31",-0.0841611872628929,"G_3","E_3",0.188899866446115,"raw.ne"
"41",0.800642297014248,"G_4","E_4",0.287998998658174,"raw.ne"
"51",0.973070653501915,"G_5","E_5",0.313180940972327,"raw.ne"
"G_11",-0.788238667639635,"G_1","E_1",-0.629498966511244,"mean.ne"
"G_21",-0.869388863412389,"G_2","E_2",-0.145652210721148,"mean.ne"
"G_31",-0.0825709540762311,"G_3","E_3",0.185330586516152,"mean.ne"
"G_41",0.785514088955798,"G_4","E_4",0.282557231731078,"mean.ne"
"G_51",0.954684396172458,"G_5","E_5",0.307263358985162,"mean.ne"
