"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",0.492362575340337,"G_1","E_1",-0.0923458748857164,"raw"
"2",0.12416755155777,"G_2","E_2",-0.0586621584590113,"raw"
"3",0.0684859151829101,"G_3","E_3",-0.364256671851469,"raw"
"4",0.0559206464733854,"G_4","E_4",-0.244178836248611,"raw"
"5",-0.0217501306482863,"G_5","E_5",0.180045656812998,"raw"
"6",-0.0591762310545896,"G_6","E_6",0.125449078405088,"raw"
"7",-0.660010326851529,"G_7","E_7",0.45394880622672,"raw"
"G_1",0.532572526275326,"G_1","E_1",-0.0998875185527596,"means"
"G_2",0.134307987500542,"G_2","E_2",-0.063452941982206,"means"
"G_3",0.0740789789679499,"G_3","E_3",-0.394004552044775,"means"
"G_4",0.060487537954519,"G_4","E_4",-0.264120276798058,"means"
"G_5",-0.0235264063646019,"G_5","E_5",0.194749510007997,"means"
"G_6",-0.0640089975287235,"G_6","E_6",0.135694173260283,"means"
"G_7",-0.713911626805012,"G_7","E_7",0.49102160610952,"means"
"11",0.519801994700605,"G_1","E_1",-0.138978874846271,"raw.ne"
"21",0.0164191649709603,"G_2","E_2",-0.0941162240336342,"raw.ne"
"31",0.165271755079228,"G_3","E_3",-0.408710333874343,"raw.ne"
"41",-0.06574474405241,"G_4","E_4",-0.186859031861127,"raw.ne"
"51",0.0302785182932782,"G_5","E_5",0.181294900486504,"raw.ne"
"61",0.0533827404954806,"G_6","E_6",0.153252720495115,"raw.ne"
"71",-0.719409429487147,"G_7","E_7",0.494116843633753,"raw.ne"
"G_11",0.514996326100159,"G_1","E_1",-0.137693988636171,"mean.ne"
"G_21",0.0162673666586213,"G_2","E_2",-0.0932461015884697,"mean.ne"
"G_31",0.16374378617565,"G_3","E_3",-0.404931728870513,"mean.ne"
"G_41",-0.0651369213519179,"G_4","E_4",-0.185131484465624,"mean.ne"
"G_51",0.0299985876156046,"G_5","E_5",0.179618794547004,"mean.ne"
"G_61",0.052889206876102,"G_6","E_6",0.151835869859057,"mean.ne"
"G_71",-0.712758352074219,"G_7","E_7",0.489548639154717,"mean.ne"
