"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",0.371794035352742,"G_1","E_1",-0.847893090041552,"raw"
"2",-0.215535664533374,"G_2","E_2",-0.447620752516418,"raw"
"3",-0.252487744356443,"G_3","E_3",-0.593157160066864,"raw"
"4",0.371989132356526,"G_4","E_4",-0.250596715767181,"raw"
"5",-0.296735958814172,"G_5","E_5",0.456752928661949,"raw"
"6",0.335016175914068,"G_6","E_6",0.829552814245287,"raw"
"7",-0.314039975919347,"G_7","E_7",0.852961975484777,"raw"
"G_1",0.405228291468472,"G_1","E_1",-0.924141421202402,"means"
"G_2",-0.234918101917664,"G_2","E_2",-0.487873864345253,"means"
"G_3",-0.275193164853281,"G_3","E_3",-0.646497898542507,"means"
"G_4",0.405440932925825,"G_4","E_4",-0.273132082072266,"means"
"G_5",-0.323420480625628,"G_5","E_5",0.49782726807141,"means"
"G_6",0.365143116002807,"G_6","E_6",0.904151862685332,"means"
"G_7",-0.342280593000531,"G_7","E_7",0.929666135405685,"means"
"11",0.342990355658544,"G_1","E_1",-0.88704042629752,"raw.ne"
"21",-0.284900321604101,"G_2","E_2",-0.478866460569977,"raw.ne"
"31",-0.27146052617336,"G_3","E_3",-0.652543081566773,"raw.ne"
"41",0.386496138045989,"G_4","E_4",-0.33313993142849,"raw.ne"
"51",-0.327014533480643,"G_5","E_5",0.517108742850484,"raw.ne"
"61",0.447358215694049,"G_6","E_6",0.926328599236749,"raw.ne"
"71",-0.293469328140479,"G_7","E_7",0.908152557775526,"raw.ne"
"G_11",0.339819344390317,"G_1","E_1",-0.878839568341139,"mean.ne"
"G_21",-0.282266363782171,"G_2","E_2",-0.474439248791592,"mean.ne"
"G_31",-0.268950821824039,"G_3","E_3",-0.646510196296057,"mean.ne"
"G_41",0.382922907520258,"G_4","E_4",-0.330059989211375,"mean.ne"
"G_51",-0.323991221736061,"G_5","E_5",0.51232797387717,"mean.ne"
"G_61",0.443222303650176,"G_6","E_6",0.917764514626786,"mean.ne"
"G_71",-0.29075614821848,"G_7","E_7",0.899756514136207,"mean.ne"
