"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",-0.338720922309718,"G_1","E_1",0.363484341009821,"raw"
"2",-0.204955741994874,"G_2","E_2",-0.0205130526177059,"raw"
"3",-0.596514145020479,"G_3","E_3",0.0848518893743589,"raw"
"4",0.174946094395349,"G_4","E_4",-0.116497871769243,"raw"
"5",-0.123320220038015,"G_5","E_5",-0.0014673142428568,"raw"
"6",0.276718989292123,"G_6","E_6",0.21114092977484,"raw"
"7",0.811845945675636,"G_7","E_7",-0.520998921529194,"raw"
"G_1",-0.343663166202288,"G_1","E_1",0.368787905525832,"means"
"G_2",-0.207946231207094,"G_2","E_2",-0.0208123565648007,"means"
"G_3",-0.605217824645469,"G_3","E_3",0.0860899550042402,"means"
"G_4",0.177498715770663,"G_4","E_4",-0.118197680837179,"means"
"G_5",-0.125119573323178,"G_5","E_5",-0.00148872368167163,"means"
"G_6",0.280756569036121,"G_6","E_6",0.214221666457804,"means"
"G_7",0.823691510571246,"G_7","E_7",-0.528600765904225,"means"
"11",-0.341418689961749,"G_1","E_1",0.368061191765487,"raw.ne"
"21",-0.231558077604966,"G_2","E_2",-0.0426158300451841,"raw.ne"
"31",-0.635683620121475,"G_3","E_3",0.118130084511441,"raw.ne"
"41",0.204981061478625,"G_4","E_4",-0.144891297744716,"raw.ne"
"51",-0.104501878775584,"G_5","E_5",0.000673569977235746,"raw.ne"
"61",0.282496984695137,"G_6","E_6",0.219753112103979,"raw.ne"
"71",0.825684220290034,"G_7","E_7",-0.519110830568221,"raw.ne"
"G_11",-0.338146977491404,"G_1","E_1",0.364534172225072,"mean.ne"
"G_21",-0.229339126292736,"G_2","E_2",-0.0422074553817591,"mean.ne"
"G_31",-0.629592055458236,"G_3","E_3",0.116998079492435,"mean.ne"
"G_41",0.203016789706918,"G_4","E_4",-0.143502848079772,"mean.ne"
"G_51",-0.103500468747315,"G_5","E_5",0.000667115359005349,"mean.ne"
"G_61",0.279789901179099,"G_6","E_6",0.217647284220472,"mean.ne"
"G_71",0.817771937103674,"G_7","E_7",-0.514136347835453,"mean.ne"
