"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",0.267064444293492,"G_1","E_1",-0.0165965459123749,"raw"
"2",0.0869111849589322,"G_2","E_2",0.235323781156702,"raw"
"3",0.0762197808746636,"G_3","E_3",-0.0683736914124438,"raw"
"4",-0.149239453702199,"G_4","E_4",0.154090751261557,"raw"
"5",-0.457964952554685,"G_5","E_5",-0.110570692570345,"raw"
"6",0.29816721598155,"G_6","E_6",-0.322266437677546,"raw"
"7",-0.121158219851756,"G_7","E_7",0.12839283515445,"raw"
"G_1",0.451131094502994,"G_1","E_1",-0.0280352479800317,"means"
"G_2",0.146812272591357,"G_2","E_2",0.397514072817343,"means"
"G_3",0.128752119211264,"G_3","E_3",-0.115498333459211,"means"
"G_4",-0.252098545988822,"G_4","E_4",0.260293463824111,"means"
"G_5",-0.773604404122621,"G_5","E_5",-0.186778429795004,"means"
"G_6",0.50367057601589,"G_6","E_6",-0.544379507858708,"means"
"G_7",-0.204663112210063,"G_7","E_7",0.216883982451501,"means"
"11",-0.214820787959174,"G_1","E_1",-0.0576525780891934,"raw.ne"
"21",0.012495557025139,"G_2","E_2",0.571990781970532,"raw.ne"
"31",0.113307315999983,"G_3","E_3",0.077670179562687,"raw.ne"
"41",-0.0430406335756068,"G_4","E_4",0.610003365953276,"raw.ne"
"51",-0.252019172278572,"G_5","E_5",-0.352774931382347,"raw.ne"
"61",0.46874295781089,"G_6","E_6",-0.864587243443089,"raw.ne"
"71",-0.0846652370226599,"G_7","E_7",0.0153504254281345,"raw.ne"
"G_11",-0.213052685563074,"G_1","E_1",-0.0571780632043438,"mean.ne"
"G_21",0.0123927111854659,"G_2","E_2",0.567282958850825,"mean.ne"
"G_31",0.112374729638959,"G_3","E_3",0.0770309079544938,"mean.ne"
"G_41",-0.0426863836537179,"G_4","E_4",0.604982676739654,"mean.ne"
"G_51",-0.249944905134311,"G_5","E_5",-0.349871384628862,"mean.ne"
"G_61",0.464884925472715,"G_6","E_6",-0.857471178041368,"mean.ne"
"G_71",-0.0839683919460369,"G_7","E_7",0.0152240823296012,"mean.ne"
