"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",1.14159515046781,"G_1","E_1",-0.710590041625617,"raw"
"2",-1.02412286078353,"G_10","E_10",0.33231723995546,"raw"
"3",0.724688463094151,"G_2","E_2",-0.592748520963036,"raw"
"4",0.618332753393698,"G_3","E_3",-0.473464109787945,"raw"
"5",0.316377070342369,"G_4","E_4",-0.349749758314822,"raw"
"6",0.008377509709482,"G_5","E_5",0.140320904819031,"raw"
"7",-0.170470795861281,"G_6","E_6",0.298879483663508,"raw"
"8",-0.330581759882822,"G_7","E_7",0.139600107932174,"raw"
"9",-0.728913210321305,"G_8","E_8",0.624073309188329,"raw"
"10",-0.555282320158545,"G_9","E_9",0.591361385132937,"raw"
"G_1",1.2152342368997,"G_1","E_1",-0.756426958041625,"means"
"G_10",-1.0901843466187,"G_10","E_10",0.353753506521462,"means"
"G_2",0.77143480425381,"G_2","E_2",-0.63098401937918,"means"
"G_3",0.658218573732164,"G_3","E_3",-0.504005115930788,"means"
"G_4",0.336785109408117,"G_4","E_4",-0.372310516979152,"means"
"G_5",0.0089179045783035,"G_5","E_5",0.14937236516725,"means"
"G_6",-0.181467087905286,"G_6","E_6",0.318158833370969,"means"
"G_7",-0.351906078559931,"G_7","E_7",0.148605072967021,"means"
"G_8",-0.775932070618845,"G_8","E_8",0.664329426548607,"means"
"G_9",-0.591101045169335,"G_9","E_9",0.629507405755436,"means"
"11",1.24179324689487,"G_1","E_1",-0.776336435126597,"raw.ne"
"21",-1.0668809540562,"G_10","E_10",0.325586288956479,"raw.ne"
"31",0.757373699907506,"G_2","E_2",-0.601912695860179,"raw.ne"
"41",0.697763084994103,"G_3","E_3",-0.512543823176956,"raw.ne"
"51",0.332000555349895,"G_4","E_4",-0.345098555063276,"raw.ne"
"61",-0.0472445136119401,"G_5","E_5",0.133221424281982,"raw.ne"
"71",-0.181693051998527,"G_6","E_6",0.299251145855653,"raw.ne"
"81",-0.332855217613732,"G_7","E_7",0.133384056497355,"raw.ne"
"91",-0.807040227802989,"G_8","E_8",0.662340659924694,"raw.ne"
"101",-0.59321662206295,"G_9","E_9",0.682107933710876,"raw.ne"
"G_11",1.23618692820901,"G_1","E_1",-0.772831512327545,"mean.ne"
"G_101",-1.06206431115429,"G_10","E_10",0.324116365923637,"mean.ne"
"G_21",0.753954388088418,"G_2","E_2",-0.599195243174336,"mean.ne"
"G_31",0.694612896964423,"G_3","E_3",-0.510229843760185,"mean.ne"
"G_41",0.330501673855874,"G_4","E_4",-0.343540540085703,"mean.ne"
"G_51",-0.0470312190074388,"G_5","E_5",0.132619970084862,"mean.ne"
"G_61",-0.180872763150097,"G_6","E_6",0.297900117981266,"mean.ne"
"G_71",-0.331352477579625,"G_7","E_7",0.132781868065252,"mean.ne"
"G_81",-0.80339668672182,"G_8","E_8",0.659350393366693,"mean.ne"
"G_91",-0.590538429504457,"G_9","E_9",0.679028423926061,"mean.ne"
