"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",0.0374333973447346,"G_1","E_1",-1.05516069789114,"raw"
"2",-0.0923354304288729,"G_10","E_10",1.00625589361688,"raw"
"3",-0.0265887240334271,"G_2","E_2",-0.922539315254281,"raw"
"4",0.121541108611846,"G_3","E_3",-0.565335878008916,"raw"
"5",-0.0243981793863424,"G_4","E_4",-0.488246777416225,"raw"
"6",-0.0553430186352991,"G_5","E_5",-0.0485403174944954,"raw"
"7",0.0354850165541551,"G_6","E_6",0.184033399598856,"raw"
"8",0.0494262237158892,"G_7","E_7",0.36297936756348,"raw"
"9",-0.0230206680210325,"G_8","E_8",0.582901419617344,"raw"
"10",-0.0221997257216715,"G_9","E_9",0.943652905668473,"raw"
"G_1",0.0492513050511071,"G_1","E_1",-1.38828012138971,"means"
"G_10",-0.121486180086652,"G_10","E_10",1.32393582980447,"means"
"G_2",-0.0349829150218519,"G_2","E_2",-1.21378951578439,"means"
"G_3",0.159912234557946,"G_3","E_3",-0.743815196032922,"means"
"G_4",-0.0321008046526494,"G_4","E_4",-0.642388687120562,"means"
"G_5",-0.0728150818947695,"G_5","E_5",-0.0638647345359309,"means"
"G_6",0.0466878108593163,"G_6","E_6",0.242133649258825,"means"
"G_7",0.0650303257098875,"G_7","E_7",0.477573739687355,"means"
"G_8",-0.0302884061722357,"G_8","E_8",0.766926265546029,"means"
"G_9",-0.0292082883500969,"G_9","E_9",1.24156877056684,"means"
"11",0.056248810547133,"G_1","E_1",-1.4985017549871,"raw.ne"
"21",-0.102883598721417,"G_10","E_10",1.44044013412059,"raw.ne"
"31",-0.106804681610818,"G_2","E_2",-1.18063065471594,"raw.ne"
"41",0.0609796497290969,"G_3","E_3",-0.755931005792054,"raw.ne"
"51",0.0523285422961642,"G_4","E_4",-0.71665474640574,"raw.ne"
"61",-0.116991332018347,"G_5","E_5",-0.139255086665246,"raw.ne"
"71",0.0233527727461849,"G_6","E_6",0.243065112427343,"raw.ne"
"81",0.0945836254558149,"G_7","E_7",0.585474693495277,"raw.ne"
"91",0.0414262146993764,"G_8","E_8",0.75657784389161,"raw.ne"
"101",-0.00224000312321776,"G_9","E_9",1.26541546463122,"raw.ne"
"G_11",0.0559855247995288,"G_1","E_1",-1.49148766613785,"mean.ne"
"G_101",-0.102402027912328,"G_10","E_10",1.43369781630275,"mean.ne"
"G_21",-0.10630475725381,"G_2","E_2",-1.17510443608938,"mean.ne"
"G_31",0.060694220179371,"G_3","E_3",-0.752392693460458,"mean.ne"
"G_41",0.0520836062833832,"G_4","E_4",-0.713300275816129,"mean.ne"
"G_51",-0.11644372665543,"G_5","E_5",-0.138603270578074,"mean.ne"
"G_61",0.0232434646173392,"G_6","E_6",0.241927389172068,"mean.ne"
"G_71",0.0941409046178712,"G_7","E_7",0.582734241903878,"mean.ne"
"G_81",0.0412323095874078,"G_8","E_8",0.753036503882634,"mean.ne"
"G_91",-0.00222951826333406,"G_9","E_9",1.25949239082057,"mean.ne"
