"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",-0.71648610939173,"G_1","E_1",-0.287614911071448,"raw"
"2",-0.633834512922799,"G_2","E_2",-0.361901196106219,"raw"
"3",-0.114375964169777,"G_3","E_3",-0.0449454082326075,"raw"
"4",-0.32991274368207,"G_4","E_4",0.0225963335470002,"raw"
"5",0.305948084752724,"G_5","E_5",-0.150658420514165,"raw"
"6",0.776050347928029,"G_6","E_6",0.439194965046306,"raw"
"7",0.712610897485623,"G_7","E_7",0.383328637331133,"raw"
"G_1",-0.742627641670095,"G_1","E_1",-0.298108756497005,"means"
"G_2",-0.656960439806127,"G_2","E_2",-0.375105432274325,"means"
"G_3",-0.118549056878789,"G_3","E_3",-0.0465852751116389,"means"
"G_4",-0.341949857207316,"G_4","E_4",0.02342077769887,"means"
"G_5",0.317110829749771,"G_5","E_5",-0.156155305814885,"means"
"G_6",0.804365126057113,"G_6","E_6",0.455219322259599,"means"
"G_7",0.738611039755443,"G_7","E_7",0.397314669739384,"means"
"11",-0.734934986368364,"G_1","E_1",-0.366426854874179,"raw.ne"
"21",-0.603364322372601,"G_2","E_2",-0.363929335433949,"raw.ne"
"31",-0.110283773394651,"G_3","E_3",-0.0683098666435296,"raw.ne"
"41",-0.352774900324966,"G_4","E_4",0.00308645638641119,"raw.ne"
"51",0.269823661023672,"G_5","E_5",-0.162797050307702,"raw.ne"
"61",0.728000577895007,"G_6","E_6",0.487464430657782,"raw.ne"
"71",0.803533743541903,"G_7","E_7",0.470912220215167,"raw.ne"
"G_11",-0.728886035879367,"G_1","E_1",-0.363410944699698,"mean.ne"
"G_21",-0.598398276422204,"G_2","E_2",-0.360933981324566,"mean.ne"
"G_31",-0.109376072581137,"G_3","E_3",-0.0677476359579568,"mean.ne"
"G_41",-0.349871353827104,"G_4","E_4",0.00306105302118594,"mean.ne"
"G_51",0.267602852385403,"G_5","E_5",-0.161457134103787,"mean.ne"
"G_61",0.722008701697347,"G_6","E_6",0.483452309503003,"mean.ne"
"G_71",0.796920184627063,"G_7","E_7",0.467036333561818,"mean.ne"
