"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",-0.598824226703266,"G_1","E_1",-0.211157865374181,"raw"
"2",0.164735625275632,"G_2","E_2",-0.207928335825014,"raw"
"3",-0.344257664897514,"G_3","E_3",-0.271462205790861,"raw"
"4",-0.14342968340814,"G_4","E_4",-0.0963722210707776,"raw"
"5",0.92177594973329,"G_5","E_5",0.786920628060837,"raw"
"G_1",-0.621758212617609,"G_1","E_1",-0.219244865355555,"means"
"G_2",0.171044729585686,"G_2","E_2",-0.215891650120521,"means"
"G_3",-0.357442168939928,"G_3","E_3",-0.281858763121481,"means"
"G_4",-0.148922805082739,"G_4","E_4",-0.10006311910398,"means"
"G_5",0.95707845705459,"G_5","E_5",0.817058397701536,"means"
"11",-0.662293893867979,"G_1","E_1",-0.128065628243854,"raw.ne"
"21",0.13139600350914,"G_2","E_2",-0.227464976040159,"raw.ne"
"31",-0.347774635787471,"G_3","E_3",-0.281994714274477,"raw.ne"
"41",-0.1425968347857,"G_4","E_4",-0.124297862456985,"raw.ne"
"51",1.02126936093201,"G_5","E_5",0.761823181015475,"raw.ne"
"G_11",-0.649779791303522,"G_1","E_1",-0.125645816704502,"mean.ne"
"G_21",0.128913264230249,"G_2","E_2",-0.223167004903258,"mean.ne"
"G_31",-0.341203402832047,"G_3","E_3",-0.276666398839684,"mean.ne"
"G_41",-0.139902454794581,"G_4","E_4",-0.121949243190328,"mean.ne"
"G_51",1.0019723846999,"G_5","E_5",0.747428463637771,"mean.ne"
