"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",0.278045631907932,"G_1","E_1",0.00606901269599566,"raw"
"2",-0.544426863482537,"G_2","E_2",-0.00446791325808986,"raw"
"3",-0.404825517892891,"G_3","E_3",0.209255224184252,"raw"
"4",0.423197610155478,"G_4","E_4",-0.549048285372284,"raw"
"5",0.248009139312019,"G_5","E_5",0.338191961750128,"raw"
"G_1",0.292773011776577,"G_1","E_1",0.006390473079269,"means"
"G_2",-0.573263789184924,"G_2","E_2",-0.00470456741920798,"means"
"G_3",-0.426268110396925,"G_3","E_3",0.220338948661104,"means"
"G_4",0.445613326315066,"G_4","E_4",-0.578129996203054,"means"
"G_5",0.261145561490206,"G_5","E_5",0.356105141881889,"means"
"11",0.352834141101182,"G_1","E_1",-0.109787523801095,"raw.ne"
"21",-0.513126314713694,"G_2","E_2",-0.0723330263271073,"raw.ne"
"31",-0.494258698129359,"G_3","E_3",0.271980038408185,"raw.ne"
"41",0.462956753302421,"G_4","E_4",-0.474632572137286,"raw.ne"
"51",0.191594118439449,"G_5","E_5",0.384773083857303,"raw.ne"
"G_11",0.347096618221195,"G_1","E_1",-0.108002241833258,"mean.ne"
"G_21",-0.504782241314776,"G_2","E_2",-0.071156801168635,"mean.ne"
"G_31",-0.486221435691262,"G_3","E_3",0.2675573040084,"mean.ne"
"G_41",0.455428499499579,"G_4","E_4",-0.466914454968335,"mean.ne"
"G_51",0.188478559285263,"G_5","E_5",0.378516193961828,"mean.ne"
