"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",-0.92008473795998,"G_1","E_1",-0.855550066235822,"raw"
"2",-0.863638039509197,"G_2","E_2",-0.486698700242894,"raw"
"3",0.0692021937382991,"G_3","E_3",-0.252154557826054,"raw"
"4",0.188314979667073,"G_4","E_4",0.174429507223115,"raw"
"5",0.216252582695929,"G_5","E_5",0.519114223172945,"raw"
"6",0.621664878975798,"G_6","E_6",0.380432456887161,"raw"
"7",0.68828814239208,"G_7","E_7",0.520427137021551,"raw"
"G_1",-0.961586857341593,"G_1","E_1",-0.894141230202519,"means"
"G_2",-0.902594026430232,"G_2","E_2",-0.508652142928109,"means"
"G_3",0.0723236863438224,"G_3","E_3",-0.263528454305107,"means"
"G_4",0.1968092742087,"G_4","E_4",0.182297471915691,"means"
"G_5",0.226007054358535,"G_5","E_5",0.542529827816685,"means"
"G_6",0.649706220124238,"G_6","E_6",0.397592564636994,"means"
"G_7",0.71933464873653,"G_7","E_7",0.543901963066365,"means"
"11",-1.02332326186318,"G_1","E_1",-0.876442924914575,"raw.ne"
"21",-0.961239857301417,"G_2","E_2",-0.446088653961735,"raw.ne"
"31",0.0690882973504588,"G_3","E_3",-0.304494435002558,"raw.ne"
"41",0.271465839842133,"G_4","E_4",0.216248688618417,"raw.ne"
"51",0.234193761924191,"G_5","E_5",0.571327793318301,"raw.ne"
"61",0.619890725573726,"G_6","E_6",0.328710410570339,"raw.ne"
"71",0.789924494474096,"G_7","E_7",0.510739121371818,"raw.ne"
"G_11",-1.0149007049567,"G_1","E_1",-0.869229280228214,"mean.ne"
"G_21",-0.953328283607532,"G_2","E_2",-0.442417079970056,"mean.ne"
"G_31",0.0685196597188381,"G_3","E_3",-0.301988265347188,"mean.ne"
"G_41",0.269231515098966,"G_4","E_4",0.214468833753664,"mean.ne"
"G_51",0.232266208471181,"G_5","E_5",0.566625426988112,"mean.ne"
"G_61",0.614788657530791,"G_6","E_6",0.326004929084712,"mean.ne"
"G_71",0.783422947744457,"G_7","E_7",0.50653543571897,"mean.ne"
