"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",-0.649202293574179,"G_1","E_1",-0.452718847470305,"raw"
"2",-0.0689107739996996,"G_2","E_2",-0.371033898420266,"raw"
"3",-0.138512919106197,"G_3","E_3",-0.0909210597908682,"raw"
"4",0.377851554736557,"G_4","E_4",0.414900149517456,"raw"
"5",0.478774431943519,"G_5","E_5",0.499773656163984,"raw"
"G_1",-1.04416461646087,"G_1","E_1",-0.728144380283869,"means"
"G_2",-0.11083477771971,"G_2","E_2",-0.596763862470418,"means"
"G_3",-0.222781543572709,"G_3","E_3",-0.146235702591369,"means"
"G_4",0.607729251168401,"G_4","E_4",0.667317506081722,"means"
"G_5",0.770051686584894,"G_5","E_5",0.803826439263934,"means"
"11",-0.990776169115907,"G_1","E_1",-1.0042433583174,"raw.ne"
"21",-0.427832881468453,"G_2","E_2",-0.393404942606245,"raw.ne"
"31",0.0396383023473798,"G_3","E_3",-0.184888651020569,"raw.ne"
"41",0.603925345241174,"G_4","E_4",0.665108793748865,"raw.ne"
"51",0.775045402995812,"G_5","E_5",0.917428158195351,"raw.ne"
"G_11",-0.972055364479885,"G_1","E_1",-0.985268089932748,"mean.ne"
"G_21",-0.419748940775788,"G_2","E_2",-0.385971520908229,"mean.ne"
"G_31",0.0388893330670482,"G_3","E_3",-0.181395163366076,"mean.ne"
"G_41",0.592514121641507,"G_4","E_4",0.652541503398524,"mean.ne"
"G_51",0.760400850547119,"G_5","E_5",0.900093270808529,"mean.ne"
