"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",0.140306185430355,"G_1","E_1",-0.268429302339374,"raw"
"2",-0.17294367492628,"G_2","E_2",-0.75552028279705,"raw"
"3",-0.197047940794359,"G_3","E_3",0.82393555534297,"raw"
"4",-0.193208954584559,"G_4","E_4",0.209284635388017,"raw"
"5",0.422894384874843,"G_5","E_5",-0.00927060559456256,"raw"
"G_1",0.152580624036778,"G_1","E_1",-0.291912365339228,"means"
"G_2",-0.188073346606403,"G_2","E_2",-0.821615639168244,"means"
"G_3",-0.214286331563692,"G_3","E_3",0.896016100891895,"means"
"G_4",-0.210111498431687,"G_4","E_4",0.227593531752486,"means"
"G_5",0.459890552565004,"G_5","E_5",-0.0100816281369094,"means"
"11",0.166187523329578,"G_1","E_1",-0.234696941331216,"raw.ne"
"21",-0.119675267331556,"G_2","E_2",-0.796984423219819,"raw.ne"
"31",-0.277818716215951,"G_3","E_3",0.823603143106,"raw.ne"
"41",-0.245003372651033,"G_4","E_4",0.190585818224489,"raw.ne"
"51",0.476309832868962,"G_5","E_5",0.017492403220547,"raw.ne"
"G_11",0.163485107076726,"G_1","E_1",-0.230880476556723,"mean.ne"
"G_21",-0.117729198330575,"G_2","E_2",-0.784024463197398,"mean.ne"
"G_31",-0.273301037638127,"G_3","E_3",0.810210329522676,"mean.ne"
"G_41",-0.241019312458126,"G_4","E_4",0.187486655288466,"mean.ne"
"G_51",0.468564441350102,"G_5","E_5",0.0172079549429786,"mean.ne"
