"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",-0.758560247198653,"G_1","E_1",-0.248750341896235,"raw"
"2",-0.138888631644444,"G_2","E_2",-0.239515604628223,"raw"
"3",0.0531796889811226,"G_3","E_3",0.359611090144042,"raw"
"4",0.408151928403403,"G_4","E_4",0.174692192315157,"raw"
"5",0.436117261458567,"G_5","E_5",-0.0460373359347459,"raw"
"G_1",-0.840263980567368,"G_1","E_1",-0.275542981880627,"means"
"G_2",-0.153848181356849,"G_2","E_2",-0.265313580689408,"means"
"G_3",0.0589076178373868,"G_3","E_3",0.398344425741406,"means"
"G_4",0.452113547082146,"G_4","E_4",0.193508106219461,"means"
"G_5",0.483090997004685,"G_5","E_5",-0.0509959693908319,"means"
"11",-0.863100972927854,"G_1","E_1",-0.30883545925344,"raw.ne"
"21",-0.17593063090729,"G_2","E_2",-0.258360692166981,"raw.ne"
"31",0.0816910251149755,"G_3","E_3",0.368764333001254,"raw.ne"
"41",0.484974518662109,"G_4","E_4",0.14863157842239,"raw.ne"
"51",0.472366060058051,"G_5","E_5",0.0498002399967683,"raw.ne"
"G_11",-0.847359208602739,"G_1","E_1",-0.303202728938797,"mean.ne"
"G_21",-0.172721900276483,"G_2","E_2",-0.253648551577957,"mean.ne"
"G_31",0.0802010941507279,"G_3","E_3",0.362038583171638,"mean.ne"
"G_41",0.476129256269963,"G_4","E_4",0.145920744635639,"mean.ne"
"G_51",0.46375075845853,"G_5","E_5",0.0488919527094763,"mean.ne"
