"","G_means","gen_factor","exp_env_factor","E_means","data.type"
"1",0.448523206399028,"G_1","E_1",0.00169964509665168,"raw"
"2",-0.338733748929716,"G_10","E_10",0.0936318203556758,"raw"
"3",0.29117561574244,"G_2","E_2",0.501090834625574,"raw"
"4",-0.194466765274364,"G_3","E_3",-0.0436853089632471,"raw"
"5",0.0393860606701424,"G_4","E_4",-0.351127601217616,"raw"
"6",-0.165938761694405,"G_5","E_5",0.103476302944447,"raw"
"7",0.348658899090062,"G_6","E_6",0.160297387283387,"raw"
"8",-0.312380353437625,"G_7","E_7",-0.181483522699922,"raw"
"9",-0.212067457956331,"G_8","E_8",-0.327603802206061,"raw"
"10",0.095843305390713,"G_9","E_9",0.0437042447810555,"raw"
"G_1",0.465091381039523,"G_1","E_1",0.00176242895347709,"means"
"G_10",-0.351246367739249,"G_10","E_10",0.0970905228919437,"means"
"G_2",0.301931466016998,"G_2","E_2",0.519600825503239,"means"
"G_3",-0.201650249390401,"G_3","E_3",-0.0452990177252411,"means"
"G_4",0.0408409578132072,"G_4","E_4",-0.364098041397809,"means"
"G_5",-0.172068438696951,"G_5","E_5",0.107298654684274,"means"
"G_6",0.361538146914211,"G_6","E_6",0.16621867534393,"means"
"G_7",-0.323919493834778,"G_7","E_7",-0.188187413726253,"means"
"G_8",-0.219901100962665,"G_8","E_8",-0.339705287548204,"means"
"G_9",0.0993836988401063,"G_9","E_9",0.0453186530206435,"means"
"11",0.445622797163179,"G_1","E_1",-0.00463429298851437,"raw.ne"
"21",-0.373347003817804,"G_10","E_10",0.0987420902960897,"raw.ne"
"31",0.284059707965119,"G_2","E_2",0.489040083073201,"raw.ne"
"41",-0.181614083170927,"G_3","E_3",-0.0212197636236701,"raw.ne"
"51",0.0563648087308674,"G_4","E_4",-0.38269707466892,"raw.ne"
"61",-0.169132685835115,"G_5","E_5",0.120081494047252,"raw.ne"
"71",0.352308748799304,"G_6","E_6",0.152624319175799,"raw.ne"
"81",-0.320600310569571,"G_7","E_7",-0.17198575029149,"raw.ne"
"91",-0.239069444438011,"G_8","E_8",-0.335426706250254,"raw.ne"
"101",0.145407465172901,"G_9","E_9",0.0554756012304478,"raw.ne"
"G_11",0.443536955166535,"G_1","E_1",-0.00461260109351287,"mean.ne"
"G_101",-0.371599465619945,"G_10","E_10",0.0982799047883021,"mean.ne"
"G_21",0.282730099892597,"G_2","E_2",0.486751016288983,"mean.ne"
"G_31",-0.180763995867792,"G_3","E_3",-0.0211204395441784,"mean.ne"
"G_41",0.056100980026575,"G_4","E_4",-0.380905771271829,"mean.ne"
"G_51",-0.168341020638959,"G_5","E_5",0.119519424456329,"mean.ne"
"G_61",0.350659685087349,"G_6","E_6",0.151909925260873,"mean.ne"
"G_71",-0.319099665638087,"G_7","E_7",-0.171180730658179,"mean.ne"
"G_81",-0.237950423843696,"G_8","E_8",-0.333856662897137,"mean.ne"
"G_91",0.144726851435423,"G_9","E_9",0.0552159346703495,"mean.ne"
