"","X","X1","row","replicate","delta_env","delta_gen","sample_size","n_pop","std_dev","interaction","gen","env","noise","int","gen_factor","exp_env_factor","phen","phen_corrected"
"35",1246515,35,11480,2,0.5,0.01,5,5,1,2.5,2,2,1.6422134332347,-4.61203795121619,"G_2","E_2",-1.94982451798149,-1.36426758944912
"36",1246516,36,11480,2,0.5,0.01,5,5,1,2.5,2,3,0.524150428969597,-0.102010707210766,"G_2","E_3",1.94213972175883,-0.00539726328451188
"37",1246517,37,11480,2,0.5,0.01,5,5,1,2.5,2,3,0.2726975897928,-0.102010707210766,"G_2","E_3",1.69068688258203,-0.093191441375416
"38",1246518,38,11480,2,0.5,0.01,5,5,1,2.5,2,3,-0.0621471639606406,-0.102010707210766,"G_2","E_3",1.35584212882859,-0.210101713854643
"39",1246519,39,11480,2,0.5,0.01,5,5,1,2.5,2,3,-0.859386490933742,-0.102010707210766,"G_2","E_3",0.558602801855492,-0.488455983714911
"40",1246520,40,11480,2,0.5,0.01,5,5,1,2.5,2,3,-0.873455894747021,-0.102010707210766,"G_2","E_3",0.544533398042213,-0.493368283564297
"41",1246521,41,11480,2,0.5,0.01,5,5,1,2.5,2,4,1.08065729671002,0.344235815666982,"G_2","E_4",3.44489311237701,0.519285612576275
"42",1246522,42,11480,2,0.5,0.01,5,5,1,2.5,2,4,0.155850542421712,0.344235815666982,"G_2","E_4",2.52008635808869,0.196391470074379
"43",1246523,43,11480,2,0.5,0.01,5,5,1,2.5,2,4,-1.03381535523495,0.344235815666982,"G_2","E_4",1.33042046043203,-0.218977630666249
"44",1246524,44,11480,2,0.5,0.01,5,5,1,2.5,2,4,0.893070630814615,0.344235815666982,"G_2","E_4",3.2573064464816,0.453790161393396
"45",1246525,45,11480,2,0.5,0.01,5,5,1,2.5,2,4,-0.0279647581341349,0.344235815666982,"G_2","E_4",2.33627105753285,0.132212782390179
"46",1246526,46,11480,2,0.5,0.01,5,5,1,2.5,2,5,-1.04960302745781,3.43594573192684,"G_2","E_5",4.90634270446904,1.02954736256906
"47",1246527,47,11480,2,0.5,0.01,5,5,1,2.5,2,5,-0.211245131083242,3.43594573192684,"G_2","E_5",5.7447006008436,1.32225808597622
"48",1246528,48,11480,2,0.5,0.01,5,5,1,2.5,2,5,-0.73760386441142,3.43594573192684,"G_2","E_5",5.21834186751542,1.13848114981275
"49",1246529,49,11480,2,0.5,0.01,5,5,1,2.5,2,5,-0.813173021921039,3.43594573192684,"G_2","E_5",5.1427727100058,1.11209635298843
"50",1246530,50,11480,2,0.5,0.01,5,5,1,2.5,2,5,-1.31788688324745,3.43594573192684,"G_2","E_5",4.63805884867939,0.935876673897498
"51",1246531,51,11480,2,0.5,0.01,5,5,1,2.5,3,1,-0.00948784525923767,0.847700980201003,"G_3","E_1",1.36821313494176,-0.205782405639953
"52",1246532,52,11480,2,0.5,0.01,5,5,1,2.5,3,1,-1.04421747532201,0.847700980201003,"G_3","E_1",0.333483504878991,-0.567055866361525
"53",1246533,53,11480,2,0.5,0.01,5,5,1,2.5,3,1,0.343180215714021,0.847700980201003,"G_3","E_1",1.72088119591502,-0.0826491666062487
"54",1246534,54,11480,2,0.5,0.01,5,5,1,2.5,3,1,-1.93940847933951,0.847700980201003,"G_3","E_1",-0.561707499138511,-0.879609738051274
"55",1246535,55,11480,2,0.5,0.01,5,5,1,2.5,3,1,0.877595463056778,0.847700980201003,"G_3","E_1",2.25529644325778,0.103940682819615
"56",1246536,56,11480,2,0.5,0.01,5,5,1,2.5,3,2,-0.140585502734292,3.08512149297411,"G_3","E_2",3.97453599023981,0.704209200219572
"57",1246537,57,11480,2,0.5,0.01,5,5,1,2.5,3,2,0.325480077970259,3.08512149297411,"G_3","E_2",4.44060157094436,0.866934921386103
"58",1246538,58,11480,2,0.5,0.01,5,5,1,2.5,3,2,1.73467911734706,3.08512149297411,"G_3","E_2",5.84980061032116,1.35895351156631
"59",1246539,59,11480,2,0.5,0.01,5,5,1,2.5,3,2,-1.10484111176912,3.08512149297411,"G_3","E_2",3.01028038120499,0.367541581186506
"60",1246540,60,11480,2,0.5,0.01,5,5,1,2.5,3,2,-0.88126679491779,3.08512149297411,"G_3","E_2",3.23385469805632,0.445602037590408
"61",1246541,61,11480,2,0.5,0.01,5,5,1,2.5,3,3,0.000778401638361658,4.26530468566237,"G_3","E_3",5.79608308730073,1.3401981624595
"62",1246542,62,11480,2,0.5,0.01,5,5,1,2.5,3,3,1.49985331719407,4.26530468566237,"G_3","E_3",7.29515800285644,1.86359670724734
"63",1246543,63,11480,2,0.5,0.01,5,5,1,2.5,3,3,0.0517141490039719,4.26530468566237,"G_3","E_3",5.84701883466634,1.35798226102069
"64",1246544,64,11480,2,0.5,0.01,5,5,1,2.5,3,3,-1.24685996835784,4.26530468566237,"G_3","E_3",4.54844471730452,0.904588106883723
"65",1246545,65,11480,2,0.5,0.01,5,5,1,2.5,3,3,1.26199190439376,4.26530468566237,"G_3","E_3",7.05729659005613,1.78054794428761
