"","X1","G_means","gen_factor","exp_env_factor","E_means","data.type","row"
"69","11",0.29757801188024,"G_1","E_1",-0.808053185445038,"raw.ne",1009
"70","21",-0.29757801188024,"G_2","E_2",0.808053185445038,"raw.ne",1009
"71","G_11",0.29757801188024,"G_1","E_1",-0.808053185445037,"mean.ne",1009
"72","G_21",-0.29757801188024,"G_2","E_2",0.808053185445037,"mean.ne",1009
"73","1",-1.31546792204792,"G_1","E_1",-0.827358693015043,"raw",100
"74","2",-0.225992401254439,"G_2","E_2",-0.355060200195363,"raw",100
"75","3",0.403867073807152,"G_3","E_3",0.283907146750418,"raw",100
"76","4",0.721567343057486,"G_4","E_4",0.482485840022265,"raw",100
"77","G_1",-1.31546792204792,"G_1","E_1",-0.827358693015044,"means",100
"78","G_2",-0.225992401254439,"G_2","E_2",-0.355060200195363,"means",100
"79","G_3",0.403867073807152,"G_3","E_3",0.283907146750418,"means",100
"80","G_4",0.721567343057486,"G_4","E_4",0.482485840022266,"means",100
"81","11",-1.0951619527737,"G_1","E_1",-0.663191942422614,"raw.ne",100
"82","21",0.127327522535945,"G_2","E_2",-0.228506534877006,"raw.ne",100
"83","31",0.18383270061684,"G_3","E_3",0.28899100059087,"raw.ne",100
"84","41",0.784001729620912,"G_4","E_4",0.602707476708751,"raw.ne",100
"85","G_11",-1.0951619527737,"G_1","E_1",-0.663191942422615,"mean.ne",100
"86","G_21",0.127327522535946,"G_2","E_2",-0.228506534877006,"mean.ne",100
"87","G_31",0.18383270061684,"G_3","E_3",0.288991000590871,"mean.ne",100
"88","G_41",0.784001729620912,"G_4","E_4",0.602707476708751,"mean.ne",100
"89","1",-0.167699986298006,"G_1","E_1",-0.922251421910508,"raw",1010
"90","2",-0.163719538095726,"G_2","E_2",0.590831897516776,"raw",1010
"91","G_1",-0.167699986298006,"G_1","E_1",-0.922251421910508,"means",1010
"92","G_2",-0.163719538095726,"G_2","E_2",0.590831897516776,"means",1010
"93","11",0.0644598705013469,"G_1","E_1",-0.847746180114309,"raw.ne",1010
"94","21",-0.0644598705013471,"G_2","E_2",0.847746180114309,"raw.ne",1010
"95","G_11",0.0644598705013471,"G_1","E_1",-0.847746180114309,"mean.ne",1010
"96","G_21",-0.0644598705013469,"G_2","E_2",0.847746180114309,"mean.ne",1010
"97","1",-0.502956708465969,"G_1","E_1",-0.202675979116212,"raw",1011
"98","2",-0.150005095407632,"G_2","E_2",-0.45028582475739,"raw",1011
"99","G_1",-0.50295670846597,"G_1","E_1",-0.202675979116212,"means",1011
"100","G_2",-0.150005095407632,"G_2","E_2",-0.45028582475739,"means",1011
"101","11",-0.0445517806600563,"G_1","E_1",0.625633395632833,"raw.ne",1011
"102","21",0.0445517806600563,"G_2","E_2",-0.625633395632833,"raw.ne",1011
"103","G_11",-0.0445517806600562,"G_1","E_1",0.625633395632833,"mean.ne",1011
"104","G_21",0.0445517806600563,"G_2","E_2",-0.625633395632833,"mean.ne",1011
"105","1",0.613501898755576,"G_1","E_1",0.169192774359709,"raw",1012
"106","2",-0.0213287790166148,"G_2","E_2",0.422980345379252,"raw",1012
"107","G_1",0.613501898755576,"G_1","E_1",0.169192774359709,"means",1012
"108","G_2",-0.021328779016615,"G_2","E_2",0.422980345379251,"means",1012
"109","11",0.722329329569342,"G_1","E_1",-0.386559462198288,"raw.ne",1012
"110","21",-0.722329329569342,"G_2","E_2",0.386559462198288,"raw.ne",1012
"111","G_11",0.722329329569342,"G_1","E_1",-0.386559462198288,"mean.ne",1012
