"","X1","row","PL","delta_E","delta_H","G1Emean","G2Emean","E1Gmean","E2Gmean","GxE_emm","covariance"
"1",1,1001,1.55998304874597,-2.25814661753463,-1.44754561233848,-1.6114596605127,0.646686957021938,-0.0770858491473037,-0.887686854343456,0.417018616118678,-0.36
"2",1,1002,1.36417912760654,-1.94123223217742,-1.42300390974558,-0.57075251600663,1.37047971617079,0.658977761298003,0.140749438866159,0.246831929356365,-0.27
"3",1,1003,0.640288891155007,-1.24900917655788,-1.95069630882524,-0.699452013107467,0.54955716345041,-0.425790990962209,0.275896141305151,0.14065874072259,0.56
"4",1,1004,0.629210875735499,1.48511329113451,2.36027911850463,0.530622115874393,-0.954491175260117,0.225648383992198,-0.649517443377922,0.533681203422723,0.59
"5",1,1005,-0.524832005204504,-0.219540126423993,0.418305522999589,-0.252378521455834,-0.0328383950318408,0.176314366467954,-0.461531282955628,0.860304316894399,-0.34
"6",1,1006,0.381813417904759,0.193352894500466,0.506406756372026,-0.157684014633128,-0.351036909133594,-0.0978335309475806,-0.410887392819141,0.755126845083587,0.62
"7",1,1007,-0.814388449628592,-0.619202836757327,0.760328608589328,-0.156541685713515,0.462661151043813,0.842825455338477,-0.536705990008179,0.289855216790668,-0.45
"8",1,1008,-0.495884547208301,-0.632106295347423,1.2747045636046,-0.0308591017858197,0.601247193561603,1.23859947536391,-0.668211383588121,0.12083107118395,-0.33
"9",1,1009,1.07336031297632,-1.59030500494106,-1.48161338342323,-0.540936286973354,1.0493687179677,0.308562026256089,0.199870404738262,0.158212233391635,-0.07
"10",1,10105,1.01328268730239,-1.19367861207595,-1.17803119211858,-0.533100833554771,0.660577778521184,0.0715621824618959,0.0559147625045174,0.262622264475524,-0.01
"11",1,10106,1.23673957146504,-2.08481287042944,-1.68573313131703,-1.22142714918268,0.863385721246758,0.0205191555882448,-0.378560583524168,0.282700785722297,-0.19
"12",1,10107,1.29300951585428,1.54090200683602,1.19171745292065,0.616056908307624,-0.924845098528399,-0.328986372068076,0.0201981818473007,0.445979946637835,-0.23
"13",1,10108,0.787785236517494,-0.564916166912478,-0.717094127594677,-0.49921627406909,0.0656998928433882,-0.29284717095395,-0.140669210271752,0.561049025562053,0.27
"14",1,10109,-0.772616157189937,0.530967210887018,-0.68723285935177,0.117129323227206,-0.413837887659812,-0.757454317335697,0.460745752903091,0.559941075442064,-0.44
"15",1,1010,0.997376215629683,-1.51308331942728,-1.51706376762957,-0.922251421910508,0.590831897516776,-0.167699986298006,-0.163719538095726,0.462394305813574,0
"16",1,10110,1.441541291287,1.36927649688087,0.949869771443303,0.50764240314127,-0.861634093739599,-0.386699208017948,0.0327075174196186,0.134502443577483,-0.31
"17",1,10111,0.88346529552414,-1.5852443066766,-1.79434813648918,-0.799543160691595,0.785701145985004,-0.111472922259583,0.0976309075529926,0.305904252507102,0.13
"18",1,10112,0.411104491777577,-0.57013149380827,-1.38682866573185,-0.103095405673381,0.467036088134889,-0.226378244731038,0.590318927192546,0.731608574698666,0.7
"19",1,10113,0.346573276252382,0.758220293337699,2.18776329651438,0.419464634529103,-0.338755658808596,0.755125989448593,-0.674417013728085,0.00603034147843998,0.53
"20",1,10114,0.903705525145556,-1.73945016944295,-1.92479753751952,-0.831076006345246,0.908374163097708,-0.0540246056620538,0.131322762414516,0.186735618689357,0.11
"21",1,10115,0.553504226075546,-1.09396705568803,-1.97643848800302,-0.566374607904021,0.527592447784014,-0.460626796217496,0.421844636097489,0.515502711750287,0.81
"22",1,1011,-2.35053817409984,0.247609845641178,-0.105341767417159,-0.202675979116212,-0.45028582475739,-0.502956708465969,-0.150005095407632,0.949257055496043,-0.7
"23",1,1012,-0.666033754507169,-0.253787571019542,0.381043106752648,0.169192774359709,0.422980345379252,0.613501898755576,-0.0213287790166148,0.0622774338934636,-0.4
"24",1,1013,1.29980311035005,1.82046364871755,1.40056877401015,1.30116906213666,-0.519294586580886,0.180989800424187,0.600884675131588,0.725382670744765,-0.23
"25",1,1014,3.16962142081872,-2.38946867153684,-0.753865637026025,-1.0227105215348,1.36675815000204,0.989825331489028,-0.645777703021787,0.219891799062388,-0.68
"26",1,1015,2.51714651060224,-0.291591790406424,-0.115842200355934,-0.140993301871687,0.150598488534736,0.0926773883567696,-0.0830722016937204,0.077348758965478,-0.6
"27",1,1016,0.581907527590894,-1.63694757532863,-2.81307166124078,-1.17689191637495,0.460055658953682,-0.946480171666708,0.22964391424544,0.597241180546132,0.72
"28",1,10174,0.64028684212891,-1.52750710081451,-2.3856606138206,-0.722339525296825,0.805167575517684,-0.387662731392615,0.470490781613475,0.122790115503116,0.56
"29",1,10175,0.979230271938891,-1.3560805873273,-1.38484340832544,-0.714645222875338,0.641435364451961,-0.0509863397107578,-0.0222235187126195,0.690518778399279,0.02
"30",1,10176,1.47064421071691,-1.88161055562113,-1.27944647788324,-0.801203607506849,1.08040694811428,0.440683709172659,-0.16148036856523,0.215092779654318,-0.32
"31",1,10177,1.26865010958432,-1.78072688806832,-1.40363909214637,-0.682344671620934,1.09838221644739,0.396562670374203,0.0194748744522484,0.0426081855246726,-0.21
"32",1,10178,0.512292452123432,-1.20891853828346,-2.35982110076489,-0.426716646876598,0.782201891406863,-0.397708658975581,0.753193903505846,0.0668155557553887,0.95
"33",1,10179,-1.10595037132229,0.964192978243292,-0.871823006931579,0.543708874432393,-0.420484103810899,-0.856395607276688,0.979620377898182,0.429718509304332,-0.53
