"","X1","row","replicate","env_scenario","delta_env","delta_gen","sample_size","total_samples","n_env","n_pop","std_dev","interaction","Sim_time","true_cov","covariance","covariance_lwrCI","covariance_uprCI","covariance_pvalue","true_cov_means","cov_means","cov_means_lwrCI","cov_means_uprCI","cov_means_pvalue","GxE_Anova","true_GxE_emm","GxE_emm","GxE_emm_lwrCI","GxE_emm_uprCI","GxE_emm_pvalue","true_GxE_omega","GxE_omega","GxE_omega_lwrCI","GxE_omega_uprCI","GxE_omega_pvalue","true_GxE_eta","GxE_eta","GxE_eta_lwrCI","GxE_eta_uprCI","GxE_eta_pvalue","true_GxE_SSq","GxE_SSq","GxE_SSq_lwrCI","GxE_SSq_uprCI","true_GxE_means","GxE_means","GxE_means_lwrCI","GxE_means_uprCI","GxE_means_pvalue"
"1",1,1001,1,1,0.15910486294888,-0.0732276206836104,4,16,2,2,1,0.386708671692759,4.45700991153717,-0.53,-0.36,-0.7,-0.02,0.588,-0.53,-0.36,-0.79,0,0.999,0.089310780009017,0.53,0.42,0.06,0.82,0.28,0.37,0.05,-0.02,0.22,0.2,0.37,0.08,0,0.24,0.28,0.37,0.11,0,0.28,0.53,0.42,0.03,0.47,0.18
"2",1,1002,1,1,0.551762153627351,0.011242922861129,4,16,2,2,1,1.68103022361174,4.55330348412196,-0.33,-0.27,-0.87,0.44,0.684,-0.33,-0.27,-0.85,0.34,0.682,0.449930292073156,0.46,0.25,0.02,0.77,0.54,0.28,-0.02,-0.06,0.21,0.4,0.28,0.03,0,0.23,0.54,0.28,0.06,0,0.36,0.46,0.25,0.02,0.51,0.82
"3",1,1003,1,1,0.187757176812738,0.600038543809205,4,16,2,2,1,0.744127129204571,3.43292212883631,0.22,0.56,-0.18,0.97,0.342,0.22,0.56,-0.09,0.97,0.361,0.609155153314175,0.04,0.14,0.01,0.63,0.65,0,-0.04,-0.06,0.23,0.52,0,0.01,0,0.25,0.65,0,0.04,0,0.41,0.04,0.14,0.01,0.53,0.95
"4",1,1004,1,1,0.862110520713031,-0.549996254965663,4,16,2,2,1,1.2422470706515,4.54461985826492,0.23,0.59,0.12,0.96,0.317,0.23,0.59,0.07,0.96,0.999,0.0154772029792417,0.39,0.53,0.22,0.85,0.1,0.2,0.17,0.02,0.43,0.07,0.2,0.2,0.05,0.45,0.1,0.2,0.28,0.07,0.55,0.39,0.53,0.19,0.65,0.01
"5",1,1005,1,1,0.584214550675824,0.255846722517163,4,16,2,2,1,1.82260009413585,4.36209800640742,-0.02,-0.34,-0.95,0.7,0.568,-0.02,-0.34,-0.95,0.86,0.676,0.00172442092744844,0.68,0.86,0.48,1.24,0,0.61,0.48,0.27,0.74,0,0.61,0.53,0.31,0.76,0,0.61,0.87,0.5,0.98,0.68,0.86,0.57,0.86,0
"6",1,1006,1,1,0.00881841732189059,0.603945361915976,4,16,2,2,1,1.30832368507981,2.69287524620692,0.92,0.62,-0.91,0.94,0.315,0.92,0.62,-0.84,0.96,0.31,0.00159814546594642,0.71,0.76,0.45,1.06,0,0.67,0.51,0.39,0.73,0,0.67,0.56,0.44,0.75,0,0.67,0.94,0.71,1,0.71,0.76,0.65,0.86,0
"7",1,1007,1,1,0.896106274565682,-0.147884950041771,4,16,2,2,1,0.853097753599286,3.43160351912181,-0.82,-0.45,-0.88,0.11,0.45,-0.82,-0.45,-0.94,0.24,0.644,0.200702086387801,0.73,0.29,0.02,0.66,0.31,0.71,0.03,-0.04,0.36,0.23,0.71,0.07,0,0.4,0.31,0.71,0.13,0,0.65,0.73,0.29,0.02,0.73,0.51
"8",1,1008,1,1,0.567678457358852,0.414273181464523,4,16,2,2,1,0.637607954442501,4.51967271566391,-0.28,-0.33,-0.95,0.19,0.575,-0.28,-0.33,-0.93,0.15,0.654,0.704511831871536,0.12,0.12,0.01,0.62,0.76,0.02,-0.04,-0.05,0.16,0.53,0.02,0.01,0,0.2,0.76,0.02,0.01,0,0.34,0.12,0.12,0.01,0.48,0.99
"9",1,1009,1,1,0.521575526101515,-0.21814256021753,4,16,2,2,1,0.0838918061926961,4.56285729805628,-0.37,-0.07,-0.49,0.49,0.923,-0.37,-0.07,-0.46,0.66,0.999,0.4912556710778,0.09,0.16,0.01,0.51,0.58,0.01,-0.02,-0.04,0.3,0.41,0.01,0.02,0,0.32,0.58,0.01,0.04,0,0.4,0.09,0.16,0.01,0.61,0.86
"10",1,100,1,1,0.923837277106941,0.907583370804787,2,32,4,4,0.5,1.25527339749737,7.0288355310758,0.66,0.66,0.49,0.87,0.096,0.66,0.66,0.41,0.91,0.075,0.0824124284560838,0.38,0.39,0.3,0.55,0.82,0.25,0.09,0.07,0.29,0.27,0.25,0.17,0.12,0.31,0.85,0.25,0.19,0.13,0.32,0.38,0.39,0.28,0.48,0.01
"11",1,1010,1,1,0.7067206192296,0.644333636388183,4,16,2,2,1,1.03728603757918,4.10087810357412,-0.08,0,-0.61,0.77,0.999,-0.08,0,-0.49,0.58,0.999,0.0959676989878327,0.16,0.46,0.07,0.9,0.15,0.04,0.09,-0.02,0.36,0.12,0.04,0.14,0.01,0.4,0.15,0.04,0.27,0.01,0.71,0.16,0.46,0.14,0.7,0.07
"12",1,1011,1,1,0.305274059530348,-0.264977238606662,4,16,2,2,1,1.61900550033897,3.21713329553604,-0.07,-0.7,-0.92,0.88,0.228,-0.07,-0.7,-0.93,0.91,0.327,0.00652114124069891,0.6,0.95,0.48,1.46,0,0.48,0.4,0.17,0.7,0,0.48,0.46,0.23,0.73,0,0.48,0.95,0.48,1,0.6,0.95,0.6,0.86,0
"13",1,1012,1,1,0.482110350625589,-0.0516915894113481,4,16,2,2,1,1.82734087388963,4.36231426795324,-0.54,-0.4,-0.96,0.82,0.499,-0.54,-0.4,-0.96,0.82,0.671,0.783640525370241,0.28,0.06,0,0.42,0.77,0.11,-0.06,-0.07,0.23,0.75,0.11,0.01,0,0.28,0.77,0.11,0.03,0,0.84,0.28,0.06,0.02,0.78,1
"14",1,1013,1,1,0.867747184820473,-0.0283431229181588,4,16,2,2,1,1.03587439376861,4.54936989943186,0.19,-0.23,-0.52,0.12,0.7,0.19,-0.23,-0.74,0.22,0.999,0.00196159593462472,0.39,0.73,0.42,1.02,0.02,0.2,0.27,0.1,0.55,0.01,0.2,0.29,0.11,0.57,0.02,0.2,0.38,0.14,0.68,0.39,0.73,0.2,0.75,0
"15",1,1014,1,1,0.899492016294971,-0.711813085246831,4,16,2,2,1,0.29723478294909,3.71888706286748,-0.53,-0.68,-0.99,-0.3,0.232,-0.53,-0.68,-0.98,-0.28,0.307,0.405666601588063,0.04,0.22,0.01,0.66,0.62,0,-0.01,-0.02,0.14,0.36,0,0.02,0,0.15,0.62,0,0.02,0,0.19,0.04,0.22,0.01,0.38,0.85
"16",1,1015,1,1,0.819053687155247,0.946438644081354,4,16,2,2,1,1.67235679458827,5.02583836317062,0.36,-0.6,-0.92,0.92,0.315,0.36,-0.6,-0.9,0.94,0.688,0.745077377845214,0.05,0.08,0.01,0.48,0.71,0,-0.07,-0.07,0.25,0.84,0,0.01,0,0.3,0.71,0,0.17,0,0.95,0.05,0.08,0.02,0.84,0.99
"17",1,1016,1,1,0.862696652300656,0.809213588479906,4,16,2,2,1,0.202630938030779,4.50453801552455,0.67,0.72,0.1,0.98,0.224,0.67,0.72,0.09,0.98,0.999,0.0635911228728245,0.08,0.6,0.13,1.1,0.16,0.01,0.11,-0.02,0.39,0.12,0.01,0.15,0.01,0.42,0.16,0.01,0.26,0.01,0.6,0.08,0.6,0.09,0.72,0.13
"18",1,1017,1,1,0.914372081402689,0.159162878990173,4,16,2,2,1,1.2532736225985,4.14544655481974,0.08,-0.04,-0.94,0.93,0.957,0.08,-0.04,-0.94,0.91,0.678,0.00216864055207562,0.83,0.81,0.46,1.14,0,0.91,0.49,0.21,0.85,0,0.91,0.54,0.26,0.86,0,0.91,0.96,0.57,1,0.83,0.81,0.66,0.86,0
"19",1,1018,1,1,0.955514823785052,0.955518677830696,4,16,2,2,1,1.167582643684,5.11990104913712,-0.29,0.49,-0.01,0.96,0.429,-0.29,0.49,-0.07,0.96,0.999,0.010315298017541,0.65,0.75,0.31,1.17,0.04,0.57,0.23,0.04,0.52,0.03,0.57,0.27,0.07,0.54,0.04,0.57,0.41,0.1,0.66,0.65,0.75,0.28,0.73,0.01
"20",1,1019,1,1,0.714276711689308,0.099145985674113,4,16,2,2,1,1.28327164147049,5.20836064418157,-0.13,-0.31,-0.91,0.16,0.657,-0.13,-0.31,-0.9,0.21,0.999,0.310119770106613,0.16,0.25,0.02,0.63,0.44,0.04,0,-0.03,0.42,0.33,0.04,0.04,0,0.45,0.44,0.04,0.08,0,0.61,0.16,0.25,0.01,0.66,0.63
"21",1,101,1,1,0.958224256988615,0.150059193838388,2,128,8,8,0.5,0.521372595219873,17.9315861344337,0.11,0.06,-0.01,0.14,0.86,0.11,0.06,-0.02,0.15,0.866,0.799739392583392,0.12,0.23,0.24,0.34,1,0.02,-0.02,0.02,0.11,0.56,0.02,0.06,0.07,0.14,1,0.02,0.07,0.08,0.14,0.12,0.23,0.22,0.32,0.29
"22",1,1020,1,1,0.876043698517606,0.672528447117656,4,16,2,2,1,1.54999714251608,4.8069433649381,-0.8,0.12,-0.43,0.84,0.865,-0.8,0.12,-0.42,0.89,0.328,0.97970583842056,0.26,0.01,0.01,0.53,0.98,0.09,-0.05,-0.05,0.18,0.61,0.09,0,0,0.22,0.98,0.09,0,0,0.4,0.26,0.01,0.01,0.54,1
"23",1,1021,1,1,0.686677628429607,0.392112754285336,4,16,2,2,1,1.7960969931446,3.06546844641368,0.03,-0.1,-0.69,0.27,0.888,0.03,-0.1,-0.56,0.28,0.999,0.117762273724059,0.2,0.43,0.05,0.83,0.28,0.05,0.05,-0.04,0.27,0.2,0.05,0.09,0,0.29,0.28,0.05,0.14,0,0.35,0.2,0.43,0.05,0.5,0.21
"24",1,1022,1,1,0.304788482608274,0.414606085047126,4,16,2,2,1,1.6300826924853,3.58682307004929,0.71,0.87,0.28,0.98,0.094,0.71,0.87,0.26,0.98,0.351,0.455498982223487,0.07,0.19,0.01,0.6,0.55,0.01,-0.01,-0.04,0.23,0.39,0.01,0.02,0,0.27,0.55,0.01,0.04,0,0.43,0.07,0.19,0.01,0.58,0.84
"25",1,1023,1,1,0.815085427137092,0.0829127887263894,4,16,2,2,1,1.82697796821594,4.64831224282583,-0.19,-0.49,-0.96,0.17,0.413,-0.19,-0.49,-0.95,0.06,0.999,0.0610684347925134,0.43,0.55,0.1,0.99,0.12,0.25,0.12,-0.02,0.52,0.11,0.25,0.16,0.01,0.56,0.12,0.25,0.31,0.01,0.84,0.43,0.55,0.13,0.76,0.03
"26",1,1024,1,1,0.129472959553823,0.686611548066139,4,16,2,2,1,1.32607346121222,5.22743842204412,-0.75,-0.41,-0.93,0.22,0.484,-0.75,-0.41,-0.96,0.22,0.321,0.815293750532736,0.26,0.05,0.01,0.45,0.83,0.09,-0.05,-0.06,0.16,0.58,0.09,0,0,0.21,0.83,0.09,0.01,0,0.47,0.26,0.05,0.01,0.54,1
"27",1,1025,1,1,0.593190250918269,0.751199978403747,4,16,2,2,1,0.404688738752156,4.63157914876938,0.91,0.52,0.09,0.99,0.392,0.91,0.52,0.13,0.96,0.999,0.0263608392242631,0.2,0.52,0.15,0.88,0.12,0.05,0.13,0,0.36,0.08,0.05,0.16,0.02,0.38,0.12,0.05,0.23,0.02,0.48,0.2,0.52,0.15,0.58,0.01
"28",1,1026,1,1,0.227702412055805,-0.452761323191226,4,16,2,2,1,1.75697038974613,4.43345959583918,0.4,0.97,-0.14,0.97,0.019,0.4,0.97,-0.1,0.97,0.346,0.613376716879705,0.21,0.12,0.01,0.54,0.64,0.06,-0.04,-0.06,0.2,0.55,0.06,0.02,0,0.24,0.64,0.06,0.05,0,0.45,0.21,0.12,0.01,0.61,0.96
"29",1,1027,1,1,0.99293550522998,-0.114740029443055,4,16,2,2,1,0.342675383202732,4.7083057641983,0.69,0.79,-0.05,0.96,0.154,0.69,0.79,-0.02,0.97,0.329,0.945494906444991,0.16,0.02,0.01,0.51,0.94,0.03,-0.05,-0.06,0.15,0.62,0.03,0,0,0.18,0.94,0.03,0,0,0.26,0.16,0.02,0.01,0.45,1
"30",1,1028,1,1,0.783983442001045,0.937007724773139,4,16,2,2,1,0.123936120420694,4.65221948226293,0.77,0.81,0.33,0.98,0.147,0.77,0.81,0.33,0.99,0.321,0.419357254354809,0.07,0.16,0.01,0.47,0.64,0.01,-0.01,-0.03,0.1,0.36,0.01,0.02,0,0.11,0.64,0.01,0.02,0,0.13,0.07,0.16,0.01,0.35,0.79
"31",1,1029,1,1,0.57879086653702,0.717509753536433,4,16,2,2,1,0.176021689083427,4.34704538186391,0.82,0.63,0.16,0.97,0.291,0.82,0.63,0.16,0.98,0.346,0.816934595265674,0.06,0.05,0.01,0.44,0.88,0.01,-0.03,-0.04,0.1,0.46,0.01,0,0,0.12,0.88,0.01,0,0,0.16,0.06,0.05,0.01,0.32,1
"32",1,102,1,1,0.0717033196706325,-0.919013156555593,2,128,8,8,0.5,0.397987180873752,19.6081412235896,-0.09,-0.1,-0.15,-0.03,0.778,-0.09,-0.1,-0.17,-0.02,0.732,0.44975457694287,0.13,0.25,0.26,0.35,1,0.03,0,0.04,0.12,0.5,0.03,0.08,0.09,0.15,1,0.03,0.09,0.09,0.16,0.13,0.25,0.24,0.33,0.01
"33",1,1030,1,1,0.755784859880805,0.552291878033429,4,16,2,2,1,1.81537134340033,5.08582204580307,0.04,0.32,0.07,0.54,0.592,0.04,0.32,0.03,0.56,0.999,0.013713483479356,0.44,0.51,0.21,0.83,0.19,0.25,0.1,0.01,0.27,0.12,0.25,0.12,0.02,0.28,0.19,0.25,0.14,0.03,0.31,0.44,0.51,0.11,0.48,0.03
"34",1,1031,1,1,0.712764532770962,-0.749904393218458,4,16,2,2,1,0.961894962470978,4.38766705592473,-0.67,-0.85,-0.98,0.15,0.128,-0.67,-0.85,-0.98,0.17,0.318,0.260341546900074,0.83,0.32,0.02,0.79,0.3,0.91,0.02,-0.05,0.34,0.27,0.91,0.07,0,0.37,0.3,0.91,0.2,0,0.61,0.83,0.32,0.02,0.74,0.61
"35",1,1032,1,1,0.48532360768877,-0.660977861378342,4,16,2,2,1,0.600257819984108,3.73325266043345,-0.61,-0.16,-0.54,0.33,0.812,-0.61,-0.16,-0.63,0.26,0.999,0.522597637774584,0.46,0.17,0.01,0.58,0.65,0.28,-0.02,-0.04,0.18,0.41,0.28,0.01,0,0.21,0.65,0.28,0.02,0,0.32,0.46,0.17,0.01,0.5,0.92
"36",1,1033,1,1,0.951201938325539,-0.477788128424436,4,16,2,2,1,0.577974603511393,5.03426962693532,-0.7,-0.43,-0.74,-0.09,0.5,-0.7,-0.43,-0.73,-0.08,0.999,0.0474928048105587,0.26,0.44,0.09,0.75,0.2,0.09,0.09,-0.02,0.36,0.13,0.09,0.12,0,0.37,0.2,0.09,0.16,0.01,0.42,0.26,0.44,0.09,0.58,0.04
"37",1,1034,1,1,0.950036191381514,0.466149091720581,4,16,2,2,1,0.858384997118264,2.56691371202469,-0.1,-0.19,-0.56,0.13,0.746,-0.1,-0.19,-0.54,0.13,0.999,0.0106032326548752,0.56,0.57,0.24,0.88,0.1,0.42,0.16,0.02,0.42,0.07,0.42,0.19,0.04,0.44,0.1,0.42,0.25,0.06,0.52,0.56,0.57,0.2,0.61,0
"38",1,1035,1,1,0.645045514218509,-0.909484965261072,4,16,2,2,1,0.378084436058998,4.6552947362264,-0.78,-0.53,-0.97,-0.17,0.358,-0.78,-0.53,-0.96,-0.17,0.331,0.336164272920525,0.03,0.19,0.01,0.51,0.57,0,0,-0.02,0.13,0.33,0,0.02,0,0.14,0.57,0,0.03,0,0.16,0.03,0.19,0.01,0.35,0.66
"39",1,1036,1,1,0.589847805909812,-0.365688130259514,4,16,2,2,1,1.71062652301043,4.327576816082,0.9,0.61,-0.14,0.97,0.291,0.9,0.61,0.03,0.98,0.669,0.161469020996422,0.18,0.45,0.04,1,0.24,0.04,0.05,-0.03,0.57,0.19,0.04,0.09,0,0.6,0.24,0.04,0.19,0,0.88,0.18,0.45,0.03,0.73,0.18
"40",1,1037,1,1,0.0013371123932302,-0.80372939677909,4,16,2,2,1,0.851147269830108,4.3005065759023,0.46,0.29,-0.41,0.95,0.62,0.46,0.29,-0.4,0.93,0.689,0.00300280400304506,0.64,0.75,0.4,1.08,0,0.55,0.38,0.14,0.71,0,0.55,0.42,0.17,0.73,0,0.55,0.66,0.22,0.93,0.64,0.75,0.42,0.83,0
"41",1,1038,1,1,0.146372590912506,-0.621178308036178,4,16,2,2,1,0.345261224079877,3.84813239177068,-0.26,-0.32,-0.98,0.25,0.602,-0.26,-0.32,-0.89,0.21,0.999,0.0381323127110427,0.49,0.64,0.2,1.15,0.08,0.32,0.16,0.01,0.49,0.07,0.32,0.21,0.02,0.52,0.08,0.32,0.38,0.03,0.84,0.49,0.64,0.18,0.78,0
"42",1,1039,1,1,0.404603795148432,-0.436451146844774,4,16,2,2,1,0.657460645306855,4.68106082677841,0.37,-0.64,-0.97,0.55,0.274,0.37,-0.64,-0.97,0.57,0.333,0.0117949345408886,0.85,0.79,0.31,1.21,0.01,0.96,0.32,0.01,0.84,0.01,0.96,0.37,0.06,0.86,0.01,0.96,0.75,0.12,0.97,0.85,0.79,0.48,0.86,0
"43",1,103,1,1,0.260206595528871,0.790589448995888,2,128,8,8,0.5,6.84364125924185,13.9978358109792,-0.46,-0.38,-0.53,-0.21,0.198,-0.46,-0.38,-0.53,-0.17,0.202,1.17669694773847e-13,0.62,0.7,0.64,0.77,0,0.65,0.51,0.53,0.65,0,0.65,0.59,0.57,0.68,0,0.65,0.66,0.6,0.71,0.62,0.7,0.61,0.69,0
"44",1,1040,1,1,0.497645741794258,0.887048137839884,4,16,2,2,1,0.00227841408923268,4.97449918588002,0.56,0.28,-0.16,0.92,0.668,0.56,0.28,-0.15,0.88,0.655,0.674414052927582,0,0.1,0.01,0.51,0.73,0,-0.03,-0.05,0.17,0.5,0,0.01,0,0.2,0.73,0,0.02,0,0.33,0,0.1,0.01,0.46,0.98
"45",1,1041,1,1,0.0918084557633847,-0.514402023050934,4,16,2,2,1,0.734027984086424,5.10681053002675,-0.89,-0.91,-0.99,-0.41,0.062,-0.89,-0.91,-0.98,-0.36,0.999,0.00360425125343902,0.33,0.69,0.35,1.02,0.03,0.15,0.23,0.06,0.5,0.02,0.15,0.25,0.08,0.51,0.03,0.15,0.33,0.1,0.6,0.33,0.69,0.26,0.66,0
"46",1,1042,1,1,0.709562445292249,0.18567679123953,4,16,2,2,1,1.63280249945819,4.37368018627167,0.6,-0.51,-0.97,0.19,0.411,0.6,-0.51,-0.97,0.31,0.659,0.00429266091058413,0.63,0.53,0.29,0.78,0.01,0.52,0.35,0.15,0.62,0.01,0.52,0.39,0.2,0.65,0.01,0.52,0.64,0.32,0.89,0.63,0.53,0.39,0.82,0
"47",1,1043,1,1,0.393646894954145,0.0316136046312749,4,16,2,2,1,0.710275108460337,4.44366350968679,-0.63,-0.51,-0.95,0.03,0.405,-0.63,-0.51,-0.96,-0.05,0.358,0.779750480727045,0.25,0.07,0.01,0.51,0.84,0.08,-0.03,-0.04,0.14,0.51,0.08,0,0,0.16,0.84,0.08,0.01,0,0.21,0.25,0.07,0,0.38,1
"48",1,1044,1,1,0.905330123612657,0.19058589451015,4,16,2,2,1,0.541582370176911,4.33895137707392,-0.28,-0.44,-0.96,0.2,0.483,-0.28,-0.44,-0.95,0.22,0.346,0.62178318511767,0.26,0.12,0.01,0.48,0.67,0.09,-0.03,-0.05,0.24,0.48,0.09,0.01,0,0.27,0.67,0.09,0.03,0,0.46,0.26,0.12,0.01,0.65,0.98
"49",1,1045,1,1,0.687702067894861,-0.0715188095346093,4,16,2,2,1,1.36724579380825,4.30023706356684,-0.03,-0.68,-0.93,0.92,0.248,-0.03,-0.68,-0.94,0.84,0.336,0.0016417901747632,0.85,1.02,0.58,1.43,0,0.96,0.51,0.2,0.84,0,0.96,0.56,0.26,0.85,0,0.96,0.95,0.49,1,0.85,1.02,0.68,0.86,0
"50",1,1046,1,1,0.291409049415961,0.567707160953432,4,16,2,2,1,0.857770967297256,4.67661547660828,-0.41,-0.57,-0.97,-0.1,0.342,-0.41,-0.57,-0.97,-0.11,0.662,0.16753742323934,0.18,0.25,0.02,0.52,0.33,0.04,0.03,-0.03,0.31,0.24,0.04,0.07,0,0.34,0.33,0.04,0.1,0,0.45,0.18,0.25,0.02,0.55,0.3
"51",1,1047,1,1,0.411082688951865,-0.166358868591487,4,16,2,2,1,1.08556441264227,4.54636814196904,-0.53,-0.1,-0.43,0.41,0.878,-0.53,-0.1,-0.47,0.44,0.999,0.201619879963819,0.22,0.3,0.02,0.65,0.35,0.06,0.03,-0.03,0.3,0.25,0.06,0.06,0,0.33,0.35,0.06,0.1,0,0.42,0.22,0.3,0.02,0.62,0.46
"52",1,1048,1,1,0.104145473567769,-0.316444979514927,4,16,2,2,1,0.656234558206052,4.74265990654628,0.33,0.36,-0.18,0.94,0.57,0.33,0.36,-0.15,0.92,0.999,0.0463744907395286,0.66,0.5,0.12,0.87,0.09,0.57,0.14,-0.02,0.52,0.07,0.57,0.18,0.01,0.55,0.09,0.57,0.32,0.02,0.72,0.66,0.5,0.15,0.73,0.02
"53",1,1049,1,1,0.591259544482455,0.621205455157906,4,16,2,2,1,0.714433533605188,4.4062756896019,0.55,0.29,0.13,0.49,0.619,0.55,0.29,0.06,0.6,0.686,0.0875649608821498,0.1,0.23,0.03,0.44,0.54,0.01,0.02,0,0.11,0.26,0.01,0.03,0,0.12,0.54,0.01,0.03,0,0.13,0.1,0.23,0.01,0.33,0.5
"54",1,104,1,1,0.627236638450995,-0.295394459273666,2,128,8,8,0.5,0.666808617338538,21.0047972361247,-0.38,-0.48,-0.57,-0.4,0.096,-0.38,-0.48,-0.6,-0.36,0.111,0.00636141957537966,0.25,0.39,0.39,0.5,1,0.1,0.09,0.14,0.24,0.19,0.1,0.18,0.19,0.29,1,0.1,0.21,0.2,0.3,0.25,0.39,0.34,0.45,0
"55",1,1050,1,1,0.611382957315072,0.250662047415972,4,16,2,2,1,0.0144410817883909,4.42478940884272,0.43,0.62,-0.52,0.95,0.303,0.43,0.62,-0.47,0.97,0.36,0.586493106663627,0.01,0.17,0.01,0.68,0.6,0,-0.04,-0.06,0.4,0.58,0,0.02,0,0.44,0.6,0,0.09,0,0.93,0.01,0.17,0.01,0.79,0.94
"56",1,1051,1,1,0.0808918657712638,-0.113905549515039,4,64,4,4,1,0.232801052979194,7.68799633979797,-0.74,-0.87,-0.92,-0.34,0.015,-0.74,-0.87,-0.92,-0.37,0.01,0.000412761925200378,0.47,0.6,0.48,0.81,0.02,0.34,0.24,0.17,0.47,0,0.34,0.32,0.24,0.52,0.01,0.34,0.52,0.36,0.7,0.47,0.6,0.45,0.67,0
"57",1,1052,1,1,0.716559842694551,-0.0238709338009357,4,64,4,4,1,2.73545766575262,7.65395865043004,-0.97,-0.73,-0.96,-0.41,0.071,-0.97,-0.73,-0.96,-0.42,0.055,0.00481213714997094,0.48,0.52,0.45,0.75,0.23,0.39,0.13,0.09,0.32,0.04,0.39,0.2,0.15,0.37,0.17,0.39,0.3,0.2,0.49,0.48,0.52,0.35,0.54,0
"58",1,1053,1,1,0.640483185416088,0.0683822301216424,4,64,4,4,1,1.00733017095365,7.68908892075221,-0.16,-0.12,-0.51,0.26,0.765,-0.16,-0.12,-0.52,0.41,0.778,9.9068405640461e-06,0.56,0.68,0.53,0.9,0.01,0.46,0.33,0.21,0.61,0,0.46,0.39,0.27,0.64,0,0.46,0.6,0.38,0.8,0.56,0.68,0.49,0.69,0
"59",1,1054,1,1,0.807683238759637,-0.572926555294544,4,64,4,4,1,1.14716825218406,7.25452394882838,-0.96,-0.45,-0.82,-0.04,0.264,-0.96,-0.45,-0.78,-0.06,0.298,0.365241977961875,0.31,0.34,0.29,0.57,0.7,0.16,0.01,0,0.25,0.44,0.16,0.1,0.09,0.29,0.76,0.16,0.19,0.14,0.4,0.31,0.34,0.28,0.52,0.15
"60",1,1055,1,1,0.534251388628036,0.725132016465068,4,64,4,4,1,0.119729125914164,7.55055170456568,0.64,0.58,0.29,0.85,0.166,0.64,0.58,0.31,0.84,0.145,0.158360384981601,0.07,0.38,0.27,0.59,0.52,0.01,0.04,0.02,0.23,0.26,0.01,0.11,0.08,0.28,0.68,0.01,0.17,0.1,0.38,0.07,0.38,0.24,0.51,0.06
"61",1,1056,1,1,0.301650658482686,-0.224767916370183,4,64,4,4,1,0.867494217348285,6.86270018815994,0.11,0.65,0.04,0.82,0.083,0.11,0.65,0,0.8,0.101,0.000189737605219209,0.55,0.6,0.51,0.86,0.05,0.58,0.29,0.2,0.53,0,0.58,0.37,0.28,0.58,0,0.58,0.64,0.44,0.8,0.55,0.6,0.48,0.65,0
"62",1,1057,1,1,0.498352397466078,0.0152027644217014,4,64,4,4,1,0.961447311753873,6.89077947934469,-0.08,-0.36,-0.59,-0.17,0.408,-0.08,-0.36,-0.69,-0.1,0.382,0.190498587275877,0.38,0.3,0.25,0.54,0.82,0.22,0.03,0.01,0.22,0.31,0.22,0.1,0.06,0.26,0.73,0.22,0.16,0.09,0.34,0.38,0.3,0.21,0.5,0.55
"63",1,1058,1,1,0.811112899100408,0.959311973303556,4,64,4,4,1,0.841872642058879,7.67023988564809,0.85,0.77,0.32,0.91,0.048,0.85,0.77,0.36,0.92,0.038,0.387535811777612,0.35,0.36,0.28,0.63,0.73,0.17,0.01,-0.01,0.24,0.42,0.17,0.1,0.07,0.3,0.77,0.17,0.18,0.1,0.46,0.35,0.36,0.25,0.53,0.28
"64",1,1059,1,1,0.29641582374461,0.427143233828247,4,64,4,4,1,1.83385092984419,6.88741417725881,0.38,-0.01,-0.36,0.34,0.991,0.38,-0.01,-0.43,0.36,0.993,1.57650240165935e-06,0.59,0.87,0.73,1.08,0,0.51,0.37,0.31,0.58,0,0.51,0.43,0.37,0.62,0,0.51,0.64,0.51,0.76,0.59,0.87,0.55,0.73,0
"65",1,105,1,1,0.428421614225954,0.521921848412603,2,128,8,8,0.5,1.45543863286963,21.0051706473033,0.74,0.63,0.4,0.75,0.027,0.74,0.63,0.38,0.74,0.026,2.46716506925673e-08,0.52,0.58,0.58,0.69,0.4,0.47,0.36,0.39,0.54,0,0.47,0.46,0.45,0.58,0.11,0.47,0.53,0.49,0.61,0.52,0.58,0.53,0.61,0
"66",1,1060,1,1,0.0481040845625103,-0.657672833185643,4,64,4,4,1,1.04804753924953,3.97522682348887,-0.27,-0.52,-0.8,-0.18,0.2,-0.27,-0.52,-0.81,-0.14,0.196,1.39550962158059e-08,0.55,0.89,0.76,1.08,0,0.57,0.46,0.39,0.63,0,0.57,0.51,0.44,0.65,0,0.57,0.7,0.58,0.79,0.55,0.89,0.6,0.72,0
"67",1,1061,1,1,0.230705672642216,-0.850128559395671,4,64,4,4,1,1.9722357671801,6.92180752356847,-0.02,-0.01,-0.32,0.29,0.987,-0.02,-0.01,-0.31,0.23,0.988,0.00328312563934045,0.5,0.63,0.48,0.91,0.02,0.44,0.19,0.12,0.44,0.01,0.44,0.27,0.2,0.49,0.03,0.44,0.49,0.32,0.69,0.5,0.63,0.47,0.66,0
"68",1,1062,1,1,0.265546646900475,-0.47663765726611,4,64,4,4,1,2.27015901170671,6.41226119200389,-0.17,0.23,-0.13,0.59,0.571,-0.17,0.23,-0.14,0.57,0.566,5.00738206957398e-06,0.53,0.73,0.57,0.94,0,0.58,0.32,0.25,0.53,0,0.58,0.38,0.29,0.57,0,0.58,0.56,0.38,0.74,0.53,0.73,0.51,0.71,0
