"","X1","row","replicate","env_scenario","delta_env","delta_gen","sample_size","total_samples","n_env","n_pop","std_dev","interaction","Sim_time","true_cov","covariance","covariance_lwrCI","covariance_uprCI","covariance_pvalue","true_cov_means","cov_means","cov_means_lwrCI","cov_means_uprCI","cov_means_pvalue","GxE_Anova","true_GxE_emm","GxE_emm","GxE_emm_lwrCI","GxE_emm_uprCI","GxE_emm_pvalue","true_GxE_omega","GxE_omega","GxE_omega_lwrCI","GxE_omega_uprCI","GxE_omega_pvalue","true_GxE_eta","GxE_eta","GxE_eta_lwrCI","GxE_eta_uprCI","GxE_eta_pvalue","true_GxE_SSq","GxE_SSq","GxE_SSq_lwrCI","GxE_SSq_uprCI","true_GxE_means","GxE_means","GxE_means_lwrCI","GxE_means_uprCI","GxE_means_pvalue"
"1162",1,17104,1,2,0.107530141016468,0.110258260276169,4,256,8,8,1,6.13808244373649,18.633462703228,0.3,0.02,-0.37,0.38,0.951,0.3,0.02,-0.34,0.38,0.961,1.17187141712714e-15,0.71,0.78,0.76,0.94,0,0.82,0.4,0.43,0.57,0,0.82,0.5,0.52,0.64,0,0.82,0.83,0.75,0.89,0.71,0.78,0.66,0.74,0
"1163",1,17105,1,2,0.462534874910489,-0.590616851113737,4,256,8,8,1,1.61851404041983,19.4570389787356,-0.35,-0.35,-0.47,-0.22,0.238,-0.35,-0.35,-0.48,-0.21,0.226,5.86351547489081e-09,0.4,0.6,0.58,0.75,0.04,0.25,0.18,0.2,0.34,0,0.25,0.27,0.27,0.39,0.02,0.25,0.39,0.36,0.51,0.4,0.6,0.46,0.57,0
"1164",1,17106,1,2,0.606405001599342,0.859370891004801,4,256,8,8,1,5.3492943723686,22.2439629991849,0.43,0.54,0.17,0.78,0.079,0.43,0.54,0.19,0.78,0.061,1.80973657117228e-17,0.72,0.79,0.75,0.94,0,0.82,0.43,0.43,0.6,0,0.82,0.53,0.52,0.66,0,0.82,0.85,0.78,0.9,0.72,0.79,0.67,0.75,0
"1165",1,17107,1,2,0.00700538139790297,0.196268061175942,4,256,8,8,1,0.051729517232161,21.1098220070203,0.01,0.09,-0.02,0.18,0.762,0.01,0.09,-0.02,0.18,0.782,0.275262573581611,0.06,0.38,0.39,0.56,1,0.01,0.01,0.05,0.17,0.38,0.01,0.11,0.13,0.24,1,0.01,0.18,0.18,0.34,0.06,0.38,0.33,0.45,0.03
"1166",1,17108,1,2,0.270324197830632,-0.784513770136982,4,256,8,8,1,1.17761369787389,19.5631944656372,-0.43,-0.43,-0.56,-0.3,0.139,-0.43,-0.43,-0.55,-0.3,0.178,3.90814075098585e-05,0.33,0.51,0.51,0.67,0.49,0.17,0.11,0.13,0.25,0.01,0.17,0.19,0.2,0.31,0.52,0.17,0.28,0.27,0.41,0.33,0.51,0.41,0.52,0
"1167",1,17109,1,2,0.671224757330492,0.449621602427214,4,256,8,8,1,4.43623917736113,22.007316215833,-0.57,-0.35,-0.57,-0.07,0.262,-0.57,-0.35,-0.58,-0.09,0.251,8.13913676747318e-17,0.72,0.78,0.74,0.91,0,0.76,0.38,0.39,0.56,0,0.76,0.48,0.47,0.62,0,0.76,0.75,0.67,0.83,0.72,0.78,0.65,0.75,0
"1168",1,17110,1,2,0.394167391117662,0.43000889243558,4,256,8,8,1,2.25065371906385,12.3824505964915,0.47,0.4,0.12,0.63,0.18,0.47,0.4,0.1,0.63,0.205,2.05492588902294e-08,0.55,0.65,0.63,0.82,0,0.52,0.23,0.26,0.43,0,0.52,0.34,0.35,0.5,0,0.52,0.6,0.54,0.72,0.55,0.65,0.56,0.67,0
"1169",1,17111,1,2,0.908810511231422,-0.619848291855305,4,256,8,8,1,1.23269938793965,20.8772308429082,-0.9,-0.75,-0.89,-0.56,0.007,-0.9,-0.75,-0.9,-0.56,0.005,0.0130668106850026,0.27,0.44,0.44,0.6,0.84,0.11,0.06,0.09,0.22,0.11,0.11,0.15,0.16,0.29,0.87,0.11,0.24,0.23,0.39,0.27,0.44,0.38,0.5,0
"1170",1,17112,1,2,0.65851889946498,0.101689394097775,4,256,8,8,1,4.39727234374732,23.8913781046867,0.21,0.41,-0.01,0.61,0.168,0.21,0.41,-0.03,0.61,0.165,1.42675808569796e-07,0.68,0.62,0.61,0.8,0,0.7,0.23,0.27,0.44,0,0.7,0.36,0.38,0.53,0,0.7,0.69,0.61,0.8,0.68,0.62,0.61,0.72,0
"1171",1,17113,1,2,0.552237205207348,-0.259860249236226,4,256,8,8,1,1.84109690861544,18.3878224134445,-0.23,-0.15,-0.36,0.08,0.627,-0.23,-0.15,-0.36,0.06,0.652,9.41316363315346e-11,0.53,0.67,0.64,0.82,0,0.46,0.24,0.26,0.41,0,0.46,0.34,0.34,0.47,0,0.46,0.52,0.47,0.64,0.53,0.67,0.54,0.65,0
