"","X.1","X","X1","row","replicate","env_scenario","delta_env","delta_gen","sample_size","total_samples","n_env","n_pop","std_dev","interaction","Sim_time","pop_cov","true_cov","cov_R","covariance","covariance_lwrCI","covariance_uprCI","covariance_pvalue","true_cov_means","cov_means_R","cov_means","cov_means_lwrCI","cov_means_uprCI","cov_means_pvalue","true_cor","cor","cor_lwrCI","cor_uprCI","cor_pvalue","GxE_Anova","true_GxE_emm","GxE_emm","GxE_emm_lwrCI","GxE_emm_uprCI","GxE_emm_pvalue","true_GxE_omega","GxE_omega","GxE_omega_lwrCI","GxE_omega_uprCI","GxE_omega_pvalue","true_GxE_means","GxE_means","GxE_means_lwrCI","GxE_means_uprCI","GxE_means_pvalue","sig","meancoverror","coverror","meangxeerror","gxeerror"
"1481",32672,32689,1,7834,5,1,0.290097487624735,0.769004763104022,16,64,2,2,0.5,1.83943565003574,2.69962425629298,0.024,0.047,0.035,0.035,-1.53945,4.33493333333332,0.955,0.047,0.035,0.035,-0.244,0.417683333333333,0.675,1,1,-1,1,0.842,0,0.816,0.874,0.768,0.979,0,0.888,0.727,0.651,0.808,0,0.816,0.874,0.777,0.97,0,TRUE,0.661683333333333,5.87438333333332,0.193,0.211
"1482",32678,32695,1,7840,5,1,0.0809220119845122,0.163117693271488,16,64,2,2,0.5,1.97249991446733,2.68781404097875,-0.033,-0.066,-0.224,-0.224,-7.32455,1.01573333333333,0.729,-0.066,-0.224,-0.224,-0.631,0.0966833333333333,0.682,-1,-1,-1,1,0.833,0,0.799,0.722,0.609,0.848,0,0.852,0.614,0.484,0.747,0,0.799,0.722,0.625,0.823,0,TRUE,0.727683333333333,8.34028333333333,0.198,0.239
"1483",32742,32759,1,8001,5,1,0.838216304779053,0.747153983451426,2,8,2,2,1,0.51451332680881,2.58914442062378,0.291,0.581,-0.887,-0.887,-49.269,8.349,0.093,0.581,-0.887,-0.887,-0.9341,0.893366666666667,0.312,1,-1,-1,1,0.808,0.812,0.017,0.127,0.028,0.784,0.998,0,-0.16,-0.185,0.577,0.909,0.017,0.127,0.013,1.005,0.998,FALSE,1.82746666666667,57.618,0.992,0.756
"1484",32743,32760,1,8002,5,1,0.0870344843715429,0.713642534799874,2,8,2,2,1,1.59092885954306,2.67737169663111,0.008,0.016,-0.355,-0.355,-3.269,0.062,0.554,0.016,-0.355,-0.355,-0.9271,0.381033333333332,0.681,1,-1,-1,1,0.822,0.008,0.632,1.284,0.953,1.616,0,0.532,0.623,0.501,0.829,0.008,0.632,1.284,0.731,1.833,0,TRUE,1.30813333333333,3.331,1.102,0.663
"1485",32744,32761,1,8003,5,1,0.438988804118708,-0.405006522778422,2,8,2,2,1,0.599027269519866,2.7231685757637,-0.292,-0.583,0.02,0.02,-10.793,4.422,0.985,-0.583,0.02,0.02,-0.944366666666667,0.910683333333333,0.999,-1,1,-1,1,0.828,0.666,0.214,0.236,0.027,0.887,0.991,0.061,-0.121,-0.182,0.554,0.763,0.214,0.236,0.016,0.933,0.984,FALSE,1.85505,15.215,0.917,0.86
"1486",32746,32763,1,8005,5,1,0.272554446943104,-0.25253882817924,2,8,2,2,1,0.325296244118363,2.32703853050868,0.141,0.283,0.878,0.878,-0.2708,4.036,0.09,0.283,0.878,0.878,-0.180783333333333,0.975,0.999,1,1,-1,1,0.83,0.244,0.573,0.62,0.011,1.27,0.141,0.437,0.081,-0.034,0.531,0.249,0.573,0.62,0.059,1.24,0.357,FALSE,1.15578333333333,4.3068,1.181,1.259
"1487",32752,32769,1,8011,5,1,0.580214980756864,-0.319452574942261,2,8,2,2,1,1.51924102334306,2.76332629521688,0.061,0.123,0.023,0.023,-0.829,7.445,0.997,0.123,0.023,0.023,-0.749783333333333,0.88505,0.999,1,1,-1,1,0.817,0.42,0.282,0.479,0.03,1.198,0.008,0.106,-0.023,-0.081,0.941,0.499,0.282,0.479,0.029,1.167,0.518,TRUE,1.63483333333333,8.274,1.138,1.168
"1488",32753,32770,1,8012,5,1,0.251987215597183,-0.202637959737331,2,8,2,2,1,1.66402968391776,2.54349985917409,-0.095,-0.19,-0.887,-0.887,-24.446,7.67778333333329,0.08,-0.19,-0.887,-0.887,-0.985,0.339616666666666,0.332,-1,-1,-1,1,0.831,0.041,0.8,0.849,0.478,1.244,0,0.853,0.461,0.314,0.896,0.016,0.8,0.849,0.446,1.249,0,TRUE,1.32461666666667,32.1237833333333,0.803,0.766
"1489",32754,32771,1,8013,5,1,0.356565826106817,0.745370227377862,2,8,2,2,1,0.507910487707704,2.65650253295898,0.031,0.063,-0.791,-0.791,-3.748,0.207,0.117,0.063,-0.791,-0.791,-0.965,0.665983333333332,0.331,1,-1,-1,1,0.82,0.072,0.661,0.805,0.374,1.236,0.292,0.582,0.368,0.201,0.804,0.072,0.661,0.805,0.21,1.399,0.24,FALSE,1.63098333333333,3.955,1.189,0.862
"1490",32756,32773,1,8015,5,1,0.410320291761309,0.14950179727748,2,8,2,2,1,0.322718729265034,2.74127620061239,-0.079,-0.159,0.401,0.401,-4.678,0.692883333333333,0.501,-0.159,0.401,0.401,-0.782466666666667,0.94705,0.999,-1,1,-1,1,0.835,0.347,0.191,0.496,0.03,1.098,0.333,0.049,0.017,-0.135,0.761,0.368,0.191,0.496,0.028,1.167,0.509,FALSE,1.72951666666667,5.37088333333333,1.139,1.068
"1491",32758,32775,1,8017,5,1,0.299846299923956,-0.935188961215317,2,8,2,2,1,1.06362169794738,4.59375121196111,-0.175,-0.349,-0.274,-0.274,-2.879,25.0990833333333,0.663,-0.349,-0.274,-0.274,-0.933,0.890516666666666,0.655,-1,-1,-1,1,0.999,0.807,0.207,0.06,0.001,0.365,0.999,0.057,-0.147,-0.176,0.822,0.823,0.207,0.06,0.006,0.584,0.997,FALSE,1.82351666666667,27.9780833333333,0.578,0.364
"1492",32761,32778,1,801,1,1,0.237957630539313,0.648162244819105,2,8,2,2,1,1.38828998850659,2.61591826677322,0.21,0.421,0.845,0.845,1.107,24.854,0.103,0.421,0.845,0.845,-0.167833333333333,0.971683333333333,0.322,1,1,1,1,0.821,0.021,0.708,0.651,0.401,0.887,0.102,0.669,0.51,0.342,0.934,0.004,0.708,0.651,0.303,0.968,0.036,TRUE,1.13951666666667,23.747,0.665,0.486
"1493",32764,32781,1,8022,5,1,0.957183940801769,-0.58135480992496,2,8,2,2,1,1.16147200157866,4.756789235274,0.273,0.545,-0.087,-0.087,-18.714,6.841,0.933,0.545,-0.087,-0.087,-0.938733333333333,0.907083333333332,0.999,1,-1,-1,1,0.839,0.404,0.433,0.458,0.022,1.143,0.909,0.25,-0.019,-0.122,0.758,0.388,0.433,0.458,0.025,1.197,0.9,FALSE,1.84581666666667,25.555,1.172,1.121
"1494",32765,32782,1,8023,5,1,0.641007914906368,-0.487460793927312,2,8,2,2,1,1.23025800660253,4.74220831394196,-0.435,-0.871,-0.636,-0.636,-11.975,7.957,0.246,-0.871,-0.636,-0.636,-0.962683333333333,0.81315,0.999,-1,-1,-1,1,0.833,0.639,0.565,0.178,0,0.698,0.999,0.425,-0.123,-0.197,0.576,0.702,0.565,0.178,0.014,1.039,0.996,FALSE,1.77583333333333,19.932,1.025,0.698
"1495",32767,32784,1,8025,5,1,0.365225189365447,0.929486549925059,2,8,2,2,1,0.933160118293017,4.74735889832179,0.053,0.105,0.958,0.958,0.212,3.727,0.018,0.105,0.958,0.958,-0.220683333333333,0.984683333333333,0.346,1,1,1,1,0.818,0.187,0.056,0.572,0.049,1.064,0.587,0.004,0.104,-0.001,0.742,0.201,0.056,0.572,0.026,1.331,0.576,TRUE,1.20536666666667,3.515,1.305,1.015
"1496",32770,32787,1,8028,5,1,0.497532839886844,-0.0186471715569496,2,8,2,2,1,0.816265422385186,2.76236720879873,-0.244,-0.488,-0.516,-0.516,-6.817,1.71098333333332,0.375,-0.488,-0.516,-0.516,-0.965683333333333,0.5911,0.367,-1,-1,-1,1,0.939,0.759,0.791,0.123,0.007,0.633,0.998,0.834,-0.105,-0.138,0.444,0.662,0.791,0.123,0.013,0.834,0.995,FALSE,1.55678333333333,8.52798333333332,0.821,0.626
"1497",32774,32791,1,8031,5,1,0.56016302597709,-0.153015563264489,2,8,2,2,1,0.658775012008846,4.86173403660456,-0.082,-0.163,-0.065,-0.065,-1.476,1.897,0.887,-0.163,-0.065,-0.065,-0.90415,0.744466666666666,0.674,-1,-1,-1,1,0.827,0.923,0.279,0.045,0.025,0.729,0.999,0.104,-0.103,-0.108,0.578,0.634,0.279,0.045,0.012,0.862,0.999,FALSE,1.64861666666667,3.373,0.85,0.704
"1498",32776,32793,1,8033,5,1,0.710216100327671,-0.706635049544275,2,8,2,2,1,1.97004717681557,4.46653614044189,-0.174,-0.347,0.391,0.391,-29.755,10.128,0.507,-0.347,0.391,0.391,-0.898416666666667,0.8871,0.671,-1,1,-1,1,0.827,0.268,0.72,0.571,0.021,1.189,0.164,0.692,0.091,-0.065,0.667,0.269,0.72,0.571,0.047,1.157,0.364,FALSE,1.78551666666667,39.883,1.11,1.168
"1499",32778,32795,1,8035,5,1,0.80986688612029,0.738101095892489,2,8,2,2,1,0.906721500214189,4.85136380195618,0.225,0.449,0.77,0.77,-0.002,5.075,0.151,0.449,0.77,0.77,-0.3052,0.967,0.999,1,1,-1,1,0.835,0.278,0.023,0.327,0.014,0.672,0.634,0.001,0.054,-0.018,0.487,0.274,0.023,0.327,0.019,0.755,0.512,FALSE,1.2722,5.077,0.736,0.658
"1500",32779,32796,1,8036,5,1,0.782194723375142,0.52669810783118,2,8,2,2,1,0.227151017170399,4.85260052680969,0.373,0.746,0.561,0.561,-0.08,5.087,0.394,0.746,0.561,0.561,-0.322,0.98,0.315,1,1,-1,1,0.815,0.874,0.1,0.05,0.007,0.455,0.999,0.013,-0.079,-0.079,0.407,0.703,0.1,0.05,0.014,0.677,0.999,FALSE,1.302,5.167,0.663,0.448
"1501",32783,32800,1,803,1,1,0.72013036813587,-0.261212137527764,2,8,2,2,1,1.82846414670348,2.60969508886337,0.03,0.061,-0.367,-0.367,-3.684,1.925,0.652,0.061,-0.367,-0.367,-0.953683333333333,0.746366666666667,0.675,1,-1,-1,1,0.85,0.011,0.817,1.609,1.14,2.077,0.063,0.889,0.644,0.443,0.973,0.024,0.817,1.609,0.744,2.456,0.017,FALSE,1.70005,5.609,1.712,0.937
"1502",32784,32801,1,8040,5,1,0.925405371235684,-0.122286751400679,2,8,2,2,1,0.270236409269273,2.74937621355057,-0.059,-0.117,-0.838,-0.838,-40.7719666666667,2.6543,0.1,-0.117,-0.838,-0.838,-0.961683333333333,0.85905,0.321,-1,-1,-1,1,0.819,0.094,0.566,0.883,0.372,1.426,0.014,0.427,0.354,0.136,0.978,0.113,0.566,0.883,0.156,1.551,0.084,TRUE,1.82073333333333,43.4262666666667,1.395,1.054
"1503",32786,32803,1,8042,5,1,0.501687063835561,-0.455724517814815,2,8,2,2,1,0.636975730303675,2.63653271198273,0.227,0.453,0.869,0.869,0.273133333333333,4.334,0.068,0.453,0.869,0.869,-0.3053,0.97,0.343,1,1,1,1,0.949,0.402,0.189,0.166,0.007,0.381,0.939,0.048,-0.009,-0.064,0.318,0.359,0.189,0.166,0.01,0.607,0.935,TRUE,1.2753,4.06086666666667,0.597,0.374
