"","X.1","X","X1","row","replicate","env_scenario","delta_env","delta_gen","sample_size","total_samples","n_env","n_pop","std_dev","interaction","Sim_time","pop_cov","true_cov","cov_R","covariance","covariance_lwrCI","covariance_uprCI","covariance_pvalue","true_cov_means","cov_means_R","cov_means","cov_means_lwrCI","cov_means_uprCI","cov_means_pvalue","true_cor","cor","cor_lwrCI","cor_uprCI","cor_pvalue","GxE_Anova","true_GxE_emm","GxE_emm","GxE_emm_lwrCI","GxE_emm_uprCI","GxE_emm_pvalue","true_GxE_omega","GxE_omega","GxE_omega_lwrCI","GxE_omega_uprCI","GxE_omega_pvalue","true_GxE_means","GxE_means","GxE_means_lwrCI","GxE_means_uprCI","GxE_means_pvalue","sig","meancoverror","coverror","meangxeerror","gxeerror"
"1",1,1,1,10001,6,1,0.526379358023405,0.128074504435062,4,16,2,2,1,0.375853440724313,2.55044804016749,0.216,0.433,0.356,0.356,-0.374733333333333,6.01016666666665,0.518,0.433,0.356,0.356,-0.615733333333333,0.943,0.667,1,1,-1,1,0.818,0.002,0.27,0.804,0.415,1.15,0.034,0.097,0.413,0.166,0.716,0.008,0.27,0.804,0.391,1.19,0,TRUE,1.55873333333333,6.38489999999998,0.799,0.735
"2",2,2,1,10002,6,1,0.118078641593456,-0.0380794112570584,4,16,2,2,1,1.96191500034183,3.05727444092433,0.265,0.53,0.61,0.61,-0.0927333333333333,3.09593333333333,0.316,0.53,0.61,0.61,-0.0856833333333333,0.971,0.651,1,1,-1,1,0.94,0.02,0.451,0.702,0.238,1.127,0.017,0.272,0.221,0.003,0.544,0.032,0.451,0.702,0.236,1.155,0.042,TRUE,1.05668333333333,3.18866666666666,0.919,0.889
"3",4,4,1,10004,6,1,0.436018275329843,0.592435314785689,4,16,2,2,1,0.273911104537547,2.54738877614339,0.403,0.806,0.411,0.411,-0.471566666666667,3.09856666666667,0.515,0.806,0.411,0.411,-0.292616666666667,0.952366666666666,0.674,1,1,-1,1,0.817,0.543,0.189,0.122,0.008,0.447,0.996,0.048,-0.025,-0.043,0.153,0.448,0.189,0.122,0.009,0.49,0.995,FALSE,1.24498333333333,3.57013333333334,0.481,0.439
"4",7,7,1,10007,6,1,0.354491998441517,0.0450979797169566,4,16,2,2,1,0.438703484833241,2.47801434199015,-0.312,-0.624,0.37,0.37,-10.8025,9.69513333333331,0.54,-0.624,0.37,0.37,-0.749183333333333,0.946733333333333,0.657,-1,1,-1,1,0.849,0.01,0.841,0.78,0.331,1.204,0.231,0.943,0.334,0.052,0.669,0.016,0.841,0.78,0.32,1.221,0.069,FALSE,1.69591666666667,20.4976333333333,0.901,0.873
"5",11,11,1,10011,6,1,0.29540965356864,0.358008171897382,4,16,2,2,1,0.777935647871345,2.61364516019821,-0.026,-0.052,0.37,0.37,-9.69541666666667,13.0745,0.567,-0.052,0.37,0.37,-0.816,0.939683333333333,0.999,-1,1,-1,1,0.84,0.244,0.199,0.372,0.027,0.907,0.788,0.053,0.03,-0.065,0.511,0.266,0.199,0.372,0.025,0.89,0.763,FALSE,1.75568333333333,22.7699166666667,0.865,0.88
"6",14,14,1,10014,6,1,0.815674296580255,0.765115075279027,4,16,2,2,1,1.19694743072614,2.60195128122965,0.201,0.402,0.749,0.749,-0.204516666666667,4.96833333333333,0.171,0.402,0.749,0.749,-0.135466666666667,0.984,0.315,1,1,-1,1,0.823,0.034,0.435,0.651,0.174,1.087,0.062,0.252,0.203,-0.019,0.753,0.055,0.435,0.651,0.259,1.034,0.023,FALSE,1.11946666666667,5.17285,0.775,0.913
"7",18,18,1,10018,6,1,0.115476375911385,0.603637900203466,4,16,2,2,1,1.65234508831054,2.38908633788427,-0.054,-0.108,-0.406,-0.406,-6.10726666666667,0.762783333333327,0.491,-0.108,-0.406,-0.406,-0.953683333333333,0.366033333333332,0.999,-1,-1,-1,1,0.818,0.094,0.742,0.512,0.071,0.983,0.011,0.733,0.108,-0.042,0.462,0.117,0.742,0.512,0.07,0.946,0.125,TRUE,1.31971666666667,6.87005,0.876,0.912
"8",20,20,1,1001,1,1,0.22815865278244,0.826445664744824,4,16,2,2,1,1.37644315930083,2.64231984615326,-0.172,-0.344,-0.208,-0.208,-5.92518333333333,6.23741666666664,0.742,-0.344,-0.208,-0.208,-0.917683333333333,0.685,0.675,-1,-1,-1,1,0.813,0.003,0.805,0.845,0.496,1.201,0.001,0.863,0.413,0.21,0.675,0.005,0.805,0.845,0.455,1.24,0,TRUE,1.60268333333333,12.1626,0.785,0.705
"9",23,23,1,10022,6,1,0.272604856872931,-0.697748246602714,4,16,2,2,1,1.6032387688756,2.58477545976639,0.487,0.974,0.802,0.802,-1.36151666666667,9.63039999999998,0.119,0.974,0.802,0.802,-0.0487333333333333,0.979366666666666,0.999,1,1,-1,1,0.941,0.132,0.663,0.423,0.034,0.849,0.645,0.586,0.076,-0.046,0.625,0.172,0.663,0.423,0.054,0.771,0.581,FALSE,1.0281,10.9919166666667,0.717,0.815
"10",24,24,1,10023,6,1,0.24908990226686,-0.169224816840142,4,16,2,2,1,0.999025600962341,2.57513138453166,-0.194,-0.388,-0.151,-0.151,-3.01056666666667,0.709366666666667,0.805,-0.388,-0.151,-0.151,-0.831733333333333,0.397683333333333,0.669,-1,-1,-1,1,0.848,0.004,0.721,0.863,0.474,1.246,0,0.693,0.346,0.128,0.642,0.013,0.721,0.863,0.454,1.23,0.001,TRUE,1.22941666666667,3.71993333333334,0.776,0.772
"11",25,25,1,10024,6,1,0.366966600064188,-0.227554543875158,4,16,2,2,1,0.437454957515001,2.51122730970383,-0.357,-0.713,-0.58,-0.58,-4.55665,0.547666666666666,0.312,-0.713,-0.58,-0.58,-0.973683333333333,0.093,0.335,-1,-1,-1,1,0.943,0.985,0.139,0.005,0.007,0.517,0.999,0.026,-0.049,-0.057,0.187,0.637,0.139,0.005,0.007,0.458,0.999,FALSE,1.06668333333333,5.10431666666667,0.451,0.51
"12",29,29,1,10028,6,1,0.368694526609033,-0.550290578976274,4,16,2,2,1,1.4853069758974,2.53127962350845,0.171,0.342,0.91,0.91,0.162266666666667,4.08345,0.069,0.342,0.91,0.91,0.180266666666667,0.986683333333333,0.319,1,1,1,1,0.833,0.56,0.213,0.163,0.01,0.619,0.799,0.061,-0.028,-0.058,0.203,0.467,0.213,0.163,0.009,0.592,0.917,TRUE,0.806416666666666,3.92118333333333,0.583,0.609
"13",34,34,1,10032,6,1,0.177061384543777,0.569615263026208,4,16,2,2,1,1.56292435340583,2.62583719889323,0.483,0.967,0.855,0.855,-9.62881666666667,10.3409833333333,0.111,0.967,0.855,0.855,-0.553933333333333,0.969683333333333,0.303,1,1,-1,1,0.824,0.001,0.706,1.052,0.619,1.458,0,0.664,0.489,0.246,0.798,0.004,0.706,1.052,0.679,1.47,0,TRUE,1.52361666666667,19.9698,0.791,0.839
"14",35,35,1,10033,6,1,0.0716423648409545,-0.298937367275357,4,16,2,2,1,1.52140264352784,2.7189796368281,0.314,0.628,0.767,0.767,-9.0094,24.8815166666666,0.181,0.628,0.767,0.767,-0.245616666666667,0.979683333333333,0.334,1,1,-1,1,0.823,0,0.853,1.091,0.851,1.327,0,0.969,0.746,0.606,0.913,0,0.853,1.091,0.845,1.319,0,TRUE,1.2253,33.8909166666666,0.474,0.476
"15",37,37,1,10035,6,1,0.534141784068197,0.267170812934637,4,16,2,2,1,1.0393406287767,2.6850218296051,-0.172,-0.344,-0.829,-0.829,-24.4034833333333,4.68186666666663,0.134,-0.344,-0.829,-0.829,-0.976683333333333,0.51405,0.677,-1,-1,-1,1,0.817,0.181,0.205,0.295,0.026,0.626,0.812,0.056,0.051,-0.058,0.467,0.203,0.205,0.295,0.017,0.692,0.712,FALSE,1.49073333333333,29.0853499999999,0.675,0.6
"16",38,38,1,10036,6,1,0.258692396106198,-0.00264250440523028,4,16,2,2,1,0.336260980460793,2.57682319879532,0.21,0.42,0.107,0.107,-1.21183333333333,4.61376666666666,0.871,0.42,0.107,0.107,-0.407983333333333,0.878199999999999,0.669,1,1,-1,1,0.825,0.006,0.607,0.798,0.351,1.165,0,0.491,0.336,0.049,0.771,0.013,0.607,0.798,0.46,1.136,0,TRUE,1.28618333333333,5.82559999999999,0.676,0.814
"17",39,39,1,10037,6,1,0.715303726727143,-0.987662713043392,4,16,2,2,1,0.339239021297544,2.51909204324087,-0.103,-0.205,0.34,0.34,-5.45485,6.79403333333332,0.593,-0.205,0.34,0.34,-0.6091,0.956683333333333,0.999,-1,1,-1,1,0.828,0.346,0.442,0.311,0.014,0.852,0.358,0.26,-0.002,-0.064,0.29,0.34,0.442,0.311,0.011,0.802,0.68,FALSE,1.56578333333333,12.2488833333333,0.791,0.838
"18",42,42,1,1003,1,1,0.585370966466144,-0.536334513220936,4,16,2,2,1,1.31395554635674,2.74574706951777,-0.352,-0.704,-0.508,-0.508,-13.2976833333333,11.6418,0.396,-0.704,-0.508,-0.508,-0.967,0.753416666666666,0.354,-1,-1,-1,1,0.826,0.007,0.784,0.923,0.434,1.394,0,0.819,0.36,0.125,0.742,0.013,0.784,0.923,0.466,1.372,0.001,TRUE,1.72041666666667,24.9394833333333,0.906,0.96
"19",48,48,1,10045,6,1,0.37256055790931,0.568968113977462,4,16,2,2,1,0.0484513454139233,2.64456885655721,0.384,0.767,0.382,0.382,-3.35711666666667,6.10514999999999,0.556,0.767,0.382,0.382,-0.361566666666667,0.947683333333333,0.681,1,1,-1,1,0.931,0.586,0.061,0.135,0.01,0.563,0.993,0.005,-0.035,-0.049,0.328,0.513,0.061,0.135,0.008,0.54,0.992,FALSE,1.30925,9.46226666666666,0.532,0.553
"20",49,49,1,10046,6,1,0.541866705054417,0.15837742574513,4,16,2,2,1,0.364482335280627,2.66458611488342,0.28,0.561,0.806,0.806,-0.49325,6.36209999999998,0.131,0.561,0.806,0.806,-0.142366666666667,0.972683333333333,0.314,1,1,-1,1,0.836,0.074,0.623,0.538,0.093,1.004,0,0.518,0.141,-0.032,0.448,0.077,0.623,0.538,0.152,0.908,0.029,TRUE,1.11505,6.85534999999998,0.756,0.911
"21",50,50,1,10047,6,1,0.406039080582559,0.280994798988104,4,16,2,2,1,1.88107246160507,2.74662022590637,-0.012,-0.024,0.447,0.447,-19.5211166666667,23.9260666666666,0.463,-0.024,0.447,0.447,-0.855133333333333,0.963683333333333,0.332,-1,1,-1,1,0.807,0.035,0.752,0.71,0.206,1.217,0.002,0.755,0.232,0.005,0.547,0.022,0.752,0.71,0.254,1.189,0.023,TRUE,1.81881666666667,43.4471833333333,0.935,1.011
"22",54,54,1,10050,6,1,0.135801749769598,-0.804231303278357,4,16,2,2,1,1.86983047472313,4.68193664948146,0.38,0.759,0.45,0.45,-0.14705,4.45001666666666,0.452,0.759,0.45,0.45,-0.111,0.95605,0.999,1,1,-1,1,0.819,0.07,0.396,0.367,0.066,0.658,0.26,0.209,0.109,-0.032,0.418,0.109,0.396,0.367,0.084,0.677,0.087,FALSE,1.06705,4.59706666666666,0.593,0.592
"23",55,55,1,10051,6,1,0.452472887001932,-0.230010430794209,4,64,4,4,1,1.66874436873244,7.90381539662679,0.151,0.201,0.466,0.466,-3.91316666666667,7.04856666666667,0.231,0.201,0.466,0.466,-0.33105,0.804366666666667,0.255,0.207,0.672,-0.669,0.961,0.313,0.002,0.572,0.716,0.544,1.005,0,0.588,0.255,0.189,0.529,0.001,0.572,0.716,0.595,0.988,0,TRUE,1.13541666666667,10.9617333333333,0.393,0.461
"24",59,59,1,10055,6,1,0.627152576809749,-0.319117759354413,4,64,4,4,1,2.13629380986094,4.40336025158564,-0.542,-0.722,-0.697,-0.697,-3.76225,-0.129216666666667,0.064,-0.722,-0.697,-0.697,-0.849683333333333,-0.0782666666666669,0.061,-0.903,-0.74,-0.954,-0.089,0.255,0.235,0.431,0.362,0.312,0.606,0.474,0.273,0.037,0.023,0.303,0.281,0.431,0.362,0.311,0.594,0.331,TRUE,0.771416666666666,3.63303333333333,0.283,0.294
"25",60,60,1,10056,6,1,0.477371160173789,-0.125604580622166,4,64,4,4,1,1.13281813662034,4.42276057004929,-0.032,-0.043,-0.079,-0.079,-1.96555,1.209,0.862,-0.043,-0.079,-0.079,-0.547366666666667,0.412783333333333,0.855,-0.082,-0.155,-0.859,0.828,0.855,0.01,0.444,0.526,0.479,0.854,0,0.372,0.18,0.119,0.467,0.024,0.444,0.526,0.46,0.82,0.03,TRUE,0.96015,3.17455,0.36,0.375
"26",61,61,1,10057,6,1,0.0770400173496455,-0.287170210387558,4,64,4,4,1,2.91687468346208,4.3182479262352,-0.436,-0.581,0.118,0.118,-2.52503333333333,3.05905,0.763,-0.581,0.118,0.118,-0.491783333333333,0.58,0.77,-0.715,0.205,-0.68,0.902,0.788,0,0.687,0.71,0.589,0.931,0,0.764,0.33,0.269,0.562,0,0.687,0.71,0.591,0.918,0,TRUE,1.07178333333333,5.58408333333333,0.327,0.342
"27",64,64,1,1005,1,1,0.59468039823696,-0.479900191072375,4,16,2,2,1,0.553087862208486,2.72041019996007,-0.392,-0.783,-0.775,-0.775,-9.65988333333333,0.892616666666666,0.148,-0.783,-0.775,-0.775,-0.972683333333333,0.347883333333333,0.69,-1,-1,-1,1,0.806,0.244,0.339,0.292,0.02,0.71,0.943,0.153,0.027,-0.056,0.343,0.244,0.339,0.292,0.016,0.708,0.897,FALSE,1.32056666666667,10.5525,0.692,0.69
"28",73,73,1,10068,6,1,0.293627782957628,0.24500002572313,4,64,4,4,1,2.45550392009318,4.28031120300293,-0.114,-0.152,0.187,0.187,-1.15515,3.01141666666667,0.685,-0.152,0.187,0.187,-0.236733333333333,0.600366666666666,0.676,-0.552,0.502,-0.703,0.961,0.545,0,0.689,0.703,0.561,0.936,0,0.881,0.361,0.248,0.609,0,0.689,0.703,0.569,0.941,0,TRUE,0.837099999999999,4.16656666666667,0.372,0.375
"29",75,75,1,1006,1,1,0.298582198563963,0.0764349298551679,4,16,2,2,1,1.20759032433853,2.67430166800817,0.474,0.948,0.881,0.881,-25.8480833333333,53.6846166666666,0.082,0.948,0.881,0.881,-0.5591,0.98,0.351,1,1,-1,1,0.833,0.038,0.762,0.52,0.135,0.894,0.451,0.774,0.209,-0.029,0.699,0.035,0.762,0.52,0.164,0.838,0.305,FALSE,1.5391,79.5326999999999,0.674,0.759
"30",78,78,1,10072,6,1,0.220855972962454,0.282259271014482,4,64,4,4,1,0.954970601950772,4.54062438805898,0.478,0.637,0.624,0.624,0.2579,3.98678333333333,0.105,0.637,0.624,0.624,0.0496333333333333,0.829416666666666,0.113,0.703,0.741,0.158,0.962,0.249,0,0.625,0.721,0.548,0.943,0,0.602,0.281,0.213,0.521,0,0.625,0.721,0.561,0.93,0,TRUE,0.779783333333333,3.72888333333333,0.369,0.395
"31",82,82,1,10076,6,1,0.167189155938104,0.600468648131937,4,64,4,4,1,1.64384252145886,4.31505426168442,-0.177,-0.235,-0.184,-0.184,-5.03716666666667,2.41011666666666,0.647,-0.235,-0.184,-0.184,-0.6881,0.412366666666667,0.645,-0.376,-0.323,-0.94,0.706,0.669,0,0.725,0.965,0.802,1.173,0,0.825,0.503,0.461,0.685,0,0.725,0.965,0.801,1.154,0,TRUE,1.10046666666667,7.44728333333333,0.353,0.371
"32",89,89,1,10082,6,1,0.347595955478027,0.358943529427052,4,64,4,4,1,1.60776415231405,4.38955037991206,0.506,0.674,0.018,0.018,-2.16873333333333,2.91318333333333,0.962,0.674,0.018,0.018,-0.419366666666667,0.47605,0.957,0.783,0.02,-0.533,0.62,0.98,0,0.747,0.774,0.686,0.966,0,0.81,0.479,0.425,0.663,0,0.747,0.774,0.687,0.964,0,TRUE,0.895416666666667,5.08191666666666,0.277,0.28
"33",91,91,1,10084,6,1,0.709046262549236,0.264410358387977,4,64,4,4,1,3.64794240752235,4.41270319223404,0.371,0.495,0.043,0.043,-3.26651666666667,3.87041666666666,0.915,0.495,0.043,0.043,-0.533516666666667,0.597733333333333,0.939,0.499,0.068,-0.765,0.819,0.928,0,0.716,0.81,0.691,0.991,0,0.8,0.534,0.464,0.731,0,0.716,0.81,0.689,0.995,0,TRUE,1.13125,7.13693333333333,0.306,0.3
"34",93,93,1,10086,6,1,0.265109724365175,0.368213283829391,4,64,4,4,1,1.53405944077531,4.26912800868352,-0.113,-0.151,-0.018,-0.018,-2.29701666666667,2.12173333333333,0.97,-0.151,-0.018,-0.018,-0.495466666666667,0.394566666666666,0.968,-0.426,-0.048,-0.902,0.785,0.952,0,0.573,0.561,0.479,0.797,0.004,0.565,0.302,0.233,0.546,0,0.573,0.561,0.496,0.787,0.001,TRUE,0.890033333333333,4.41875,0.291,0.318
"35",116,116,1,10106,6,1,0.0297811024356633,-0.271341862622648,4,256,8,8,1,1.95536265526898,11.9373787124952,0.226,0.259,0.071,0.071,-2.59841666666667,3.2331,0.823,0.259,0.071,0.071,-0.283,0.378683333333333,0.818,0.323,0.075,-0.332,0.414,0.869,0,0.698,0.816,0.767,0.943,0,0.751,0.452,0.465,0.628,0,0.698,0.816,0.76,0.954,0,TRUE,0.661683333333333,5.83151666666667,0.194,0.176
"36",119,119,1,10109,6,1,0.12622780771926,-0.165201033465564,4,256,8,8,1,1.36224252401153,12.2542364637057,-0.443,-0.507,-0.444,-0.444,-4.67116666666667,-0.1529,0.105,-0.507,-0.444,-0.444,-0.683,-0.0475833333333336,0.121,-0.533,-0.505,-0.772,-0.054,0.175,0,0.723,0.761,0.748,0.923,0,0.8,0.392,0.408,0.574,0,0.723,0.761,0.731,0.918,0,TRUE,0.635416666666666,4.51826666666667,0.187,0.175
"37",134,134,1,10122,6,1,0.174612819682807,-0.0871544750407338,4,256,8,8,1,1.13408637489891,12.9335805733999,-0.243,-0.277,0.18,0.18,-0.671866666666667,3.2122,0.522,-0.277,0.18,0.18,-0.132366666666667,0.489683333333333,0.56,-0.347,0.283,-0.199,0.644,0.473,0,0.654,0.8,0.785,0.961,0,0.768,0.427,0.454,0.59,0,0.654,0.8,0.778,0.956,0,TRUE,0.62205,3.88406666666667,0.178,0.176
"38",136,136,1,10124,6,1,0.377055554417893,0.591106154955924,4,256,8,8,1,7.41878443956375,13.028465060393,-0.095,-0.108,0.135,0.135,-0.776683333333333,2.59815,0.653,-0.108,0.135,0.135,-0.13305,0.429366666666667,0.637,-0.193,0.371,-0.341,0.75,0.363,0,0.709,0.806,0.774,0.965,0,0.861,0.386,0.416,0.56,0,0.709,0.806,0.774,0.955,0,TRUE,0.562416666666667,3.37483333333333,0.181,0.191
"39",138,138,1,10126,6,1,0.395360396010801,0.626040830742568,4,256,8,8,1,5.12989095877856,12.1902112762133,-0.286,-0.326,-0.277,-0.277,-5.25961666666667,1.28216666666666,0.37,-0.326,-0.277,-0.277,-0.568,0.14805,0.357,-0.37,-0.308,-0.678,0.188,0.448,0,0.726,0.737,0.72,0.896,0,0.849,0.416,0.439,0.6,0,0.726,0.737,0.715,0.888,0,TRUE,0.71605,6.54178333333333,0.173,0.176
"40",139,139,1,10127,6,1,0.158018446527421,-0.388728430960327,4,256,8,8,1,1.87465566559695,12.5756023049355,-0.48,-0.549,-0.682,-0.682,-5.0503,-1.16026666666667,0.01,-0.549,-0.682,-0.682,-0.839683333333333,-0.299316666666667,0.014,-0.658,-0.806,-0.91,-0.415,0.013,0,0.658,0.677,0.647,0.838,0,0.664,0.307,0.325,0.497,0,0.658,0.677,0.66,0.827,0,TRUE,0.540366666666666,3.89003333333333,0.167,0.191
"41",142,142,1,1012,1,1,0.0306443334557116,0.0500761461444199,4,16,2,2,1,0.269054087344557,2.74475596745809,0.066,0.131,0.611,0.611,-0.8124,8.20363333333331,0.305,0.131,0.611,0.611,-0.168783333333333,0.973683333333333,0.346,1,1,-1,1,0.831,0,0.767,0.944,0.609,1.283,0,0.785,0.506,0.303,0.759,0,0.767,0.944,0.643,1.251,0,TRUE,1.14246666666667,9.01603333333331,0.608,0.674
"42",148,148,1,10135,6,1,0.249996624421328,0.400420641992241,4,256,8,8,1,7.69037981145084,12.5603521227837,0.212,0.242,0.063,0.063,-1.43443333333333,1.82841666666667,0.823,0.242,0.063,0.063,-0.221683333333333,0.319366666666667,0.829,0.414,0.108,-0.372,0.523,0.803,0,0.663,0.746,0.707,0.899,0,0.766,0.361,0.383,0.549,0,0.663,0.746,0.715,0.886,0,TRUE,0.54105,3.26285,0.171,0.192
"43",153,153,1,1013,1,1,0.782402850454673,-0.384463345166296,4,16,2,2,1,0.356643425300717,2.69329866568247,-0.075,-0.149,-0.043,-0.043,-4.80946666666667,7.39381666666666,0.953,-0.149,-0.043,-0.043,-0.771733333333333,0.882683333333333,0.999,-1,-1,-1,1,0.822,0.367,0.471,0.298,0.016,0.848,0.242,0.296,-0.007,-0.064,0.3,0.364,0.471,0.298,0.021,0.791,0.694,FALSE,1.65441666666667,12.2032833333333,0.77,0.832
"44",168,168,1,1017,1,1,0.982916717417538,-0.0975239570252597,4,16,2,2,1,0.70793492347002,2.42879866758982,-0.089,-0.177,0.267,0.267,-0.70845,4.47458333333333,0.661,-0.177,0.267,0.267,-0.3861,0.915783333333333,0.644,-1,1,-1,1,0.823,0.033,0.672,0.684,0.209,1.158,0.089,0.602,0.197,-0.009,0.551,0.059,0.672,0.684,0.232,1.099,0.071,FALSE,1.30188333333333,5.18303333333333,0.867,0.949
"45",176,176,1,10205,6,1,0.59039400704205,-0.293947433121502,8,32,2,2,1,1.48892944538966,2.62347406148911,0.163,0.327,0.293,0.293,-2.85215,4.4585,0.667,0.327,0.293,0.293,-0.26805,0.823,0.687,1,1,-1,1,0.822,0,0.504,0.614,0.31,0.892,0,0.338,0.27,0.077,0.503,0,0.504,0.614,0.368,0.86,0.001,TRUE,1.09105,7.31065,0.492,0.582
"46",178,178,1,10207,6,1,0.529157419456169,0.348056938964874,8,32,2,2,1,1.93307856330648,2.50163000822067,-0.075,-0.15,-0.802,-0.802,-14.2908,0.523949999999987,0.145,-0.15,-0.802,-0.802,-0.975683333333333,0.0990999999999997,0.347,-1,-1,-1,1,0.837,0,0.721,0.973,0.636,1.273,0,0.692,0.452,0.237,0.697,0,0.721,0.973,0.68,1.26,0,TRUE,1.07478333333333,14.81475,0.58,0.637
"47",180,180,1,10209,6,1,0.332751158159226,0.56408546352759,8,32,2,2,1,0.653626717627048,2.60644685824712,0.08,0.16,0.893,0.893,-23.84735,22.9127333333333,0.074,0.16,0.893,0.893,-0.427683333333333,0.984,0.33,1,1,-1,1,0.836,0.002,0.815,0.688,0.316,1.078,0,0.886,0.241,0.051,0.516,0.001,0.815,0.688,0.337,1.021,0,TRUE,1.41168333333333,46.7600833333333,0.684,0.762
"48",181,181,1,1020,1,1,0.564583715749905,0.123139627277851,4,16,2,2,1,0.605760560836643,2.70473181804021,-0.449,-0.898,-0.555,-0.555,-9.82388333333333,5.13106666666666,0.354,-0.898,-0.555,-0.555,-0.97105,0.623533333333331,0.999,-1,-1,-1,1,0.852,0.285,0.207,0.323,0.016,0.844,0.353,0.057,0.014,-0.059,0.383,0.271,0.207,0.323,0.01,0.797,0.655,FALSE,1.59458333333333,14.95495,0.787,0.828
"49",189,189,1,10217,6,1,0.616895077982917,-0.472475355956703,8,32,2,2,1,0.948032232932746,2.6420055826505,-0.028,-0.055,0.122,0.122,-83.4398666666667,66.8753333333333,0.857,-0.055,0.122,0.122,-0.903366666666667,0.931,0.674,-1,1,-1,1,0.949,0,0.69,0.775,0.46,1.094,0,0.635,0.352,0.137,0.627,0.001,0.69,0.775,0.471,1.057,0,TRUE,1.83436666666667,150.3152,0.586,0.634
"50",192,192,1,1021,1,1,0.988112119259313,-0.365121632814407,4,16,2,2,1,0.892450812738389,2.67885016600291,-0.168,-0.337,-0.093,-0.093,-2.67431666666667,0.619183333333332,0.89,-0.337,-0.093,-0.093,-0.876416666666667,0.448366666666667,0.666,-1,-1,-1,1,0.81,0.015,0.68,0.825,0.344,1.285,0.083,0.617,0.246,0.056,0.504,0.024,0.68,0.825,0.296,1.358,0.01,FALSE,1.32478333333333,3.2935,1.062,0.941
"51",197,197,1,10224,6,1,0.497892181389034,-0.412341217976063,8,32,2,2,1,1.20062193553895,2.6563253680865,-0.103,-0.206,-0.681,-0.681,-5.86735,0.8731,0.238,-0.206,-0.681,-0.681,-0.978683333333333,0.00746666666666624,0.999,-1,-1,-1,1,0.839,0.048,0.64,0.51,0.083,0.963,0.001,0.546,0.082,-0.021,0.331,0.04,0.64,0.51,0.119,0.879,0.061,TRUE,0.986149999999999,6.74045,0.76,0.88
"52",200,200,1,10227,6,1,0.211703934473917,0.919932835269719,8,32,2,2,1,1.72185779875144,2.57886863946915,0.218,0.437,0.947,0.947,0.221316666666667,3.57116666666666,0.027,0.437,0.947,0.947,0.270316666666667,0.987,0.335,1,1,1,1,0.818,0.001,0.549,0.612,0.327,0.888,0.011,0.401,0.235,0.074,0.454,0.004,0.549,0.612,0.347,0.877,0.007,TRUE,0.716683333333333,3.34984999999999,0.53,0.561
"53",210,210,1,10236,6,1,0.252464870922267,0.193222532980144,8,32,2,2,1,0.529653917066753,2.7308797955513,0.23,0.459,0.729,0.729,-0.36405,10.9025666666667,0.202,0.459,0.729,0.729,-0.1073,0.970366666666667,0.333,1,1,-1,1,0.827,0,0.45,0.79,0.464,1.063,0.003,0.27,0.351,0.156,0.588,0,0.45,0.79,0.5,1.079,0,TRUE,1.07766666666667,11.2666166666667,0.579,0.599
"54",213,213,1,10239,6,1,0.318708870559931,0.307595475576818,8,32,2,2,1,0.768029594793916,3.19444526433945,0.285,0.57,-0.059,-0.059,-3.57458333333333,3.13488333333333,0.925,0.57,-0.059,-0.059,-0.856833333333333,0.602416666666666,0.999,1,-1,-1,1,0.931,0.076,0.086,0.272,0.037,0.553,0.835,0.01,0.055,-0.02,0.258,0.109,0.086,0.272,0.025,0.57,0.436,FALSE,1.45925,6.70946666666666,0.545,0.516
"55",214,214,1,1023,1,1,0.819849309977144,0.370334553066641,4,16,2,2,1,0.110187666490674,2.72181965112686,0.201,0.401,0.963,0.963,0.10175,3.83883333333333,0.035,0.401,0.963,0.963,0.101583333333333,0.982,0.31,1,1,1,1,0.821,0.342,0.094,0.289,0.025,0.771,0.867,0.012,-0.001,-0.043,0.34,0.34,0.094,0.289,0.014,0.772,0.821,TRUE,0.880416666666667,3.73708333333333,0.758,0.746
"56",221,221,1,10246,6,1,0.402261631097645,-0.051746737677604,8,32,2,2,1,1.3916050195694,2.7710519194603,0.096,0.192,0.123,0.123,-1.39428333333333,2.85683333333333,0.844,0.192,0.123,0.123,-0.413466666666667,0.676733333333333,0.999,1,1,-1,1,0.829,0.026,0.637,0.445,0.095,0.791,0,0.541,0.102,-0.016,0.367,0.048,0.637,0.445,0.172,0.729,0.014,TRUE,1.0902,4.25111666666666,0.557,0.696
"57",223,223,1,10248,6,1,0.570617335382849,-0.136032979004085,8,32,2,2,1,0.922562835738063,2.57604568799337,0.486,0.972,-0.349,-0.349,-6.96703333333333,0.843016666666665,0.589,0.972,-0.349,-0.349,-0.906366666666667,0.254,0.664,1,-1,-1,1,0.823,0.001,0.669,0.565,0.291,0.83,0.252,0.596,0.248,0.078,0.475,0.005,0.669,0.565,0.314,0.822,0,FALSE,1.16036666666667,7.81005,0.508,0.539
"58",234,234,1,10258,6,1,0.377693283604458,-0.962560535408556,8,128,4,4,1,2.10426639346406,4.14850407044093,-0.4,-0.533,-0.966,-0.966,-5.69611666666667,-1.0279,0.001,-0.533,-0.966,-0.966,-0.952683333333333,-0.438633333333333,0,-0.996,-0.991,-0.998,-0.671,0.01,0,0.577,0.55,0.454,0.728,0.002,0.66,0.233,0.161,0.401,0,0.577,0.55,0.462,0.703,0,TRUE,0.51405,4.66821666666667,0.241,0.274
