"STUDY_ID","REVIEWERS","INCLUDE","authors","title","journal","type","year","volume","issue","page_start","page_end","doi","category"
11,"Sub10","not vetted","Dang, X; Sang, HL; Weatherall, L","Gini covariance matrix and its affine equivariant version","STATISTICAL PAPERS","Article",2019,"60","3","291","316","10.1007/s00362-016-0842-z","Statistics & Probability"
23,"Sub10","not vetted","Ghashghaei, R; Amiri, A; Khosravi, P","New control charts for simultaneous monitoring of the mean vector and covariance matrix of multivariate multiple linear profiles","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION","Article",2019,"48","5","1382","1405","10.1080/03610918.2017.1414246","Statistics & Probability"
47,"Sub10","not vetted","Albertini, MC; Fraternale, D; Semprucci, F; Cecchini, S; Colomba, M; Rocchi, MBL; Sisti, D; Di Giacomo, B; Mari, M; Sabatini, L; Cesaroni, L; Balsamo, M; Guidi, L","Bioeffects of Prunus spinosa L. fruit ethanol extract on reproduction and phenotypic plasticity of Trichoplax adhaerens Schulze, 1883 (Placozoa)","PEERJ","Article",2019,"7","","","","10.7717/peerj.6789","Multidisciplinary Sciences"
58,"Sub10","not vetted","Vander Mijnsbrugge, K; Janssens, A","Differentiation and Non-Linear Responses in Temporal Phenotypic Plasticity of Seasonal Phenophases in a Common Garden of Crataegus monogyna Jacq.","FORESTS","Article",2019,"10","4","","","10.3390/f10040293","Forestry"
68,"Sub10","not vetted","Sharma, S; Arunachalam, K; Phondani, P","Variation in Yield and Composition of Perilla frutescens Essential Oil Across Altitudinal Gradients in the Indian Himalayan Region","IRANIAN JOURNAL OF SCIENCE AND TECHNOLOGY TRANSACTION A-SCIENCE","Article",2019,"43","A2","369","378","10.1007/s40995-017-0395-6","Multidisciplinary Sciences"
69,"Sub10","not vetted","Levis, NA; Pfennig, DW","Phenotypic plasticity, canalization, and the origins of novelty: Evidence and mechanisms from amphibians","SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY","Review",2019,"88","","80","90","10.1016/j.semcdb.2018.01.012","Cell Biology; Developmental Biology"
72,"Sub10","not vetted","Wichitaksorn, N","Analyzing multiple vector autoregressions through matrix-variate normal distribution with two covariance matrices","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS","Article; Early Access",NA,NA,"","","","10.1080/03610926.2019.1565832","Statistics & Probability"
75,"Sub10","not vetted","Cui, YX; Fang, LC; Deng, L; Guo, XB; Han, F; Ju, WL; Wang, X; Chen, HS; Tan, WF; Zhang, XC","Patterns of soil microbial nutrient limitations and their roles in the variation of soil organic carbon across a precipitation gradient in an arid and semi-arid region","SCIENCE OF THE TOTAL ENVIRONMENT","Article",2019,"658","","1440","1451","10.1016/j.scitotenv.2018.12.289","Environmental Sciences"
82,"Sub10","not vetted","Fox, RJ; Fromhage, L; Jennions, MD","Sexual selection, phenotypic plasticity and female reproductive output","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","Review",2019,"374","1768","","","10.1098/rstb.2018.0184","Biology"
112,"Sub10","not vetted","Stagakis, S; Chrysoulakis, N; Spyridakis, N; Feigenwinter, C; Vogt, R","Eddy Covariance measurements and source partitioning of CO2 emissions in an urban environment: Application for Heraklion, Greece","ATMOSPHERIC ENVIRONMENT","Article",2019,"201","","278","292","10.1016/j.atmosenv.2019.01.009","Environmental Sciences; Meteorology & Atmospheric Sciences"
