"STUDY_ID","REVIEWERS","INCLUDE","authors","title","journal","type","year","volume","issue","page_start","page_end","doi","category"
24,"Sub14","not vetted","Orellana-Saez, M; Pacheco, N; Costa, JI; Mendez, KN; Miossec, MJ; Meneses, C; Castro-Nallar, E; Marcoleta, AE; Poblete-Castro, I","In-Depth Genomic and Phenotypic Characterization of the Antarctic Psychrotolerant Strain Pseudomonas sp. MPC6 Reveals Unique Metabolic Features, Plasticity, and Biotechnological Potential","FRONTIERS IN MICROBIOLOGY","Article",2019,"10","","","","10.3389/fmicb.2019.01154","Microbiology"
32,"Sub14","not vetted","Dumont, ER; Larue, C; Pujol, B; Lamaze, T; Elger, A","Environmental variations mediate duckweed (Lemna minor L.) sensitivity to copper exposure through phenotypic plasticity","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH","Article",2019,"26","14","14106","14115","10.1007/s11356-019-04630-3","Environmental Sciences"
46,"Sub14","not vetted","Cozad, A; Diaz, R; Mudge, C","Phenotypic plasticity in the cold tolerance of three populations of the salvinia weevil (Cyrtobagous salviniae) from Louisiana, USA","BIOCONTROL SCIENCE AND TECHNOLOGY","Article; Early Access",NA,NA,"","","","10.1080/09583157.2019.1608512","Biotechnology & Applied Microbiology; Entomology"
54,"Sub14","not vetted","Chen, XY; Yuan, QC; Yin, XR","Sufficient dimension reduction via distance covariance with multivariate responses","JOURNAL OF NONPARAMETRIC STATISTICS","Article",2019,"31","2","268","288","10.1080/10485252.2018.1562065","Statistics & Probability"
61,"Sub14","not vetted","Neave, FB; Steeves, TB; Pratt, TC; McLaughlin, RL; Adams, JV; Docker, MF","Stream characteristics associated with feeding type in silver (Ichthyomyzon unicuspis) and northern brook (I. fossor) lampreys and tests for phenotypic plasticity","ENVIRONMENTAL BIOLOGY OF FISHES","Article",2019,"102","4","615","627","10.1007/s10641-019-00857-8","Ecology; Marine & Freshwater Biology"
64,"Sub14","not vetted","Caruso, NM; Rissler, LJ","Demographic consequences of climate variation along an elevational gradient for a montane terrestrial salamander","POPULATION ECOLOGY","Article",2019,"61","2","171","182","10.1002/1438-390X.1005","Ecology"
100,"Sub14","not vetted","Cuartas-Hernandez, SE; Moreno-Betancur, DJ; Gibernau, M; Herrera-Palma, M; Hoyos-Serna, L","Contrasting Patterns of Floral Size Variation in Two Sympatric Species of Anthurium along an Elevation Gradient in a Tropical Mountain Forest","INTERNATIONAL JOURNAL OF PLANT SCIENCES","Article",2019,"180","3","209","219","10.1086/701818","Plant Sciences"
128,"Sub14","not vetted","Li, X; Gentine, P; Lin, CJ; Zhou, S; Sun, Z; Zheng, Y; Liu, J; Zheng, CM","A simple and objective method to partition evapotranspiration into transpiration and evaporation at eddy-covariance sites","AGRICULTURAL AND FOREST METEOROLOGY","Article",2019,"265","","171","182","10.1016/j.agrformet.2018.11.017","Agronomy; Forestry; Meteorology & Atmospheric Sciences"
134,"Sub14","not vetted","Moorhead, JE; Marek, GW; Gowda, PH; Lin, XM; Colaizzi, PD; Evett, SR; Kutikoff, S","Evaluation of Evapotranspiration from Eddy Covariance Using Large Weighing Lysimeters","AGRONOMY-BASEL","Article",2019,"9","2","","","10.3390/agronomy9020099","Agronomy; Plant Sciences"
140,"Sub14","not vetted","Gillard, J","Large Covariance and Autocovariance Matrices","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY","Book Review",2019,"182","2","714","714","","Social Sciences, Mathematical Methods; Statistics & Probability"
142,"Sub14","not vetted","Niu, ZZ; Hu, J; Bai, ZD; Gao, W","On LR simultaneous test of high-dimensional mean vector and covariance matrix under non-normality","STATISTICS & PROBABILITY LETTERS","Article",2019,"145","","338","344","10.1016/j.spl.2018.10.008","Statistics & Probability"
173,"Sub14","not vetted","Carley, CAS; Coombs, JJ; Clough, ME; De Jong, WS; Douches, DS; Haynes, KG; Higgins, CR; Holm, DG; Miller, JC; Navarro, FM; Novy, RG; Palta, JP; Parish, DL; Porter, GA; Sathuvalli, VR; Thompson, AL; Yencho, GC; Zotarelli, L; Endelman, JB","Genetic Covariance of Environments in the Potato National Chip Processing Trial","CROP SCIENCE","Article",2019,"59","1","107","114","10.2135/cropsci2018.05.0314","Agronomy"
179,"Sub14","not vetted","Hahn, PG; Agrawal, AA; Sussman, KI; Maron, JL","Population Variation, Environmental Gradients, and the Evolutionary Ecology of Plant Defense against Herbivory","AMERICAN NATURALIST","Article",2019,"193","1","20","34","10.1086/700838","Ecology; Evolutionary Biology"
184,"Sub14","not vetted","Guo, WW; Cui, HJ","Projection tests for high-dimensional spiked covariance matrices","JOURNAL OF MULTIVARIATE ANALYSIS","Article",2019,"169","","21","32","10.1016/j.jmva.2018.08.009","Statistics & Probability"
202,"Sub14","not vetted","Fraudentali, I; Rodrigues-Pousada, RA; Volpini, A; Tavladoraki, P; Angelini, R; Cona, A","Stress-Triggered Long-Distance Communication Leads to Phenotypic Plasticity: The Case of the Early Root Protoxylem Maturation Induced by Leaf Wounding in Arabidopsis","PLANTS-BASEL","Article",2018,"7","4","","","10.3390/plants7040107","Plant Sciences"
203,"Sub14","not vetted","Martinez, JL; Leiva, V; Saulo, H; Ruggeri, F; Arteaga, GC","A new estimator for the covariance of the PLS coefficients estimator with applications to chemical data","JOURNAL OF CHEMOMETRICS","Article",2018,"32","12","","","10.1002/cem.3069","Automation & Control Systems; Chemistry, Analytical; Computer Science, Artificial Intelligence; Instruments & Instrumentation; Mathematics, Interdisciplinary Applications; Statistics & Probability"
207,"Sub14","not vetted","Montagnani, L; Grunwald, T; Kowalski, A; Mammarella, I; Merbold, L; Metzger, S; Sedlak, P; Siebicke, L","Estimating the storage term in eddy covariance measurements: the ICOS methodology","INTERNATIONAL AGROPHYSICS","Article",2018,"32","4","551","567","10.1515/intag-2017-0037","Agronomy"
229,"Sub14","not vetted","Peron, A; Porcu, E; Emery, X","Admissible nested covariance models over spheres cross time","STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT","Article",2018,"32","11","3053","3066","10.1007/s00477-018-1576-3","Engineering, Environmental; Engineering, Civil; Environmental Sciences; Statistics & Probability; Water Resources"
272,"Sub14","not vetted","Li, Y; Liu, JY; Huang, J; Li, ZY; Liang, PP","Learning Brain Connectivity Sub-networks by Group- Constrained Sparse Inverse Covariance Estimation for Alzheimer's Disease Classification","FRONTIERS IN NEUROINFORMATICS","Article",2018,"12","","","","10.3389/fninf.2018.00058","Mathematical & Computational Biology; Neurosciences"
323,"Sub14","not vetted","Steland, A; von Sachs, R","Asymptotics for high-dimensional covariance matrices and quadratic forms with applications to the trace functional and shrinkage","STOCHASTIC PROCESSES AND THEIR APPLICATIONS","Article",2018,"128","8","2816","2855","10.1016/j.spa.2017.10.007","Statistics & Probability"
325,"Sub14","not vetted","Donoho, D; Gavish, M; Johnstone, I","OPTIMAL SHRINKAGE OF EIGENVALUES IN THE SPIKED COVARIANCE MODEL","ANNALS OF STATISTICS","Article",2018,"46","4","1742","1778","10.1214/17-AOS1601","Statistics & Probability"
328,"Sub14","not vetted","Mathew, B; Leon, J; Sillanpaa, MJ","Impact of residual covariance structures on genomic prediction ability in multi-environment trials","PLOS ONE","Article",2018,"13","7","","","10.1371/journal.pone.0201181","Multidisciplinary Sciences"
