"STUDY_ID","REVIEWERS","INCLUDE","authors","title","journal","type","year","volume","issue","page_start","page_end","doi","category"
5719,"Sub13","not vetted","Farmer, DK; Wooldridge, PJ; Cohen, RC","Application of thermal-dissociation laser induced fluorescence (TD-LIF) to measurement of HNO3, Sigma alkyl nitrates, Sigma peroxy nitrates, and NO2 fluxes using eddy covariance","ATMOSPHERIC CHEMISTRY AND PHYSICS","Article",2006,"6","","3471","3486","10.5194/acp-6-3471-2006","Environmental Sciences; Meteorology & Atmospheric Sciences"
5736,"Sub13","not vetted","Stewart, HL","Morphological variation and phenotypic plasticity of buoyancy in the macroalga Turbinaria ornata across a barrier reef","MARINE BIOLOGY","Article",2006,"149","4","721","730","10.1007/s00227-005-0186-z","Marine & Freshwater Biology"
5739,"Sub13","not vetted","Swynghedauw, B","Phenotypic plasticity of adult myocardium: molecular mechanisms","JOURNAL OF EXPERIMENTAL BIOLOGY","Review",2006,"209","12","2320","2327","10.1242/jeb.02084","Biology"
5748,"Sub13","not vetted","Kishida, O; Mizuta, Y; Nishimura, K","Reciprocal phenotypic plasticity in a predator-prey interaction between larval amphibians","ECOLOGY","Article",2006,"87","6","1599","1604","10.1890/0012-9658(2006)87[1599:RPPIAP]2.0.CO;2","Ecology"
5765,"Sub13","not vetted","McKechnie, AE; Freckleton, RP; Jetz, W","Phenotypic plasticity in the scaling of avian basal metabolic rate","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","Article",2006,"273","1589","931","937","10.1098/rspb.2005.3415","Biology; Ecology; Evolutionary Biology"
5773,"Sub13","not vetted","Nosil, P; Crespi, BJ; Sandoval, CP; Kirkpatrick, M","Migration and the genetic covariance between habitat preference and performance","AMERICAN NATURALIST","Article",2006,"167","3","E66","E78","10.1086/499383","Ecology; Evolutionary Biology"
5786,"Sub13","not vetted","Petru, M; Tielborger, K; Belkin, R; Sternberg, M; Jeltsch, F","Life history variation in an annual plant under two opposing environmental constraints along an aridity gradient","ECOGRAPHY","Article",2006,"29","1","66","74","10.1111/j.2005.0906-7590.04310.x","Biodiversity Conservation; Ecology"
5800,"Sub13","not vetted","Held, A; Klemm, O","Direct measurement of turbulent particle exchange with a twin CPC eddy covariance system","ATMOSPHERIC ENVIRONMENT","Article",2006,"40","","S92","S102","10.1016/j.atmosenv.2005.09.092","Environmental Sciences; Meteorology & Atmospheric Sciences"
5813,"Sub13","not vetted","Atkin, OK; Loveys, BR; Atkinson, LJ; Pons, TL","Phenotypic plasticity and growth temperature: understanding interspecific variability","JOURNAL OF EXPERIMENTAL BOTANY","Article; Proceedings Paper",2006,"57","2","267","281","10.1093/jxb/erj029","Plant Sciences"
5824,"Sub13","not vetted","Farahmand, K; Nezakati, A","Covariance of the number of real zeros of a random algebraic polynomial with binomial elements","STOCHASTIC ANALYSIS AND APPLICATIONS","Article",2006,"24","2","329","337","10.1080/07362990500524680","Mathematics, Applied; Statistics & Probability"
