"STUDY_ID","REVIEWERS","INCLUDE","authors","title","journal","type","year","volume","issue","page_start","page_end","doi","category"
8,"Sub4","not vetted","Skorniakov, V","On a covariance structure of some subset of self-similar Gaussian processes","STOCHASTIC PROCESSES AND THEIR APPLICATIONS","Article",2019,"129","6","1903","1920","10.1016/j.spa.2018.06.013","Statistics & Probability"
40,"Sub4","not vetted","Raymaekers, J; Rousseeuw, P","A generalized spatial sign covariance matrix","JOURNAL OF MULTIVARIATE ANALYSIS","Article",2019,"171","","94","111","10.1016/j.jmva.2018.11.010","Statistics & Probability"
76,"Sub4","not vetted","Zaman, T; Bulut, H","Modified regression estimators using robust regression methods and covariance matrices in stratified random sampling","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS","Article; Early Access",NA,NA,"","","","10.1080/03610926.2019.1588324","Statistics & Probability"
108,"Sub4","not vetted","Descary, MH; Panaretos, VM","Recovering covariance from functional fragments","BIOMETRIKA","Article",2019,"106","1","145","160","10.1093/biomet/asy055","Biology; Mathematical & Computational Biology; Statistics & Probability"
109,"Sub4","not vetted","Cressie, N; Hardouin, C","A diagonally weighted matrix norm between two covariance matrices","SPATIAL STATISTICS","Article",2019,"29","","316","328","10.1016/j.spasta.2019.01.001","Geosciences, Multidisciplinary; Mathematics, Interdisciplinary Applications; Remote Sensing; Statistics & Probability"
117,"Sub4","not vetted","Wuthrich, C","Covariance between carpal morphology and suspensory behavior in extant anthropoids, with implications for functional analysis of fossil specimens","AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY","Meeting Abstract",2019,"168","","275","275","","Anthropology; Evolutionary Biology"
126,"Sub4","not vetted","Billesbach, DP; Chan, SW; Cook, DR; Papale, D; Bracho-Garrillo, R; Verfallie, J; Vargas, R; Biraud, SC","Effects of the Gill-Solent WindMaster-Pro ""w-boost"" firmware bug on eddy covariance fluxes and some simple recovery strategies","AGRICULTURAL AND FOREST METEOROLOGY","Article",2019,"265","","145","151","10.1016/j.agrformet.2018.11.010","Agronomy; Forestry; Meteorology & Atmospheric Sciences"
139,"Sub4","not vetted","von Herbing, IH; Schroeder-Spain, K","Hemoglobin Polymerization in Red Blood Cells of Marine Fishes: A Case of Adaptive Phenotypic Plasticity?","BIOLOGICAL BULLETIN","Article",2019,"236","1","29","42","10.1086/700832","Biology; Marine & Freshwater Biology"
143,"Sub4","not vetted","Hu, J; Li, WM; Liu, Z; Zhou, W","HIGH-DIMENSIONAL COVARIANCE MATRICES IN ELLIPTICAL DISTRIBUTIONS WITH APPLICATION TO SPHERICAL TEST","ANNALS OF STATISTICS","Article",2019,"47","1","527","555","10.1214/18-AOS1699","Statistics & Probability"
153,"Sub4","not vetted","Losidis, S; Politis, K","The covariance of the backward and forward recurrence times in a renewal process: the stationary case and asymptotics for the ordinary case","STOCHASTIC MODELS","Article",2019,"35","1","51","62","10.1080/15326349.2019.1575752","Statistics & Probability"
170,"Sub4","not vetted","Jonas, M; Navarro, D","Induced mutations alter patterns of quantitative variation, phenotypic integration, and plasticity to elevated CO2 in Arabidopsis thaliana","JOURNAL OF PLANT RESEARCH","Article",2019,"132","1","33","47","10.1007/s10265-018-1064-3","Plant Sciences"
193,"Sub4","not vetted","Khatibipour, MJ; Kurtoglu, F; Cakir, T","JacLy: a Jacobian-based method for the inference of metabolic interactions from the covariance of steady-state metabolome data","PEERJ","Article",2018,"6","","","","10.7717/peerj.6034","Multidisciplinary Sciences"
201,"Sub4","not vetted","Colin, P; Zhou, ZC; Staropoli, I; Garcia-Perez, J; Gasser, R; Armani-Tourret, M; Benureau, Y; Gonzalez, N; Jin, J; Connell, BJ; Raymond, S; Delobel, P; Izopet, J; Lortat-Jacob, H; Alcami, J; Arenzana-Seisdedos, F; Brelot, A; Lagane, B","CCR5 structural plasticity shapes HIV-1 phenotypic properties","PLOS PATHOGENS","Article",2018,"14","12","","","10.1371/journal.ppat.1007432","Microbiology; Parasitology; Virology"
211,"Sub4","not vetted","Liang, LL; Campbell, DI; Wall, AM; Schipper, LA","Nitrous oxide fluxes determined by continuous eddy covariance measurements from intensively grazed pastures: Temporal patterns and environmental controls","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","Article",2018,"268","","171","180","10.1016/j.agee.2018.09.010","Agriculture, Multidisciplinary; Ecology; Environmental Sciences"
214,"Sub4","not vetted","Bastias, CC; Valladares, F; Ricote, MN; Benavides, R","Local canopy diversity does not influence phenotypic expression and plasticity of tree seedlings exposed to different resource availabilities","ENVIRONMENTAL AND EXPERIMENTAL BOTANY","Article",2018,"156","","38","47","10.1016/j.envexpbot.2018.08.023","Plant Sciences; Environmental Sciences"
225,"Sub4","not vetted","Wang, LC; Pettit, L","Application of covariance adjustment to seemingly unrelated multivariate regressions","COMMUNICATIONS FOR STATISTICAL APPLICATIONS AND METHODS","Article",2018,"25","6","577","590","10.29220/CSAM.2018.25.6.577","Statistics & Probability"
226,"Sub4","not vetted","Ansaldi, BH; Weber, JJ; Franks, SJ","The role of phenotypic plasticity and pollination environment in the cleistogamous, mixed mating breeding system of Triodanis perfoliata","PLANT BIOLOGY","Article",2018,"20","6","1068","1074","10.1111/plb.12877","Plant Sciences"
227,"Sub4","not vetted","Dai, MY; Wu, LJ; Tu, L; Xu, XZ; Wang, DW","The immune-metabolic regulatory roles of epoxyeicosatrienoic acids on macrophages phenotypic plasticity in obesity-related insulin resistance","PROSTAGLANDINS & OTHER LIPID MEDIATORS","Article",2018,"139","","36","40","10.1016/j.prostaglandins.2018.10.003","Biochemistry & Molecular Biology; Cell Biology"
259,"Sub4","not vetted","Trochet, A; Dupoue, A; Souchet, J; Bertrand, R; Deluen, M; Murarasu, S; Calvez, O; Martinez-Silvestre, A; Verdaguer-Foz, I; Darnet, E; Le Chevalier, H; Mossoll-Torres, M; Guillaume, O; Aubret, F","Variation of preferred body temperatures along an altitudinal gradient: A multi-species study","JOURNAL OF THERMAL BIOLOGY","Article",2018,"77","","38","44","10.1016/j.jtherbio.2018.08.002","Biology; Zoology"
261,"Sub4","not vetted","Schmidt, L; Schmid, B; Oja, T; Fischer, M","Genetic differentiation, phenotypic plasticity and adaptation in a hybridizing pair of a more common and a less common Carex species","ALPINE BOTANY","Article",2018,"128","2","149","167","10.1007/s00035-018-0211-8","Plant Sciences"
268,"Sub4","not vetted","Kusmec, A; de Leon, N; Schnable, PS","Harnessing Phenotypic Plasticity to Improve Maize Yields","FRONTIERS IN PLANT SCIENCE","Article",2018,"9","","","","10.3389/fpls.2018.01377","Plant Sciences"
281,"Sub4","not vetted","Hyodo, M; Nishiyama, T","A simultaneous testing of the mean vector and the covariance matrix among two populations for high-dimensional data","TEST","Article",2018,"27","3","680","699","10.1007/s11749-017-0567-x","Statistics & Probability"
283,"Sub4","not vetted","Bilgrau, AE; Brondum, RF; Eriksen, PS; Dybkaer, K; Bogsted, M","ESTIMATING A COMMON COVARIANCE MATRIX FOR NETWORK META-ANALYSIS OF GENE EXPRESSION DATASETS IN DIFFUSE LARGE B-CELL LYMPHOMA","ANNALS OF APPLIED STATISTICS","Article",2018,"12","3","1894","1913","10.1214/18-AOAS1136","Statistics & Probability"
294,"Sub4","not vetted","Jurczak, K","Weak Convergence of the Empirical Spectral Distribution of High-Dimensional Band Sample Covariance Matrices","JOURNAL OF THEORETICAL PROBABILITY","Article",2018,"31","3","1273","1302","10.1007/s10959-017-0751-7","Statistics & Probability"
312,"Sub4","not vetted","Brancalion, PHS; Oliveira, GCX; Zucchi, MI; Novello, M; van Melis, J; Zocchi, SS; Chazdon, RL; Rodrigues, RR","Phenotypic plasticity and local adaptation favor range expansion of a Neotropical palm","ECOLOGY AND EVOLUTION","Article",2018,"8","15","7462","7475","10.1002/ece3.4248","Ecology; Evolutionary Biology"
348,"Sub4","not vetted","Lyons, R","DISTANCE COVARIANCE IN METRIC SPACES (vol 41, pg 3284, 2013)","ANNALS OF PROBABILITY","Correction",2018,"46","4","2400","2405","10.1214/17-AOP1233","Statistics & Probability"
356,"Sub4","not vetted","Albin, JMP","On covariance functions with slowly or regularly varying modulo of continuity","STATISTICS & PROBABILITY LETTERS","Article",2018,"138","","177","182","10.1016/j.spl.2018.03.005","Statistics & Probability"
358,"Sub4","not vetted","Kristjansson, BK; Leblanc, CAL; Skulason, S; Snorrason, SS; Noakes, DLG","Phenotypic plasticity in the morphology of small benthic Icelandic Arctic charr (Salvelinus alpinus)","ECOLOGY OF FRESHWATER FISH","Article",2018,"27","3","636","645","10.1111/eff.12380","Fisheries; Marine & Freshwater Biology"
377,"Sub4","not vetted","Massam, H; Li, Q; Gao, X","Bayesian precision and covariance matrix estimation for graphical Gaussian models with edge and vertex symmetries","BIOMETRIKA","Article",2018,"105","2","371","388","10.1093/biomet/asx084","Biology; Mathematical & Computational Biology; Statistics & Probability"
381,"Sub4","not vetted","Sniegula, S; Golab, MJ; Drobniak, SM; Johansson, F","The genetic variance but not the genetic covariance of life-history traits changes towards the north in a time-constrained insect","JOURNAL OF EVOLUTIONARY BIOLOGY","Article",2018,"31","6","853","865","10.1111/jeb.13269","Ecology; Evolutionary Biology; Genetics & Heredity"
402,"Sub4","not vetted","Sandini, C; Zoller, D; Scariati, E; Padula, MC; Schneider, M; Schaer, M; Van De Ville, D; Eliez, S","Development of Structural Covariance From Childhood to Adolescence: A Longitudinal Study in 22q11.2DS","FRONTIERS IN NEUROSCIENCE","Article",2018,"12","","","","10.3389/fnins.2018.00327","Neurosciences"
408,"Sub4","not vetted","Kandlikar, GS; Vaz, MC; Kriebel, R; Vargas, G; Michelangeli, FA; Cordero, R; Almeda, F; Avalos, G; Fetcher, N; Kraft, NJB","Contrasting patterns of taxonomic, phylogenetic and functional variation along a Costa Rican altitudinal gradient in the plant family Melastomataceae","JOURNAL OF TROPICAL ECOLOGY","Article",2018,"34","","204","208","10.1017/S0266467418000172","Ecology"
414,"Sub4","not vetted","Refsnider, JM; Qian, SS; Streby, HM; Carter, SE; Clifton, IT; Siefker, AD; Vazquez, TK","Reciprocally transplanted lizards along an elevational gradient match light environment use of local lizards via phenotypic plasticity","FUNCTIONAL ECOLOGY","Article",2018,"32","5","1227","1236","10.1111/1365-2435.13071","Ecology"
423,"Sub4","not vetted","Wu, H","Approximations to the distribution of a test statistic in covariance structure analysis: A comprehensive study","BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY","Article",2018,"71","2","334","362","10.1111/bmsp.12123","Mathematics, Interdisciplinary Applications; Psychology, Mathematical; Psychology, Experimental; Statistics & Probability"
424,"Sub4","not vetted","Maayan, Y; Mayer-Wolf, E","Covariance of stochastic integrals with respect to fractional Brownian motion","STOCHASTIC PROCESSES AND THEIR APPLICATIONS","Article",2018,"128","5","1635","1651","10.1016/j.spa.2017.08.006","Statistics & Probability"
426,"Sub4","not vetted","McElroy, T","Recursive Computation for Block-Nested Covariance Matrices","JOURNAL OF TIME SERIES ANALYSIS","Article",2018,"39","3","299","312","10.1111/jtsa.12267","Mathematics, Interdisciplinary Applications; Statistics & Probability"
436,"Sub4","not vetted","Morin, TH; Rey-Sanchez, AC; Vogel, CS; Matheny, AM; Kenny, WT; Bohrer, G","Carbon dioxide emissions from an oligotrophic temperate lake: An eddy covariance approach","ECOLOGICAL ENGINEERING","Article",2018,"114","","25","33","10.1016/j.ecoleng.2017.05.005","Ecology; Engineering, Environmental; Environmental Sciences"
491,"Sub4","not vetted","Aguirre, A; del Rio, M; Condes, S","Intra- and inter-specific variation of the maximum size-density relationship along an aridity gradient in Iberian pinewoods","FOREST ECOLOGY AND MANAGEMENT","Article",2018,"411","","90","100","10.1016/j.foreco.2018.01.017","Forestry"
494,"Sub4","not vetted","Liu, Y; Kociolek, JP; Glushchenko, A; Kulikovskiy, M; Fan, YW","A new genus of Eunotiales (Bacillariophyta, Bacillariophyceae: Peroniaceae), Sinoperonia, from Southeast Asia, exhibiting remarkable phenotypic plasticity with regard to the raphe system","PHYCOLOGIA","Article",2018,"57","2","147","158","10.2216/17-21.1","Plant Sciences; Marine & Freshwater Biology"
506,"Sub4","not vetted","Vences, M; Puente, M; Nieto, S; Vieites, DR","Phenotypic plasticity of anuran larvae: environmental variables influence body shape and oral morphology in Rana temporaria tadpoles","JOURNAL OF ZOOLOGY",NA,2002,"257","","155","162","10.1017/S0952836902000754",NA
508,"Sub4","not vetted","Calvo, M; Villarroya, A; Oller, JM","A biplot method for multivariate normal populations with unequal covariance matrices","TEST",NA,2002,"11","1","143","165","10.1007/BF02595734",NA
510,"Sub4","not vetted","Selinger-Leneman, H; Genin, E; Norris, JM; Khlat, M","Does accounting for gene-environment (GxE) interaction increase the power to detect the main effect of a gene in a multifactorial disease?","EUROPEAN JOURNAL OF HUMAN GENETICS",NA,2002,"10","","181","181","",NA
532,"Sub4","not vetted","Van Buskirk, J","Phenotypic lability and the evolution of predator-induced plasticity in tadpoles","EVOLUTION",NA,2002,"56","2","361","370","",NA
545,"Sub4","not vetted","Gage, T","The evolution of human phenotypic plasticity: age and size at maturity.","AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY",NA,2002,"","","73","73","",NA
552,"Sub4","not vetted","Schlichting, CD; Smith, H","Phenotypic plasticity: linking molecular mechanisms with evolutionary outcomes","EVOLUTIONARY ECOLOGY",NA,2002,"16","3","189","211","10.1023/A:1019624425971",NA
579,"Sub4","not vetted","Pigliucci, M; Hayden, K","Phenotypic plasticity is the major determinant of changes in phenotypic integration in Arabidopsis","NEW PHYTOLOGIST",NA,2001,"152","3","419","430","10.1046/j.0028-646X.2001.00275.x",NA
581,"Sub4","not vetted","Privault, N","Extended covariance identities and inequalities","STATISTICS & PROBABILITY LETTERS",NA,2001,"55","3","247","255","10.1016/S0167-7152(01)00140-7",NA
670,"Sub4","not vetted","Gupta, AK; Ofori-Nyarko, S","Improved minimax estimator of covariance when additional information is available on some coordinates","COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION",NA,2001,"30","1","11","18","10.1081/SAC-100001854",NA
693,"Sub4","not vetted","Cribari-Neto, F; Ferrari, SLP; Cordeiro, GM","Improved heteroscedasticity-consistent covariance matrix estimators","BIOMETRIKA",NA,2000,"87","4","907","918","10.1093/biomet/87.4.907",NA
708,"Sub4","not vetted","D'Antonio, CM; Tunison, JT; Loh, RK","Variation in the impact of exotic grasses on native plant composition in relation to fire across an elevation gradient in Hawaii","AUSTRAL ECOLOGY",NA,2000,"25","5","507","522","10.1046/j.1442-9993.2000.01079.x",NA
721,"Sub4","not vetted","Nespolo, RF","Physiological performance, seasonality and phenotypic plasticity in small mammals: microevolution of change capacity in thermoregulatory characters","REVISTA CHILENA DE HISTORIA NATURAL",NA,2000,"73","3","553","563","",NA
726,"Sub4","not vetted","Tsai, HS; Chan, KS","A note on the covariance structure of a continuous-time ARMA process","STATISTICA SINICA",NA,2000,"10","3","989","998","",NA
730,"Sub4","not vetted","David, O; Monod, H; Amoussou, J","Optimal complete block designs to adjust for interplot competition with a covariance analysis","BIOMETRICS",NA,2000,"56","2","389","393","10.1111/j.0006-341X.2000.00389.x",NA
731,"Sub4","not vetted","Pourahmadi, M","Maximum likelihood estimation of generalised linear models for multivariate normal covariance matrix","BIOMETRIKA",NA,2000,"87","2","425","435","10.1093/biomet/87.2.425",NA
749,"Sub4","not vetted","Losos, JB; Creer, DA; Glossip, D; Goellner, R; Hampton, A; Roberts, G; Haskell, N; Taylor, P; Ettling, J","Evolutionary implications of phenotypic plasticity in the hindlimb of the lizard Anolis sagrei","EVOLUTION",NA,2000,"54","1","301","305","10.1111/j.0014-3820.2000.tb00032.x",NA
812,"Sub4","not vetted","Mokady, O; Loya, Y; Achituv, Y; Geffen, E; Graur, D; Rozenblatt, S; Brickner, I","Speciation versus phenotypic plasticity in coral inhabiting barnacles: Darwin's observations in an ecological context","JOURNAL OF MOLECULAR EVOLUTION",NA,1999,"49","3","367","375","10.1007/PL00006560",NA
845,"Sub4","not vetted","Kagan, A; Landsman, Z","Relation between the covariance and Fisher information matrices","STATISTICS & PROBABILITY LETTERS",NA,1999,"42","1","7","13","10.1016/S0167-7152(98)00178-3",NA
860,"Sub4","not vetted","Pesch, C","Computation of the minimum covariance determinant estimator","CLASSIFICATION IN THE INFORMATION AGE",NA,1999,"","","225","233","",NA
863,"Sub4","not vetted","Aoshima, M; Mukhopadhyay, N","Second-order properties of a two-stage fixed-size confidence region when the covariance matrix has a structure","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",NA,1999,"28","4-Mar","839","855","10.1080/03610929908832329",NA
879,"Sub4","not vetted","Okland, T; Okland, RH; Steinnes, E","Element concentrations in the boreal forest moss Hylocomium splendens: variation related to gradients in vegetation and local environmental factors","PLANT AND SOIL",NA,1999,"209","1","71","83","10.1023/A:1004524017264",NA
911,"Sub4","not vetted","Bernays, EA; Chapman, RF","Phenotypic plasticity in numbers of antennal chemoreceptors in a grasshopper: effects of food","JOURNAL OF COMPARATIVE PHYSIOLOGY A-SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY",NA,1998,"183","1","69","76","10.1007/s003590050235",NA
927,"Sub4","not vetted","Cipollini, D","Induced defenses and phenotypic plasticity","TRENDS IN ECOLOGY & EVOLUTION",NA,1998,"13","5","200","200","10.1016/S0169-5347(98)01366-4",NA
939,"Sub4","not vetted","Temple, GK; Johnston, IA","Testing hypotheses concerning the phenotypic plasticity of escape performance in fish of the family Cottidae","JOURNAL OF EXPERIMENTAL BIOLOGY",NA,1998,"201","3","317","331","",NA
949,"Sub4","not vetted","Diaz, CJ; Johnson, WD","An F-test for multivariate repeated measures data with the Wiener stochastic process pattern in the covariance matrix","COMMUNICATIONS IN STATISTICS-THEORY AND METHODS",NA,1998,"27","2","275","289","10.1080/03610929808832095",NA
956,"Sub4","not vetted","Saino, N; Wuster, W; Thorpe, RS","Congruence between morphological variation and altitudinal gradient across a hybrid zone between carrion and hooded crows","ITALIAN JOURNAL OF ZOOLOGY",NA,1998,"65","4","407","412","10.1080/11250009809386782",NA
958,"Sub4","not vetted","Haslett, J; Hayes, K","Residuals for the linear model with general covariance structure","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",NA,1998,"60","","201","215","10.1111/1467-9868.00119",NA
965,"Sub4","not vetted","Ibarrola, P; Rozanski, R; Velez, R","On estimation of the mean and covariance parameter for Gaussian random fields","STATISTICS",NA,1998,"31","1","1","20","10.1080/02331889808802622",NA
1034,"Sub4","not vetted","Rodd, FH; Reznick, DN; Sokolowski, MB","Phenotypic plasticity in the life history traits of guppies: Responses to social environment","ECOLOGY","Article",1997,"78","2","419","433","","Ecology"
1064,"Sub4","not vetted","Schoukens, J; Pintelon, R; Rolain, Y","Maximum likelihood estimation of errors-in-variables models using a sample covariance matrix obtained from small data sets","RECENT ADVANCES IN TOTAL LEAST SQUARES TECHNIQUES AND ERRORS-IN-VARIABLES MODELING","Proceedings Paper",1997,NA,"","59","68","","Statistics & Probability"
1071,"Sub4","not vetted","Dehay, D; Leskow, J","Functional limit theory for the spectral covariance estimator","JOURNAL OF APPLIED PROBABILITY","Article",1996,"33","4","1077","1092","10.2307/3214987","Statistics & Probability"
1092,"Sub4","not vetted","Neudecker, H; Cappuccio, N; Lubian, D","Ordering of covariance matrices","ECONOMETRIC THEORY","Article",1996,"12","4","746","748","","Economics; Mathematics, Interdisciplinary Applications; Social Sciences, Mathematical Methods; Statistics & Probability"
1110,"Sub4","not vetted","Hamiane, M; Yamani, A","Covariance tests for the validation of linear MIMO models","ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING","Article",1996,"21","3","377","389","","Multidisciplinary Sciences"
1133,"Sub4","not vetted","ReyesGavilan, FG; Garrido, R; Nicieza, AG; Toledo, MM; Brana, F","Fish community variation along physical gradients in short streams of northern Spain and the disruptive effect of dams","HYDROBIOLOGIA","Article",1996,"321","2","155","163","10.1007/BF00023171","Marine & Freshwater Biology"
