"STUDY_ID","REVIEWERS","INCLUDE","authors","title","journal","type","year","volume","issue","page_start","page_end","doi","category"
15,"Sub16","not vetted","Mathot, KJ; Dingemanse, NJ; Nakagawa, S","The covariance between metabolic rate and behaviour varies across behaviours and thermal types: meta-analytic insights","BIOLOGICAL REVIEWS","Review",2019,"94","3","1056","1074","10.1111/brv.12491","Biology"
16,"Sub16","not vetted","Attard, KM; Rodil, IF; Glud, RN; Berg, P; Norkko, J; Norkko, A","Seasonal ecosystem metabolism across shallow benthic habitats measured by aquatic eddy covariance","LIMNOLOGY AND OCEANOGRAPHY LETTERS","Article",2019,"4","3","79","86","10.1002/lol2.10107","Marine & Freshwater Biology; Oceanography"
25,"Sub16","not vetted","Deshpande, SK; Rockova, V; George, EI","Simultaneous Variable and Covariance Selection With the Multivariate Spike-and-Slab LASSO","JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS","Article; Early Access",NA,NA,"","","","10.1080/10618600.2019.1593179","Statistics & Probability"
45,"Sub16","not vetted","Li, YF; Craig, BA; Bhadra, A","The Graphical Horseshoe Estimator for Inverse Covariance Matrices","JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS","Article; Early Access",NA,NA,"","","","10.1080/10618600.2019.1575744","Statistics & Probability"
51,"Sub16","not vetted","Pan, WL; Wang, XQ; Zhang, HP; Zhu, HT; Zhu, J","Ball Covariance: A Generic Measure of Dependence in Banach Space","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION","Article; Early Access",NA,NA,"","1","11","10.1080/01621459.2018.1543600","Statistics & Probability"
62,"Sub16","not vetted","Gurrapu, S; Tamagnone, L","Semaphorins as Regulators of Phenotypic Plasticity and Functional Reprogramming of Cancer Cells","TRENDS IN MOLECULAR MEDICINE","Review",2019,"25","4","303","314","10.1016/j.molmed.2019.01.010","Biochemistry & Molecular Biology; Cell Biology; Medicine, Research & Experimental"
77,"Sub16","not vetted","Tollerud, JO; Sparapassi, G; Montanaro, A; Asban, S; Glerean, F; Giusti, F; Marciniak, A; Kourousias, G; Bille, F; Cilento, F; Mukamel, S; Fausti, D","Femtosecond covariance spectroscopy","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","Article",2019,"116","12","5383","5386","10.1073/pnas.1821048116","Multidisciplinary Sciences"
84,"Sub16","not vetted","Kelly, PW; Pfennig, DW; Buzon, SD; Pfennig, KS","Male sexual signal predicts phenotypic plasticity in offspring: implications for the evolution of plasticity and local adaptation","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","Article",2019,"374","1768","","","10.1098/rstb.2018.0179","Biology"
94,"Sub16","not vetted","Sasaki, M; Hedberg, S; Richardson, K; Dam, HG","Complex interactions between local adaptation, phenotypic plasticity and sex affect vulnerability to warming in a widespread marine copepod","ROYAL SOCIETY OPEN SCIENCE","Article",2019,"6","3","","","10.1098/rsos.182115","Multidisciplinary Sciences"
101,"Sub16","not vetted","Rius, BF; Petry, AC; Langerhans, RB; Figueiredo-Barros, MP; Bozelli, RL; Honda, LK; Nova, CC; Araujo, MS","Correlates of life-history variation in the livebearing fish Poecilia vivipara (Cyprinodontiformes: Poeciliidae) inhabiting an environmental gradient","BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY","Article",2019,"126","3","436","446","10.1093/biolinnean/bly208","Evolutionary Biology"
111,"Sub16","not vetted","Skauvold, J; Eidsvik, J","Parametric spatial covariance models in the ensemble Kalman filter","SPATIAL STATISTICS","Article",2019,"29","","226","242","10.1016/j.spasta.2018.12.005","Geosciences, Multidisciplinary; Mathematics, Interdisciplinary Applications; Remote Sensing; Statistics & Probability"
113,"Sub16","not vetted","Seitz, J; Kubicki, M; Jacobs, EG; Cherkerzian, S; Weiss, BK; Papadimitriou, G; Mouradian, P; Buka, S; Goldstein, JM; Makris, N","Impact of sex and reproductive status on memory circuitry structure and function in early midlife using structural covariance analysis","HUMAN BRAIN MAPPING","Article",2019,"40","4","1221","1233","10.1002/hbm.24441","Neurosciences; Neuroimaging; Radiology, Nuclear Medicine & Medical Imaging"
131,"Sub16","not vetted","Rodil, IF; Attard, KM; Norkko, J; Glud, RN; Norkko, A","Towards a sampling design for characterizing habitat-specific benthic biodiversity related to oxygen flux dynamics using Aquatic Eddy Covariance","PLOS ONE","Article",2019,"14","2","","","10.1371/journal.pone.0211673","Multidisciplinary Sciences"
164,"Sub16","not vetted","Carey, D; Nolan, H; Kenny, RA; Meaney, J","Cortical covariance networks in ageing: Cross-sectional data from the Irish Longitudinal Study on Ageing (TILDA)","NEUROPSYCHOLOGIA","Article",2019,"122","","51","61","10.1016/j.neuropsychologia.2018.11.013","Behavioral Sciences; Neurosciences; Psychology, Experimental"
206,"Sub16","not vetted","Nemitz, E; Mammarella, I; Ibrom, A; Aurela, M; Burba, GG; Dengel, S; Gielen, B; Grelle, A; Heinesch, B; Herbst, M; Hortnagl, L; Klemedtsson, L; Lindroth, A; Lohila, A; McDermitt, DK; Meier, P; Merbold, L; Nelson, D; Nicolini, G; Nilsson, MB; Peltola, O; Rinne, J; Zahniser, M","Standardisation of eddy-covariance flux measurements of methane and nitrous oxide","INTERNATIONAL AGROPHYSICS","Article",2018,"32","4","517","+","10.1515/intag-2017-0042","Agronomy"
245,"Sub16","not vetted","Rehan, SM; Glastad, KM; Steffen, MA; Fay, CR; Hunt, BG; Toth, AL","Conserved Genes Underlie Phenotypic Plasticity in an Incipiently Social Bee","GENOME BIOLOGY AND EVOLUTION","Article",2018,"10","10","2749","2758","10.1093/gbe/evy212","Evolutionary Biology; Genetics & Heredity"
258,"Sub16","not vetted","Yuan, FL; Freedman, AH; Chirio, L; LeBreton, M; Bonebrake, TC","Ecophysiological variation across a forest-ecotone gradient produces divergent climate change vulnerability within species","ECOGRAPHY","Article",2018,"41","10","1627","1637","10.1111/ecog.03427","Biodiversity Conservation; Ecology"
270,"Sub16","not vetted","Zhao, JB; Olivas, PC; Kunwor, S; Malone, SL; Staudhammer, CL; Starr, G; Oberbauer, SF","Comparison of sensible heat flux measured by large aperture scintillometer and eddy covariance in a seasonally-inundated wetland","AGRICULTURAL AND FOREST METEOROLOGY","Article",2018,"259","","345","354","10.1016/j.agrformet.2018.05.026","Agronomy; Forestry; Meteorology & Atmospheric Sciences"
295,"Sub16","not vetted","Del Valle, JC; Buide, ML; Whittall, JB; Narbona, E","Phenotypic plasticity in light-induced flavonoids varies among tissues in Silene littorea (Caryophyllaceae)","ENVIRONMENTAL AND EXPERIMENTAL BOTANY","Article",2018,"153","","100","107","10.1016/j.envexpbot.2018.05.014","Plant Sciences; Environmental Sciences"
309,"Sub16","not vetted","Tougeron, K; van Baaren, J; Llopis, S; Ridel, A; Doyon, J; Brodeur, J; Le Lann, C","Disentangling plasticity from local adaptation in diapause expression in parasitoid wasps from contrasting thermal environments: a reciprocal translocation experiment","BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY","Article",2018,"124","4","756","764","10.1093/biolinnean/bly079","Evolutionary Biology"
314,"Sub16","not vetted","Watson, GJ","Winners and ""losers"" in the Anthropocene: Understanding adaptation through phenotypic plasticity","FUNCTIONAL ECOLOGY","Article",2018,"32","8","1906","1907","10.1111/1365-2435.13108","Ecology"
315,"Sub16","not vetted","Lillhok, J; Persson, L; Andersen, CE; Dasu, A; Ardenfors, O","RADIATION PROTECTION MEASUREMENTS WITH THE VARIANCE-COVARIANCE METHOD IN THE STRAY RADIATION FIELDS FROM PHOTON AND PROTON THERAPY FACILITIES","RADIATION PROTECTION DOSIMETRY","Article; Proceedings Paper",2018,"180","4-Jan","338","341","10.1093/rpd/ncx194","Environmental Sciences; Public, Environmental & Occupational Health; Nuclear Science & Technology; Radiology, Nuclear Medicine & Medical Imaging"
336,"Sub16","not vetted","Bapat, SA; Varankar, S; Kamble, S","Phenotypic plasticity and class switching in ovarian cancer","CANCER RESEARCH","Meeting Abstract",2018,"78","13","","","10.1158/1538-7445.AM2018-2017","Oncology"
353,"Sub16","not vetted","Swain, CK; Nayak, AK; Bhattacharyya, P; Chatterjee, D; Chatterjee, S; Tripathi, R; Singh, NR; Dhal, B","Greenhouse gas emissions and energy exchange in wet and dry season rice: eddy covariance-based approach","ENVIRONMENTAL MONITORING AND ASSESSMENT","Article",2018,"190","7","","","10.1007/s10661-018-6805-1","Environmental Sciences"
360,"Sub16","not vetted","Guella, JC; Menegatto, VA; Porcu, E","Strictly positive definite multivariate covariance functions on spheres","JOURNAL OF MULTIVARIATE ANALYSIS","Article",2018,"166","","150","159","10.1016/j.jmva.2018.03.001","Statistics & Probability"
364,"Sub16","not vetted","Prajapati, P; Santos, EA","Comparing methane emissions estimated using a backward-Lagrangian stochastic model and the eddy covariance technique in a beef cattle feedlot","AGRICULTURAL AND FOREST METEOROLOGY","Article",2018,"256","","482","491","10.1016/j.agrformet.2018.04.003","Agronomy; Forestry; Meteorology & Atmospheric Sciences"
365,"Sub16","not vetted","Chien, H; Zhong, YZ; Yang, KH; Cheng, HY","Diurnal variability of CO2 flux at coastal zone of Taiwan based on eddy covariance observation","CONTINENTAL SHELF RESEARCH","Article",2018,"162","","27","38","10.1016/j.csr.2018.04.006","Oceanography"
