"samplesize","GE_Diff","covGE_true","covGE_data","lwrCI","uprCI"
1,1,0.5,0.857231277582087,-2.99372236513876,4.70818492030293
1,2,2,-0.187877742976268,-4.14982237895813,3.77406689300559
1,3,4.5,4.57810033587347,-3.08714154295085,13.8485194534745
1,4,8,7.49234522402439,-2.06167888766134,24.6567371379032
1,5,12.5,11.5965114698756,-2.87979272324679,35.4115538291587
2,1,0.5,1.33684364690675,-0.694857945676045,4.18727914831459
2,2,2,2.43611672627137,-0.875942644496334,6.75037767373029
2,3,4.5,6.93110781201076,1.25191228256245,15.4935959042496
2,4,8,7.97683917737007,0.55538571684478,18.0684757625636
2,5,12.5,13.4365115917211,0.393861092018772,31.1552398272713
3,1,0.5,0.168967509530514,-0.458895889902792,0.88599764489658
3,2,2,0.640854987866311,-1.56983990574178,3.40577784228538
3,3,4.5,2.7964478862162,-0.21461638578514,6.18881881252061
3,4,8,8.21522147674047,1.83530472274244,16.3735487973454
3,5,12.5,13.5111745384783,3.37977007356793,27.525477600139
4,1,0.5,0.353051855363077,-0.161652047837102,1.16024589343664
4,2,2,2.32558296985814,0.186036575446622,5.54382259892947
4,3,4.5,3.7406062783164,1.21196637260734,7.2726859444939
4,4,8,6.27460293757234,1.77001059101919,12.3436332134448
4,5,12.5,12.0024547879745,3.92600012923704,21.3526881899391
5,1,0.5,0.11249219521104,-0.356768761383154,0.585748553932548
5,2,2,2.09247199038037,0.609823258343488,3.87251623230519
5,3,4.5,4.25698549959638,1.34288611616975,7.61726473287352
5,4,8,7.35166660638567,2.91309255052232,13.2079836953651
5,5,12.5,10.9298092680296,4.56303035831091,19.1698164243698
6,1,0.5,0.340634445298458,-0.206886976739583,1.05108642792086
6,2,2,2.55599120465911,0.919677205938575,4.80841280697417
6,3,4.5,4.77007621355215,1.66447679562962,8.08182673621375
6,4,8,7.26763077997616,3.456065002712,11.8482831537657
6,5,12.5,14.5367956292101,6.67870324452376,23.9899507622235
7,1,0.5,0.546427312108187,0.0245191160863912,1.29349464892829
7,2,2,2.15814928905767,0.740405163078913,3.96090354189561
7,3,4.5,5.0765103066149,2.35458392869289,8.76744941932133
7,4,8,7.96494214431369,3.67724987623226,13.0916937314959
7,5,12.5,15.1825885259183,7.61023167008208,25.0262865444415
8,1,0.5,0.677293219410672,0.191692943912754,1.37430450181652
8,2,2,2.23299620689344,0.991064583903916,3.80394932338759
8,3,4.5,4.24366023121191,2.05339689171441,6.9619285476979
8,4,8,8.07532609806981,4.44244840062357,12.8267321871072
8,5,12.5,11.4170325981789,5.55554298859902,18.1568733714954
9,1,0.5,0.348357959435364,-0.0179491766688227,0.85840721557715
9,2,2,2.0662543990061,0.8861955387914,3.48605154870175
9,3,4.5,4.66029166508985,2.42249162101449,7.66448210352418
9,4,8,7.64360757621406,4.03549280663224,11.8014407077332
9,5,12.5,12.6500863037918,6.60625818287757,19.4520034675339
10,1,0.5,0.631817464320524,0.132169341233567,1.23549250721609
10,2,2,1.77164845260925,0.630764280478269,3.07244103017778
